animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,1,494.628,219.857,274.77099999999996,269.5178,0.019491105967768863,0.25
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,2,496.484,220,276.484,269.5178,0.02584690139204148,0.5
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,3,496.072,219.952,276.12,269.5178,0.024496341243509637,0.75
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,4,495.248,219.595,275.653,269.5178,0.022763617096904165,1
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,5,494.392,219.5,274.892,269.5178,0.01994005590725352,1.25
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,6,491.112,219.429,271.683,269.5178,0.008033606685717863,1.5
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,7,488.708,219.214,269.494,269.5178,-8.830585586552824e-5,1.75
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,8,488.524,219.262,269.262,269.5178,-9.491024340508197e-4,2
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,9,487.696,218.595,269.101,269.5178,-0.0015464655766707185,2.25
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,10,489.364,219.714,269.65,269.5178,4.905056363622544e-4,2.5
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,11,487.728,219.69,268.038,269.5178,-0.005490546449993327,2.75
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,12,487.544,219.19,268.354,269.5178,-0.004318082145223942,3
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,13,487.096,219.762,267.334,269.5178,-0.008102618825175996,3.25
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,14,485.48,219.119,266.361,269.5178,-0.011712769991444098,3.5
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,15,484.916,219.548,265.368,269.5178,-0.015397127759279821,3.75
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,16,483.952,218.857,265.095,269.5178,-0.01641004787067865,4
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,17,483.192,219,264.192,269.5178,-0.01976047593145987,4.25
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,18,483.736,218.69,265.046,269.5178,-0.01659185404451962,4.5
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,19,485.584,219.405,266.179,269.5178,-0.012388050065710126,4.75
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,20,486.136,218.857,267.279,269.5178,-0.008306686979487166,5
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,21,487.76,220.214,267.546,269.5178,-0.007316028848558537,5.25
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,22,487.244,219.476,267.76800000000003,269.5178,-0.006492335571157056,5.5
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,23,488.64,219.5,269.14,269.5178,-0.0014017627036137727,5.75
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,24,487.944,219,268.944,269.5178,-0.0021289873989770087,6
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,25,484.552,219.571,264.981,269.5178,-0.016833025499614598,6.25
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,26,484.196,218.833,265.36300000000006,269.5178,-0.015415679409671515,6.5
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,27,482.196,219.119,263.077,269.5178,-0.023897493968858544,6.75
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,28,481.432,218.405,263.02700000000004,269.5178,-0.0240830104727776,7
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,29,482.36,219.857,262.50300000000004,269.5178,-0.026027223433851044,7.25
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,30,482.672,220.143,262.529,269.5178,-0.02593075485181322,7.5
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,31,480.524,218.667,261.85699999999997,269.5178,-0.028424096664487655,7.75
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,32,478.204,219.762,258.442,269.5178,-0.04109487388217036,8
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,33,478.904,219.405,259.499,269.5178,-0.03717305498931795,8.25
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,34,478.184,219.619,258.56500000000005,269.5178,-0.040638503282528896,8.5
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,35,477.352,219.786,257.566,269.5178,-0.044345123030835244,8.75
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,36,476.976,219.833,257.14300000000003,269.5178,-0.04591459265399166,9
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,37,479.38,218.976,260.404,269.5178,-0.033815206268380145,9.25
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,38,479.616,219.929,259.687,269.5178,-0.036475512934581726,9.5
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,39,479.724,219.024,260.7,269.5178,-0.03271694856517838,9.75
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,40,478.096,219.238,258.858,269.5178,-0.039551376569562445,10
20210830_AWC_WT_HEX_IAA_10K__4_reg.tif,41,475.728,220.429,255.299,269.5178,-0.05275644131853263,10.25
