animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,-3.6982135200936826e-4,638.207,0.25,214.105,-0.004147418191584609,nls,0.0017266314075355645,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,-0.00231203163917131,638.252,0.5,214.974,-0.0033146703889443685,nls,-0.0010483266822666182,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,3.1372353060847975e-4,639.234,0.75,214.842,-0.0024933255408474547,nls,7.560836394162576e-4,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,-4.0046301916114e-4,638.721,1,214.632,-0.0016832275047355752,nls,-7.682009464652414e-4,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,-0.00342455986191463,637.622,1.25,214.816,-8.842222761365343e-4,nls,-0.004591303017817773,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,-0.00456065859785151,637.324,1.5,215,-9.615795938704153e-5,nls,-0.006515466070504145,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,-0.01759515239397439,632.162,1.75,215.368,6.811152612435298e-4,nls,-0.020327233087257597,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,-0.02086673962526192,630.459,2,215.053,0.0014477451500340133,nls,-0.02436545020733561,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,0.03500480484911448,653.189,2.25,214.079,0.002203877447902361,nls,0.030749961969172443,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,0.02439100275798572,648.712,2.5,214.105,0.002949655900111786,nls,0.01939038142583426,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,0.01932098537001824,647.009,2.75,214.553,0.003685222283597682,nls,0.013584797654380882,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,0.00721281274240807,641.793,3,214.474,0.0044107164339201935,nls,7.511308764481996e-4,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,-0.02058860756957599,630.919,3.25,215.395,0.005126276271847828,nls,-0.027765849273463494,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,-0.01416799977560856,633.09,3.5,214.842,0.005832037829576996,nls,-0.022051003037225233,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,-0.01197594204859327,634.099,3.75,214.921,0.006528135276592573,nls,-0.02055504275722552,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,0.00687811145505736,641.414,4,214.237,0.007214700945174304,nls,-0.002387554922156621,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,0.01018034035349653,642.946,4.25,214.368,0.007891865355553931,nls,2.3750956590292208e-4,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,0.01137772242373708,644.27,4.5,215.184,0.008559757240727939,nls,7.669997509694645e-4,tax4_hex,hex,OP50,AWC,0.0020509654320396767
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,-0.01008087278781897,635.64,4.75,215.658,0.009218503570930368,nls,-0.021350341790789013,tax4_hex,hex,OP50,AWC,0.0020509654320396767
