animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20200908_AWC_tax4_p678_HEX_10K__1/20200908_AWC_tax4_p678_HEX_10K__1_ImageJ_data.csv,1,37.5,-0.0647420358012224,69.25,-0.05397723072507811
20200908_AWC_tax4_p678_HEX_10K__2/20200908_AWC_tax4_p678_HEX_10K__2_ImageJ_data.csv,2,37.5,-0.048655141608710005,62,-0.06333621065712836
20200908_AWC_tax4_p678_HEX_10K__3/20200908_AWC_tax4_p678_HEX_10K__3_ImageJ_data.csv,3,34.75,-0.02264459733104253,60.75,0.02103079189770335
20200908_AWC_tax4_p678_HEX_10K__4/20200908_AWC_tax4_p678_HEX_10K__4_ImageJ_data.csv,4,38,0.012260890372559686,61.25,0.013837495093662156
20200908_AWC_tax4_p678_HEX_10K__5/20200908_AWC_tax4_p678_HEX_10K__5_ImageJ_data.csv,5,38,0.03601935545325907,60.75,0.05210629825043635
20200908_AWC_tax4_p678_HEX_10K__6/20200908_AWC_tax4_p678_HEX_10K__6_ImageJ_data.csv,6,30.75,-0.08699936280814746,60.75,-0.08621500451822141
20200908_AWC_tax4_p678_HEX_10K__7/20200908_AWC_tax4_p678_HEX_10K__7_ImageJ_data.csv,7,34.25,-0.0221730650956408,68,-0.018745437486320418
20200908_AWC_tax4_p678_HEX_10K__8/20200908_AWC_tax4_p678_HEX_10K__8_ImageJ_data.csv,8,32.25,0.01749225734773624,68.5,0.012628053618810269
20210829_AWC_tax4_p678_HEX_10K__1/20210829_AWC_tax4_p678_HEX_10K_ImageJ_data.csv,9,36.5,-0.12734452700809348,63.25,0.06271548699002538
20210829_AWC_tax4_p678_HEX_10K__2/20210829_AWC_tax4_p678_HEX_10K_ImageJ_data.csv,10,33.25,-0.06410710463200602,63,-0.04119712856474887
20210829_AWC_tax4_p678_HEX_10K__3/20210829_AWC_tax4_p678_HEX_10K__3_ImageJ_data.csv,11,40,0.055629363528833624,62.5,0.04939823076887452
20210829_AWC_tax4_p678_HEX_10K__4/20210829_AWC_tax4_p678_HEX_10K__4_ImageJ_data.csv,12,32.75,-0.05143006332156759,64,-0.03233173840568311
20210829_AWC_tax4_p678_HEX_10K__5/20210829_AWC_tax4_p678_HEX_10K__5_ImageJ_data.csv,13,40.25,-0.17823424261526039,60.75,-0.172852435675353
20210829_AWC_tax4_p678_HEX_10K__6/20210829_AWC_odr1_tax4_p678_HEX_10K__6_ImageJ_data.csv,14,31,0.04553306560272612,64.25,-0.05659020736190967
20210829_AWC_tax4_p678_HEX_10K__7/20210829_AWC_tax4_p678_HEX_10K__7_ImageJ_data.csv,15,39,0.06350275142720319,60.75,0.09548386655471444
