animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20200214_AWC_odr1_HEX_10K__6_reg.tif,1,457.383,221.864,235.51899999999998,233.2434,0.009756331797598427,0.25
20200214_AWC_odr1_HEX_10K__6_reg.tif,2,451.359,222.091,229.26799999999997,233.2434,-0.017043997815158054,0.5
20200214_AWC_odr1_HEX_10K__6_reg.tif,3,457.431,222.197,235.23399999999998,233.2434,0.008534432271180973,0.75
20200214_AWC_odr1_HEX_10K__6_reg.tif,4,454.479,222.5,231.97899999999998,233.2434,-0.005420946530534297,1
20200214_AWC_odr1_HEX_10K__6_reg.tif,5,450.449,222.424,228.025,233.2434,-0.022373194697041812,1.25
20200214_AWC_odr1_HEX_10K__6_reg.tif,6,455.036,221.773,233.263,233.2434,8.403238848343384e-5,1.5
20200214_AWC_odr1_HEX_10K__6_reg.tif,7,453.503,221.742,231.761,233.2434,-0.0063555924840746295,1.75
20200214_AWC_odr1_HEX_10K__6_reg.tif,8,456.545,221.364,235.181,233.2434,0.008307201832935051,2
20200214_AWC_odr1_HEX_10K__6_reg.tif,9,457.198,222.273,234.92499999999998,233.2434,0.007209635942538887,2.25
20200214_AWC_odr1_HEX_10K__6_reg.tif,10,453.323,222.379,230.944,233.2434,-0.009858371126471402,2.5
20200214_AWC_odr1_HEX_10K__6_reg.tif,11,458.778,222.727,236.05100000000002,233.2434,0.012037210913577867,2.75
20200214_AWC_odr1_HEX_10K__6_reg.tif,12,456.814,221.788,235.026,233.2434,0.007642659985234318,3
20200214_AWC_odr1_HEX_10K__6_reg.tif,13,460.407,222.47,237.93699999999998,233.2434,0.020123184621729812,3.25
20200214_AWC_odr1_HEX_10K__6_reg.tif,14,457.431,221.758,235.67299999999997,233.2434,0.010416586278539778,3.5
20200214_AWC_odr1_HEX_10K__6_reg.tif,15,454.575,222.303,232.272,233.2434,-0.004164748070041926,3.75
20200214_AWC_odr1_HEX_10K__6_reg.tif,16,456.467,222.5,233.96699999999998,233.2434,0.0031023385870724584,4
20200214_AWC_odr1_HEX_10K__6_reg.tif,17,455.509,222.591,232.918,233.2434,-0.001395109143495601,4.25
