animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,1,463.339,216.022,247.317,240.23525,0.029478396696571377,0.25
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,2,462.565,215.644,246.921,240.23525,0.027830012456539932,0.5
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,3,465.169,215.4,249.76899999999998,240.23525,0.03968505870807872,0.75
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,4,460.411,215.133,245.278,240.23525,0.020990882894995566,1
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,5,462.395,216.422,245.97299999999998,240.23525,0.023883880487979917,1.25
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,6,459.468,216.111,243.35700000000003,240.23525,0.012994554296257605,1.5
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,7,458.621,216.022,242.599,240.23525,0.009839313755995348,1.75
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,8,458.806,215.911,242.89499999999998,240.23525,0.011071439349554131,2
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,9,459.629,215.889,243.74,240.23525,0.01458882491224748,2.25
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,10,459.718,216.489,243.229,240.23525,0.012461743228772653,2.5
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,11,458.282,215.733,242.54899999999998,240.23525,0.009631184432759015,2.75
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,12,449.363,214.489,234.874,240.23525,-0.02231666668401083,3
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,13,449.556,215.556,233.99999999999997,240.23525,-0.025954767254181207,3.25
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,14,448.952,215.2,233.752,240.23525,-0.026987088697433027,3.5
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,15,452.242,216.822,235.42000000000002,240.23525,-0.020043894474270497,3.75
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,16,452.581,215.667,236.91400000000002,240.23525,-0.013824990295970271,4
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,17,451.452,216.267,235.185,240.23525,-0.021022102293481098,4.25
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,18,455.097,216.867,238.23,240.23525,-0.008347026508391328,4.5
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,19,445.387,215.8,229.587,240.23525,-0.04432426132301574,4.75
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,20,448.694,215.578,233.116,240.23525,-0.02963449368899857,5
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,21,457.032,216.244,240.78799999999998,240.23525,0.002300869668377038,5.25
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,22,458.089,217.578,240.511,240.23525,0.0011478332176480676,5.5
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,23,448.581,216.356,232.22500000000002,240.23525,-0.03334335822906915,5.75
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,24,448.081,214.756,233.32500000000002,240.23525,-0.02876451311787088,6
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,25,449.766,215.6,234.16600000000003,240.23525,-0.025263777901036514,6.25
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,26,460.121,216.667,243.45399999999998,240.23525,0.013398325183335799,6.5
20210816_AWC_Is_odr1p_HEX_10K__2_reg.tif,27,461.968,217.222,244.746,240.23525,0.018776386895761558,6.75
