animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210828_AWC_WT_HEX_10K_6_reg.tif,1,335.541,204,131.541,132.57755,-0.007818442866081063,0.25
20210828_AWC_WT_HEX_10K_6_reg.tif,2,336.692,203.523,133.169,132.57755,0.0044611625422253534,0.5
20210828_AWC_WT_HEX_10K_6_reg.tif,3,336.91,203.886,133.02400000000003,132.57755,0.00336746304332843,0.75
20210828_AWC_WT_HEX_10K_6_reg.tif,4,336.173,204.136,132.037,132.57755,-0.004077236304336564,1
20210828_AWC_WT_HEX_10K_6_reg.tif,5,336.526,204.523,132.00300000000001,132.57755,-0.004333689979939951,1.25
20210828_AWC_WT_HEX_10K_6_reg.tif,6,336.887,204.114,132.773,132.57755,0.0014742314969615436,1.5
20210828_AWC_WT_HEX_10K_6_reg.tif,7,336.932,203.591,133.341,132.57755,0.005758516430572189,1.75
20210828_AWC_WT_HEX_10K_6_reg.tif,8,336.195,204.068,132.12699999999998,132.57755,-0.0033983883395040946,2
20210828_AWC_WT_HEX_10K_6_reg.tif,9,334.895,204,130.89499999999998,132.57755,-0.0126910627025467,2.25
20210828_AWC_WT_HEX_10K_6_reg.tif,10,335.519,204.227,131.292,132.57755,-0.009696588902118048,2.5
20210828_AWC_WT_HEX_10K_6_reg.tif,11,333.782,204.341,129.44099999999997,132.57755,-0.023658228712176595,2.75
20210828_AWC_WT_HEX_10K_6_reg.tif,12,333.669,203.864,129.80499999999998,132.57755,-0.0209126658321867,3
20210828_AWC_WT_HEX_10K_6_reg.tif,13,334.932,203.273,131.65900000000002,132.57755,-0.006928397756633623,3.25
20210828_AWC_WT_HEX_10K_6_reg.tif,14,336.526,204.182,132.34400000000002,132.57755,-0.0017616104687405954,3.5
20210828_AWC_WT_HEX_10K_6_reg.tif,15,335.789,203.295,132.494,132.57755,-6.301971940196697e-4,3.75
20210828_AWC_WT_HEX_10K_6_reg.tif,16,337.774,202.795,134.979,132.57755,0.01811354939052661,4
20210828_AWC_WT_HEX_10K_6_reg.tif,17,338.549,204.159,134.39,132.57755,0.013670866598454897,4.25
20210828_AWC_WT_HEX_10K_6_reg.tif,18,338.353,203.545,134.80800000000002,132.57755,0.01682373825734462,4.5
20210828_AWC_WT_HEX_10K_6_reg.tif,19,338.368,203.227,135.141,132.57755,0.019335475727225226,4.75
20210828_AWC_WT_HEX_10K_6_reg.tif,20,338.947,204.659,134.288,132.57755,0.012901505571644737,5
20210828_AWC_WT_HEX_10K_6_reg.tif,21,341.053,203.955,137.09799999999998,132.57755,0.034096647584753094,5.25
20210828_AWC_WT_HEX_10K_6_reg.tif,22,340.368,203.841,136.527,132.57755,0.029789734385648133,5.5
20210828_AWC_WT_HEX_10K_6_reg.tif,23,339.459,203.568,135.891,132.57755,0.02499254210083071,5.75
20210828_AWC_WT_HEX_10K_6_reg.tif,24,338.737,204.614,134.12300000000002,132.57755,0.01165695096945159,6
20210828_AWC_WT_HEX_10K_6_reg.tif,25,337.992,203.114,134.87800000000001,132.57755,0.017351731118881077,6.25
20210828_AWC_WT_HEX_10K_6_reg.tif,26,338.263,203.955,134.30799999999996,132.57755,0.013052360674940531,6.5
20210828_AWC_WT_HEX_10K_6_reg.tif,27,337.774,204.114,133.66,132.57755,0.008164655328145635,6.75
20210828_AWC_WT_HEX_10K_6_reg.tif,28,338.737,203.523,135.21400000000003,132.57755,0.019886096854256432,7
20210828_AWC_WT_HEX_10K_6_reg.tif,29,340.233,203.955,136.278,132.57755,0.027911588349611147,7.25
20210828_AWC_WT_HEX_10K_6_reg.tif,30,340.759,205.295,135.46400000000003,132.57755,0.02177178564545826,7.5
