animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,1,345.986,204.857,141.129,140.773,0.0025288940350777105,0.25
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,2,345.053,205.071,139.982,140.773,-0.005618975229624977,0.5
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,3,345.428,204.464,140.964,140.773,0.0013567942716288103,0.75
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,4,346.558,204.679,141.879,140.773,0.00785662023257297,1
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,5,348.006,204.714,143.29199999999997,140.773,0.017894056388653913,1.25
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,6,347.589,204.536,143.053,140.773,0.016196287640385595,1.5
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,7,347.767,205.25,142.517,140.773,0.012388739317908973,1.75
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,8,346.75,204.821,141.929,140.773,0.008211801979072734,2
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,9,346.389,205.018,141.371,140.773,0.004247973688136313,2.25
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,10,345.603,204.661,140.942,140.773,0.0012005143031690107,2.5
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,11,344.75,204.321,140.429,140.773,-0.002443650415917783,2.75
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,12,345.089,204.625,140.464,140.773,-0.0021950231933680286,3
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,13,344.831,204.679,140.15200000000002,140.773,-0.004411357291525938,3.25
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,14,344.853,205.589,139.264,140.773,-0.01071938510936036,3.5
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,15,344.869,204.929,139.94000000000003,140.773,-0.005917327896684521,3.75
20210729_AWC_odr1_HEX_IAA_10K__6_reg.tif,16,344.775,204.125,140.64999999999998,140.773,-8.737470963893565e-4,4
