animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,1,345.718,216,129.71800000000002,128.96,0.00587779156327551,0.25
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,2,345.853,216.065,129.788,128.96,0.006420595533498782,0.5
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,3,345.689,215.978,129.711,128.96,0.005823511166253139,0.75
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,4,344.773,216.435,128.33800000000002,128.96,-0.00482320099255572,1
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,5,345.643,216.152,129.49099999999999,128.96,0.004117555831265334,1.25
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,6,345.445,216.152,129.293,128.96,0.0025821960297766626,1.5
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,7,345.458,216.326,129.13200000000003,128.96,0.0013337468982632247,1.75
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,8,344.324,215.348,128.976,128.96,1.2406947890811982e-4,2
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,9,344.231,216.37,127.86099999999999,128.96,-0.008522022332506343,2.25
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,10,344.933,216.543,128.39,128.96,-0.004419975186104386,2.5
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,11,345.202,215.522,129.68,128.96,0.0055831265508684775,2.75
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,12,345.298,215.826,129.472,128.96,0.003970223325062038,3
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,13,344.828,216.152,128.676,128.96,-0.002202233250620504,3.25
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,14,344.588,215.609,128.979,128.96,1.4733250620351624e-4,3.5
20210726_AWC_odr1p_HEX_IAA_10K__13_reg.tif,15,344.723,214.891,129.83200000000002,128.96,0.006761786600496387,3.75
