animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20210816_AWC_Is_odr1p_HEX_10K/20210816_AWC_Is_odr1p_HEX_10K__1/20210816_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,40,-0.3953315193436063,65,0.9753204414918502
20210816_AWC_Is_odr1p_HEX_10K/20210816_AWC_Is_odr1p_HEX_10K__2/20210816_AWC_Is_odr1p_HEX_10K__2_ImageJ_data.csv,2,39.75,-0.6107941516254825,63.75,-0.5530549147732721
20210816_AWC_Is_odr1p_HEX_10K/20210816_AWC_Is_odr1p_HEX_10K__3/20210816_AWC_Is_odr1p_HEX_10K__3_ImageJ_data.csv,3,40.25,-0.7381723263163726,60.75,-0.7247857390577965
20210816_AWC_Is_odr1p_HEX_10K/20210816_AWC_Is_odr1p_HEX_10K__4/20210816_AWC_Is_odr1p_HEX_10K__4_ImageJ_data.csv,4,40.25,-0.49224170687574803,70.25,0.9826740952638648
20210816_AWC_Is_odr1p_HEX_10K/20210816_AWC_Is_odr1p_HEX_10K__5/20210816_AWC_Is_odr1p_HEX_10K__5_ImageJ_data.csv,5,40.25,-0.7036762056374999,68.5,-0.7040745011815062
20210816_AWC_Is_odr1p_HEX_10K/20210816_AWC_Is_odr1p_HEX_10K__6/20210816_AWC_Is_odr1p_HEX_10K__6_ImageJ_data.csv,6,38.5,-0.3255042088026984,60.75,-0.13958649268279122
20210816_AWC_Is_odr1p_HEX_10K/20210816_AWC_Is_odr1p_HEX_10K__7/20210816_AWC_Is_odr1p_HEX_10K__7_ImageJ_data.csv,7,40.25,-0.7198844698629676,60.75,-0.5531996458080597
20210816_AWC_Is_odr1p_HEX_10K/20210816_AWC_Is_odr1p_HEX_10K__8/20210816_AWC_Is_odr1p_HEX_10K__8_ImageJ_data.csv,8,39,-0.36646863030925025,60.75,-0.2595949042055874
20210828_AWC_WT_HEX_10K/20210828_AWC_WT_HEX_10K_1/20210828_AWC_WT_HEX_10K_1_ImageJ_data.csv,9,33,0.021004584629351224,68,-0.04485217626107234
20210828_AWC_WT_HEX_10K/20210828_AWC_WT_HEX_10K_2/20210828_AWC_WT_HEX_10K_2_ImageJ_data.csv,10,40.25,-0.49779261325512864,60.75,-0.4283831754782372
20210828_AWC_WT_HEX_10K/20210828_AWC_WT_HEX_10K_3/20210828_AWC_WT_HEX_10K_3_ImageJ_data.csv,11,40,-0.45019985159703235,60.75,-0.35476605225869196
20210828_AWC_WT_HEX_10K/20210828_AWC_WT_HEX_10K_4/20210828_AWC_WT_HEX_10K_4_ImageJ_data.csv,12,40.25,-0.4667910231840615,60.75,-0.3921280486992422
20210828_AWC_WT_HEX_10K/20210828_AWC_WT_HEX_10K_5/20210828_AWC_WT_HEX_10K_5_ImageJ_data.csv,13,40.25,-0.39324079498888853,60.75,-0.3453811155712708
20210828_AWC_WT_HEX_10K/20210828_AWC_WT_HEX_10K_6/20210828_AWC_WT_HEX_10K_6_ImageJ_data.csv,14,38,-0.19144181398929824,60.75,-0.22921054985350328
20210828_AWC_WT_HEX_10K/20210828_AWC_WT_HEX_10K_7/20210828_AWC_WT_HEX_10K_7_ImageJ_data.csv,15,39.75,-0.12754892547765756,60.75,-0.04498072353595539
