animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00641443391415768,333.559,0.25,209.319,0,raw,-0.0075498680326863766,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.01197142282002608,333.593,0.5,208.667,0,raw,-0.0019928791268179757,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.01424768212403352,334.526,0.75,209.319,0,raw,2.8338017718946423e-4,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00751611101502932,333.293,1,208.917,0,raw,-0.006448190931814737,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.0111127627266995,333.237,1.25,208.417,0,raw,-0.0028515392201445573,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00111099275282785,332.63,1.5,209.319,0,raw,-0.015075294699671907,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00259096632877842,332.574,1.75,208.806,0,raw,-0.011373335618065637,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.0090714198633189,333.207,2,208.639,0,raw,-0.004892882083525157,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.0025285919635087,332.289,2.25,209.153,0,raw,-0.016492893910352757,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.01084787418847511,331.956,2.5,209.847,0,raw,-0.024812176135319164,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00127300409119144,332.43,2.75,209.139,0,raw,-0.015237306038035496,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00487775636977938,331.874,3,209.028,0,raw,-0.018842058316623438,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00767245195655024,331.404,3.25,208.903,0,raw,-0.0216367539033943,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.01150402010884748,331.222,3.5,209.194,0,raw,-0.025468322055691536,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00665178052486028,330.974,3.75,208.347,0,raw,-0.020616082471704336,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00909005116723086,331.326,4,209,0,raw,-0.023054353114074916,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
20210726_AWC_odr1p_HEX_IAA_10K/20210726_AWC_odr1p_HEX_IAA_10K__1/20210726_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.0073484292798235,331.222,4.25,208.681,0,raw,-0.021312731226667558,WT_hexiaa,hex,OP50,AWC,0.013964301946844056
