ypos,lum_bin,worm,time,y_mm
53,buffer,9,816,1.0146254458977408
53,buffer,10,1173,1.0146254458977408
53,buffer,16,2193,1.0146254458977408
53,buffer,23,977,1.0146254458977408
54,buffer,7,1453,1.033769322235434
54,buffer,10,1162,1.033769322235434
54,buffer,10,2022,1.033769322235434
54,buffer,10,2023,1.033769322235434
54,buffer,10,2058,1.033769322235434
54,buffer,23,861,1.033769322235434
55,buffer,7,1452,1.0529131985731273
55,buffer,10,1163,1.0529131985731273
55,buffer,10,2020,1.0529131985731273
55,buffer,10,2021,1.0529131985731273
55,buffer,10,2024,1.0529131985731273
55,buffer,23,914,1.0529131985731273
55,buffer,23,1049,1.0529131985731273
56,buffer,9,763,1.0720570749108205
56,buffer,10,1305,1.0720570749108205
56,buffer,10,1345,1.0720570749108205
56,buffer,10,2025,1.0720570749108205
56,buffer,10,2026,1.0720570749108205
56,buffer,10,2055,1.0720570749108205
56,buffer,10,2056,1.0720570749108205
56,buffer,10,2057,1.0720570749108205
57,buffer,7,1455,1.0912009512485137
57,buffer,9,797,1.0912009512485137
57,buffer,9,798,1.0912009512485137
57,buffer,10,2036,1.0912009512485137
57,buffer,10,2037,1.0912009512485137
57,buffer,10,2038,1.0912009512485137
57,buffer,10,2039,1.0912009512485137
57,buffer,10,2040,1.0912009512485137
57,buffer,10,2041,1.0912009512485137
57,buffer,10,2042,1.0912009512485137
57,buffer,10,2043,1.0912009512485137
57,buffer,10,2044,1.0912009512485137
57,buffer,10,2045,1.0912009512485137
57,buffer,10,2048,1.0912009512485137
57,buffer,10,2049,1.0912009512485137
57,buffer,10,2050,1.0912009512485137
57,buffer,10,2051,1.0912009512485137
57,buffer,10,2052,1.0912009512485137
57,buffer,10,2053,1.0912009512485137
57,buffer,10,2054,1.0912009512485137
57,buffer,28,2214,1.0912009512485137
58,buffer,9,799,1.110344827586207
58,buffer,10,1164,1.110344827586207
58,buffer,10,1172,1.110344827586207
58,buffer,10,1306,1.110344827586207
58,buffer,10,1310,1.110344827586207
58,buffer,10,1311,1.110344827586207
58,buffer,10,2027,1.110344827586207
58,buffer,10,2028,1.110344827586207
58,buffer,10,2029,1.110344827586207
58,buffer,10,2030,1.110344827586207
58,buffer,10,2031,1.110344827586207
58,buffer,10,2032,1.110344827586207
58,buffer,10,2033,1.110344827586207
58,buffer,10,2034,1.110344827586207
58,buffer,10,2035,1.110344827586207
58,buffer,10,2046,1.110344827586207
58,buffer,10,2047,1.110344827586207
58,buffer,16,2194,1.110344827586207
58,buffer,22,590,1.110344827586207
58,buffer,23,860,1.110344827586207
58,buffer,23,1056,1.110344827586207
59,buffer,9,793,1.1294887039239
59,buffer,9,796,1.1294887039239
