ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00337,0.335]",1,buffer,0,0,0
"(0.335,0.65]",2,buffer,0,0.3176470588235294,0
"(0.65,0.966]",3,buffer,0,0.6352941176470588,0
"(0.966,1.28]",4,buffer,131,0.9529411764705882,0.19697539253390395
"(1.28,1.6]",5,buffer,139,1.2705882352941176,0.20900442413902787
"(1.6,1.91]",6,buffer,124,1.588235294117647,0.18644998987942055
"(1.91,2.23]",7,buffer,148,1.9058823529411764,0.22253708469479225
"(2.23,2.54]",8,buffer,102,2.223529411764706,0.1533701529653298
"(2.54,2.86]",9,buffer,142,2.541176470588235,0.21351531099094934
"(2.86,3.17]",10,buffer,114,2.8588235294117643,0.17141370037301565
"(3.17,3.49]",11,buffer,105,3.176470588235294,0.15788103981725127
"(3.49,3.81]",12,buffer,62,3.4941176470588236,0.09322499493971027
"(3.81,4.12]",13,buffer,107,3.8117647058823527,0.16088829771853225
"(4.12,4.44]",14,buffer,118,4.129411764705882,0.1774282161755776
"(4.44,4.75]",15,buffer,50,4.447058823529412,0.07518144753202441
"(4.44,4.75]",15,dye,641,4.764705882352941,0.9638261573605529
"(4.75,5.07]",16,dye,2171,5.08235294117647,3.2643784518405
"(5.07,5.38]",17,dye,1918,5.3999999999999995,2.8839603273284564
"(5.38,5.7]",18,dye,1315,5.717647058823529,1.977272070092242
"(5.7,6.01]",19,dye,1579,6.035294117647059,2.374230113061331
"(6.01,6.33]",20,dye,1436,6.352941176470588,2.159211173119741
"(6.33,6.64]",21,dye,1371,6.670588235294117,2.0614752913281094
"(6.64,6.96]",22,dye,1334,6.988235294117647,2.0058410201544112
"(6.96,7.28]",23,dye,1295,7.305882352941176,1.9471994910794321
"(7.28,7.59]",24,dye,1178,7.6235294117647054,1.771274903854495
"(7.59,7.91]",25,dye,1181,7.941176470588235,1.7757857907064165
"(7.91,8.22]",26,dye,972,8.258823529411764,1.4615273400225546
"(8.22,8.54]",27,dye,1132,8.576470588235294,1.7021079721250327
"(8.54,8.85]",28,dye,1346,8.894117647058824,2.023884567562097
"(8.85,9.17]",29,dye,1672,9.211764705882352,2.5140676054708964
"(9.17,9.48]",30,dye,1864,9.529411764705882,2.80276436399387
"(9.48,9.8]",31,dye,1444,9.84705882352941,2.171240204724865
"(9.8,10.1]",32,dye,1559,10.16470588235294,2.344157534048521
"(10.1,10.4]",33,dye,1384,10.48235294117647,2.0810224676864357
"(10.4,10.7]",34,dye,1669,10.799999999999999,2.509556718618975
"(10.7,11.1]",35,dye,2344,11.117647058823529,3.524506260301304
"(11.1,11.4]",36,dye,1115,11.435294117647057,1.6765462799641444
"(11.4,11.7]",37,buffer,64,11.752941176470587,0.09623225284099124
"(11.4,11.7]",37,dye,106,12.070588235294117,0.15938466876789176
"(11.7,12]",38,buffer,108,12.388235294117646,0.16239192666917274
"(12,12.3]",39,buffer,52,12.705882352941176,0.07818870543330539
"(12.3,12.6]",40,buffer,189,13.023529411764706,0.28418587167105225
"(12.6,13]",41,buffer,104,13.341176470588234,0.15637741086661078
"(13,13.3]",42,buffer,177,13.658823529411764,0.2661423242633664
"(13.3,13.6]",43,buffer,94,13.976470588235294,0.14134112136020588
"(13.6,13.9]",44,buffer,168,14.294117647058822,0.252609663707602
"(13.9,14.2]",45,buffer,72,14.611764705882353,0.10826128444611514
"(14.2,14.5]",46,buffer,88,14.92941176470588,0.13231934765636297
"(14.5,14.8]",47,buffer,99,15.247058823529411,0.14885926611340833
"(14.8,15.2]",48,buffer,0,15.564705882352941,0
"(15.2,15.5]",49,buffer,0,15.88235294117647,0
"(15.5,15.8]",50,buffer,0,16.2,0
