ypos,lum_bin,worm,time,y_mm
53,buffer,8,2015,1.025600961538461
53,buffer,13,1217,1.025600961538461
54,buffer,13,1219,1.0449519230769226
54,buffer,18,2082,1.0449519230769226
55,buffer,8,1978,1.0643028846153841
55,buffer,13,1218,1.0643028846153841
55,buffer,13,1221,1.0643028846153841
56,buffer,8,2014,1.0836538461538456
56,buffer,13,1220,1.0836538461538456
57,buffer,8,2013,1.1030048076923071
58,buffer,8,2021,1.1223557692307686
59,buffer,8,1979,1.1417067307692301
59,buffer,8,2032,1.1417067307692301
60,buffer,13,1126,1.1610576923076916
60,buffer,18,2081,1.1610576923076916
63,buffer,8,1980,1.2191105769230763
63,buffer,8,2012,1.2191105769230763
64,buffer,8,2022,1.2384615384615378
64,buffer,8,2031,1.2384615384615378
65,buffer,26,1089,1.2578124999999993
67,buffer,18,2059,1.2965144230769223
67,buffer,18,2080,1.2965144230769223
68,buffer,8,2033,1.315865384615384
68,buffer,8,2043,1.315865384615384
68,buffer,8,2044,1.315865384615384
68,buffer,8,2045,1.315865384615384
68,buffer,8,2046,1.315865384615384
68,buffer,8,2047,1.315865384615384
68,buffer,8,2048,1.315865384615384
68,buffer,8,2049,1.315865384615384
68,buffer,8,2050,1.315865384615384
68,buffer,8,2051,1.315865384615384
69,buffer,8,2023,1.3352163461538455
69,buffer,8,2042,1.3352163461538455
69,buffer,8,2052,1.3352163461538455
69,buffer,13,1095,1.3352163461538455
69,buffer,18,2058,1.3352163461538455
70,buffer,8,2011,1.354567307692307
70,buffer,8,2041,1.354567307692307
70,buffer,26,1088,1.354567307692307
71,buffer,8,1981,1.3739182692307685
71,buffer,8,2053,1.3739182692307685
71,buffer,18,2060,1.3739182692307685
72,buffer,8,2030,1.39326923076923
72,buffer,8,2034,1.39326923076923
72,buffer,8,2039,1.39326923076923
72,buffer,8,2040,1.39326923076923
72,buffer,13,1125,1.39326923076923
72,buffer,18,2079,1.39326923076923
73,buffer,8,2024,1.4126201923076915
73,buffer,8,2037,1.4126201923076915
73,buffer,8,2038,1.4126201923076915
73,buffer,8,2054,1.4126201923076915
73,buffer,8,2055,1.4126201923076915
73,buffer,13,1115,1.4126201923076915
74,buffer,8,2036,1.431971153846153
74,buffer,13,1096,1.431971153846153
75,buffer,8,2010,1.4513221153846145
75,buffer,8,2025,1.4513221153846145
75,buffer,8,2035,1.4513221153846145
75,buffer,13,1097,1.4513221153846145
76,buffer,8,2028,1.4706730769230763
76,buffer,26,1087,1.4706730769230763
77,buffer,8,2056,1.4900240384615377
77,buffer,13,1116,1.4900240384615377
78,buffer,8,2029,1.5093749999999992
78,buffer,13,1117,1.5093749999999992
78,buffer,13,1121,1.5093749999999992
78,buffer,18,2061,1.5093749999999992
79,buffer,8,2026,1.5287259615384607
79,buffer,13,1100,1.5287259615384607
79,buffer,13,1114,1.5287259615384607
79,buffer,13,1118,1.5287259615384607
79,buffer,18,2078,1.5287259615384607
80,buffer,8,2027,1.5480769230769222
80,buffer,13,1098,1.5480769230769222
80,buffer,13,1120,1.5480769230769222
80,buffer,13,1124,1.5480769230769222
81,buffer,13,1099,1.5674278846153837
81,buffer,13,1113,1.5674278846153837
81,buffer,13,1119,1.5674278846153837
81,buffer,13,1122,1.5674278846153837
81,buffer,26,1086,1.5674278846153837
82,buffer,8,2009,1.5867788461538452
83,buffer,8,1982,1.606129807692307
83,buffer,13,1101,1.606129807692307
83,buffer,13,1123,1.606129807692307
83,buffer,18,2077,1.606129807692307
85,buffer,8,2057,1.64483173076923
86,buffer,8,1994,1.6641826923076914
87,buffer,13,1102,1.683533653846153
87,buffer,13,1112,1.683533653846153
88,buffer,8,1995,1.7028846153846144
88,buffer,18,2076,1.7028846153846144
88,buffer,26,1085,1.7028846153846144
89,buffer,8,1983,1.722235576923076
89,buffer,8,2008,1.722235576923076
