ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00247,0.337]",1,buffer,0,0,0
"(0.337,0.656]",2,buffer,0,0.3176470588235294,0
"(0.656,0.975]",3,buffer,0,0.6352941176470588,0
"(0.975,1.29]",4,buffer,472,0.9529411764705882,0.622375494472056
"(1.29,1.61]",5,buffer,431,1.2705882352941176,0.5683132163505427
"(1.61,1.93]",6,buffer,471,1.588235294117647,0.6210569023227508
"(1.93,2.25]",7,buffer,345,1.9058823529411764,0.45491429151029517
"(2.25,2.57]",8,buffer,647,2.223529411764706,0.8531291206004666
"(2.57,2.89]",9,buffer,675,2.541176470588235,0.8900497007810123
"(2.89,3.21]",10,buffer,793,2.8588235294117643,1.0456435743990262
"(3.21,3.53]",11,buffer,315,3.176470588235294,0.41535652703113907
"(3.53,3.84]",12,buffer,1078,3.4941176470588236,1.4214423369510092
"(3.84,4.16]",13,buffer,1091,3.8117647058823527,1.438584034891977
"(4.16,4.48]",14,buffer,160,4.129411764705882,0.21097474388883256
"(4.16,4.48]",14,dye,748,4.447058823529412,0.9863069276802922
"(4.48,4.8]",15,dye,1098,4.764705882352941,1.4478141799371134
"(4.8,5.12]",16,dye,794,5.08235294117647,1.0469621665483315
"(5.12,5.44]",17,dye,669,5.3999999999999995,0.8821381478851811
"(5.44,5.76]",18,dye,870,5.717647058823529,1.147175169895527
"(5.76,6.08]",19,dye,961,6.035294117647059,1.2671670554823005
"(6.08,6.39]",20,dye,979,6.352941176470588,1.290901714169794
"(6.39,6.71]",21,dye,776,6.670588235294117,1.023227507860838
"(6.71,7.03]",22,dye,1342,6.988235294117647,1.769550664367583
"(7.03,7.35]",23,dye,1258,7.305882352941176,1.658788923825946
"(7.35,7.67]",24,dye,1099,7.6235294117647054,1.4491327720864184
"(7.67,7.99]",25,dye,1242,7.941176470588235,1.6376914494370627
"(7.99,8.31]",26,dye,2624,8.258823529411764,3.4599857997768537
"(8.31,8.63]",27,dye,821,8.576470588235294,1.082564154579572
"(8.63,8.94]",28,dye,770,8.894117647058824,1.0153159549650066
"(8.94,9.26]",29,dye,900,9.211764705882352,1.186732934374683
"(9.26,9.58]",30,dye,1007,9.529411764705882,1.32782229435034
"(9.58,9.9]",31,dye,1720,9.84705882352941,2.26797849680495
"(9.9,10.2]",32,dye,1477,10.16470588235294,1.9475606045237854
"(10.2,10.5]",33,dye,924,10.48235294117647,1.218379145958008
"(10.5,10.9]",34,dye,1258,10.799999999999999,1.658788923825946
"(10.9,11.2]",35,dye,993,11.117647058823529,1.3093620042600669
"(11.2,11.5]",36,buffer,154,11.435294117647057,0.20306319099300132
"(11.2,11.5]",36,dye,944,11.752941176470587,1.244750988944112
"(11.5,11.8]",37,buffer,920,12.070588235294117,1.213104777360787
"(11.8,12.1]",38,buffer,1340,12.388235294117646,1.7669134800689725
"(12.1,12.5]",39,buffer,883,12.705882352941176,1.1643168678364946
"(12.5,12.8]",40,buffer,1160,13.023529411764706,1.529566893194036
"(12.8,13.1]",41,buffer,884,13.341176470588234,1.1656354599857999
"(13.1,13.4]",42,buffer,438,13.658823529411764,0.5775433613956791
"(13.4,13.7]",43,buffer,403,13.976470588235294,0.531392636169997
"(13.7,14]",44,buffer,565,14.294117647058822,0.7450045643574399
"(14,14.4]",45,buffer,279,14.611764705882353,0.36788720965615174
"(14.4,14.7]",46,buffer,359,14.92941176470588,0.473374581600568
"(14.7,15]",47,buffer,299,15.247058823529411,0.3942590526422558
"(15,15.3]",48,buffer,0,15.564705882352941,0
"(15.3,15.6]",49,buffer,0,15.88235294117647,0
"(15.6,16]",50,buffer,0,16.2,0
