animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,1,1058.916,261.886,797.03,798.79185,-0.00220564343514519,0.25
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,2,1057.813,263.068,794.7450000000001,798.79185,-0.0050662134321974315,0.5
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,3,1057.374,262.045,795.329,798.79185,-0.00433510932791816,0.75
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,4,1058.598,261.955,796.643,798.79185,-0.002690125093289228,1
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,5,1059.757,261.318,798.4390000000001,798.79185,-4.417295945118566e-4,1.25
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,6,1059.991,262.432,797.559,798.79185,-0.0015433933132892944,1.5
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,7,1057.841,262.545,795.2959999999998,798.79185,-0.00437642171737247,1.75
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,8,1058.916,261.182,797.7339999999999,798.79185,-0.0013243124601234107,2
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,9,1061.374,261.318,800.056,798.79185,0.0015825774887413863,2.25
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,10,1065.701,262.045,803.656,798.79185,0.006089383611012049,2.5
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,11,1066.121,263.136,802.9850000000001,798.79185,0.00524936502544458,2.75
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,12,1065.486,261.886,803.6000000000001,798.79185,0.006019277737999183,3
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,13,1063.019,261.045,801.9739999999999,798.79185,0.00398370363943996,3.25
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,14,1061.252,262.886,798.366,798.79185,-5.331176075469079e-4,3.5
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,15,1064.168,262.295,801.8729999999998,798.79185,0.0038572626898983335,3.75
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,16,1060.056,262.045,798.011,798.79185,-9.775387668264101e-4,4
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,17,1059.477,262.545,796.932,798.79185,-0.002328328712918062,4.25
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,18,1060.234,261.545,798.6889999999999,798.79185,-1.287569471322262e-4,4.5
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,19,1059.832,261.045,798.787,798.79185,-6.071669359069474e-6,4.75
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,20,1060.701,262.568,798.133,798.79185,-8.248081149049227e-4,5
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,21,1059.514,262.682,796.8319999999999,798.79185,-0.002453517771870199,5.25
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,22,1059.019,262.523,796.496,798.79185,-0.0028741530099486786,5.5
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,23,1058.187,262.068,796.1189999999999,798.79185,-0.0033461157621976732,5.75
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,24,1057.486,262.523,794.9630000000001,798.79185,-0.004793301283682195,6
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,25,1061.252,263.386,797.866,798.79185,-0.001159062902306738,6.25
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,26,1060.131,264.114,796.017,798.79185,-0.0034738086023285058,6.5
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,27,1061.15,264.068,797.0820000000001,798.79185,-0.0021405451244899992,6.75
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,28,1057.421,262.5,794.921,798.79185,-0.004845880688442058,7
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,29,1062.589,264.364,798.2249999999999,798.79185,-7.096341806692757e-4,7.25
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,30,1063.477,265.068,798.4090000000001,798.79185,-4.7928631219741223e-4,7.5
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,31,1061.383,266.864,794.519,798.79185,-0.005349140705429016,7.75
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,32,1061.224,265.682,795.5419999999999,798.79185,-0.0040684566323505155,8
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,33,1065.28,265.659,799.621,798.79185,0.00103800508230026,8.25
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,34,1061.561,265.705,795.856,798.79185,-0.0036753629872412438,8.5
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,35,1062.682,265.227,797.455,798.79185,-0.001673589934599249,8.75
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,36,1066.766,266.386,800.3800000000001,798.79185,0.001988190039745843,9
20200911_AWC_Is_odr1p_IAA_10000__11_reg.tif,37,1066.243,266.614,799.6289999999999,798.79185,0.001048020207016323,9.25
