animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,1,378.738,214.255,164.483,160.90255,0.022252288730041963,0.25
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,2,380.057,216.234,163.823,160.90255,0.018150427075270197,0.5
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,3,379.447,214.638,164.809,160.90255,0.024278359789823137,0.75
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,4,377.787,213.936,163.85099999999997,160.90255,0.018324445448502712,1
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,5,378.312,215.255,163.05700000000002,160.90255,0.013389781578974514,1.25
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,6,376.234,214.574,161.65999999999997,160.90255,0.0047075077430406,1.5
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,7,376.539,213.979,162.55999999999997,160.90255,0.010300955454093071,1.75
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,8,377.369,214.681,162.68800000000002,160.90255,0.011096468017443016,2
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,9,375.681,214.766,160.915,160.90255,7.737602666956604e-5,2.25
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,10,375.95,214.532,161.41799999999998,160.90255,0.0032034918029576727,2.5
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,11,376.879,214.298,162.58100000000002,160.90255,0.010431469234017898,2.75
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,12,375.489,214.128,161.361,160.90255,0.0028492401145910934,3
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,13,373.66,214.085,159.57500000000002,160.90255,-0.008250646120897239,3.25
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,14,373.809,215.064,158.74500000000003,160.90255,-0.013409047898867718,3.5
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,15,374.071,214.532,159.53900000000002,160.90255,-0.008474384029339343,3.75
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,16,373.823,213.851,159.97199999999998,160.90255,-0.005783314186133227,4
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,17,372.27,214.596,157.67399999999998,160.90255,-0.020065250675020456,4.25
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,18,372.461,214.979,157.482,160.90255,-0.021258519520044844,4.5
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,19,370.546,214.426,156.12,160.90255,-0.0297232703894375,4.75
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,20,370.695,214.957,155.738,160.90255,-0.03209737819568423,5
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,21,370.142,214.745,155.397,160.90255,-0.034216673383983036,5.25
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,22,371.113,215.83,155.283,160.90255,-0.034925176760716374,5.5
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,23,370.475,215.681,154.794,160.90255,-0.037964283350388046,5.75
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,24,368.106,214.872,153.23399999999998,160.90255,-0.04765959271621246,6
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,25,368.957,215.362,153.595,160.90255,-0.0454159986898902,6.25
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,26,366.66,214.596,152.06400000000002,160.90255,-0.05493107474058037,6.5
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,27,366.688,214.681,152.00699999999998,160.90255,-0.055285326428947304,6.75
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,28,365.291,213.894,151.397,160.90255,-0.05907644098866053,7
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,29,364.546,214.404,150.142,160.90255,-0.06687619307462807,7.25
20210802_AWC_odr1p_IAA_IAA_10K__2_reg.tif,30,363.184,214.574,148.61,160.90255,-0.07639748406721943,7.5
