animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.01179504348283497,348.179,0.25,202.964,0.02926001657424615,nls,-0.013360287309351977,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.00971870892402316,347.738,0.5,202.821,0.027858832943600698,nls,-0.014035438237518336,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.00808829856576132,347.897,0.75,203.214,0.02646550070204476,nls,-0.014272516354224236,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.00718948259902733,347.125,1,202.571,0.02507997585512306,nls,-0.013785807474036526,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.00472296436473399,347.057,1.25,202.857,0.023702214654898662,nls,-0.01487456450810547,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,-0.00238395258153534,344.966,1.5,201.786,0.02233217359857176,nls,-0.020611440398047895,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.00610254236018611,347.327,1.75,202.929,0.02096980942710608,nls,-0.010762581284860767,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.0027441757247922,347.452,2,203.536,0.0196150791238629,nls,-0.012766217617011497,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.0085342227663115,347.426,2.25,202.679,0.018267939913242742,nls,-0.00562903136487204,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.01068720054709306,347.27,2.5,202.214,0.016928349259334924,nls,-0.0021364629301826622,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,-0.00668294057746482,345.992,2.75,203.429,0.015596264864574383,nls,-0.01817451965998,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,-0.01968441804975753,343.947,3,203.25,0.014271644668406108,nls,-0.029851376936104432,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,-0.01305826313220652,344.255,3.25,202.607,0.012954446845957146,nls,-0.021908024196104464,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,-0.01611005687972206,344.281,3.5,203.071,0.011644629806715795,nls,-0.023650000904378653,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,-0.00767930246306925,345.456,3.75,203.036,0.010342152193218712,nls,-0.013916768874228758,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,-0.00434880609020986,345.791,4,202.893,0.009046972879744791,nls,-0.00929109318789545,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,-0.00860598869233776,345.966,4.25,203.679,0.007759050971016673,nls,-0.01226035388129523,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.01023430878090945,347.312,4.5,202.321,0.006478345800909557,nls,0.007860648762059094,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,-0.00227943909703128,346.338,4.75,203.143,0.005204816931167033,nls,-0.003379570246139111,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.00101621944766014,346.418,5,202.75,0.003938424150124409,nls,0.0011824810795949335,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,-0.01152539869281511,345.118,5.25,203.25,0.0026791274714388635,nls,-0.010099840382194771,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.00537094796865846,346.829,5.5,202.536,0.0014268871328269872,nls,0.008048746617890675,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.01762689591815626,348.266,5.75,202.214,1.816635948093115e-4,nls,0.02154991810540615,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.01809372281560713,348.262,6,202.143,-0.0010565824605382745,nls,0.023254991058204607,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
20210802_AWC_odr1p_IAA_IAA_10K__1/20210802_AWC_odr1p_IAA_IAA_10K__1_ImageJ_data.csv,1,0.0255908234373578,348.909,6.25,201.714,-0.002287890130825948,nls,0.031983399350242955,WT_IAA_IAA,IAA - IAA,OP50,AWC,-0.004104685782059202
