animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20200810_AWC_Is_odr1p_HEX_10K__1/20200810_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,40,-0.4216154630158342,60.75,-0.20368901873466994
20200810_AWC_Is_odr1p_HEX_10K__10/20200810_AWC_Is_odr1p_HEX_10K__10_ImageJ_data.csv,2,33.25,0.09566780742219042,61,0.13063609501059437
20200810_AWC_Is_odr1p_HEX_10K__2/20200810_AWC_Is_odr1p_HEX_10K__2_ImageJ_data.csv,3,39,-0.3600891730477091,68.25,0.27680711012670467
20200810_AWC_Is_odr1p_HEX_10K__3/20200810_AWC_Is_odr1p_HEX_10K__3_ImageJ_data.csv,4,40,-0.4006191343354762,60.75,-0.21109798607964766
20200810_AWC_Is_odr1p_HEX_10K__4/20200810_AWC_Is_odr1p_HEX_10K__4_ImageJ_data.csv,5,40,-0.11419472265394356,66.75,0.8891414311277586
20200810_AWC_Is_odr1p_HEX_10K__5/20200810_AWC_Is_odr1p_HEX_10K__5_ImageJ_data.csv,6,38.5,-0.3886126040465724,61.25,-0.3603450564108074
20200810_AWC_Is_odr1p_HEX_10K__6/20200810_AWC_Is_odr1p_HEX_10K__6_ImageJ_data.csv,7,40,-0.3442758179747508,62.5,-0.2644083342134132
20200810_AWC_Is_odr1p_HEX_10K__7/20200810_AWC_Is_odr1p_HEX_10K__7_ImageJ_data.csv,8,40.25,-0.16531410234684205,63.75,0.6111288029050994
20200810_AWC_Is_odr1p_HEX_10K__8/20200810_AWC_Is_odr1p_HEX_10K__8_ImageJ_data.csv,9,34.25,-0.03637947509458127,63,0.4779199650705841
20200810_AWC_Is_odr1p_HEX_10K__9/20200810_AWC_Is_odr1p_HEX_10K__9_ImageJ_data.csv,10,39.25,-0.055446258779880124,67,0.07600377075793671
20200831_AWC_Is_odr1p_HEX_10K_1/20200831_AWC_Is_odr1p_HEX_10K_1_ImageJ_data.csv,11,40.25,-0.6222311301729079,60.75,-0.5336161824228547
20200831_AWC_Is_odr1p_HEX_10K_10/20200831_AWC_Is_odr1p_HEX_10K_10_ImageJ_data.csv,12,40.25,-0.621860501494323,60.75,-0.5194756227024993
20200831_AWC_Is_odr1p_HEX_10K_2/20200831_AWC_Is_odr1p_HEX_10K_2_ImageJ_data.csv,13,40.25,-0.32179516665554764,60.75,-0.23856388856122965
20200831_AWC_Is_odr1p_HEX_10K_3/20200831_AWC_Is_odr1p_HEX_10K_3_ImageJ_data.csv,14,39.25,-0.18977861815895772,60.75,-0.13691256403942334
20200831_AWC_Is_odr1p_HEX_10K_4/20200831_AWC_Is_odr1p_HEX_10K_4_ImageJ_data.csv,15,34.5,-0.07610278959171149,60.75,-0.12827274410121883
20200831_AWC_Is_odr1p_HEX_10K_5/20200831_AWC_Is_odr1p_HEX_10K_5_ImageJ_data.csv,16,40,-0.3289232414828491,67.25,0.5491213156003114
20200831_AWC_Is_odr1p_HEX_10K_6/20200831_AWC_Is_odr1p_HEX_10K_6_ImageJ_data.csv,17,40.25,-0.7400979850781193,60.75,-0.6138127363184208
20200831_AWC_Is_odr1p_HEX_10K_7/20200831_AWC_Is_odr1p_HEX_10K_7_ImageJ_data.csv,18,39.75,-0.5043380539115447,60.75,-0.3154918135622068
20200831_AWC_Is_odr1p_HEX_10K_8/20200831_AWC_Is_odr1p_HEX_10K_8_ImageJ_data.csv,19,40.25,-0.6079960300416485,60.75,-0.43331140505967874
20200831_AWC_Is_odr1p_HEX_10K_9/20200831_AWC_Is_odr1p_HEX_10K_9_ImageJ_data.csv,20,40.25,-0.6627725541711924,60.75,-0.5570132346346158
