animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,-0.04992170815874636,390.544,0.25,210.611,0,raw,-0.005670183013432119,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,-0.02477221971560421,395.474,0.5,210.778,0,raw,0.01947930542971003,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.02378957856522245,404.643,0.75,210.75,0,raw,0.06804110371053669,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.02996738697976721,405.702,1,210.639,0,raw,0.07421891212508144,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.04001556596513343,407.883,1.25,210.917,0,raw,0.08426709111044767,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.03610295396925506,406.614,1.5,210.389,0,raw,0.0803544791145693,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.00843482055710651,401.596,1.75,210.611,0,raw,0.05268634570242075,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,-0.0087627196191089,399.117,2,211.389,0,raw,0.03548880552620534,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,-0.02588633730147515,396.041,2.25,211.556,0,raw,0.01836518784383909,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,-0.04190111757610228,393.035,2.5,211.583,0,raw,0.002350407569211961,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,-0.04481049572688381,391.123,2.75,210.222,0,raw,-5.589705815695692e-4,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,-0.05408776870496503,390.45,3,211.306,0,raw,-0.009836243559650792,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,-0.03876469176564148,392.602,3.25,210.556,0,raw,0.005486833379672762,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,-0.01375248795393355,398.977,3.5,212.194,0,raw,0.03049903719138069,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.00349257382547073,401.105,3.75,211.056,0,raw,0.04774409897078497,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.02691016384128737,405.123,4,210.639,0,raw,0.0711616889866016,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.03094421993420363,407.304,4.25,212.056,0,raw,0.07519574507951787,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.03591286755649998,406.661,4.5,210.472,0,raw,0.08016439270181422,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.03199497538248964,406.836,4.75,211.389,0,raw,0.07624650052780388,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.03509443994602611,406.673,5,210.639,0,raw,0.07934596509134034,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.03182072950413061,407.053,5.25,211.639,0,raw,0.07607225464944485,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.0351630822617433,407.269,5.5,211.222,0,raw,0.07941460740705754,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.02960833486678507,405.912,5.75,210.917,0,raw,0.07385986001209931,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.01524625034750188,402.719,6,210.444,0,raw,0.059497775492816124,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,0.0084665016258989,402.491,6.25,211.5,0,raw,0.052718026771213136,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,-0.00750075704553949,398.55,6.5,210.583,0,raw,0.03675076809977475,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
20220122_AWC_WT_HEX_100K/20220122_AWC_WT_HEX_100K__1/20220122_AWC_WT_HEX_100K__1_ImageJ_data.csv,1,-0.01386337169470736,398.012,6.75,211.25,0,raw,0.03038815345060688,HEX10 - 5,HEX10 - 5,OP50,AWC,-0.04425152514531424
