animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220123_AWC_WT_HEX_1K__4_reg.tif,1,330.005,209.074,120.93099999999998,130.8553,-0.07584178860160816,0.25
20220123_AWC_WT_HEX_1K__4_reg.tif,2,330.684,208.815,121.86900000000003,130.8553,-0.06867356538099696,0.5
20220123_AWC_WT_HEX_1K__4_reg.tif,3,332.121,209.407,122.71399999999997,130.8553,-0.06221605085923176,0.75
20220123_AWC_WT_HEX_1K__4_reg.tif,4,330.942,207.926,123.01600000000002,130.8553,-0.0599081580952394,1
20220123_AWC_WT_HEX_1K__4_reg.tif,5,332.237,209.481,122.75600000000003,130.8553,-0.06189508564039799,1.25
20220123_AWC_WT_HEX_1K__4_reg.tif,6,331.811,209.481,122.32999999999998,130.8553,-0.0651505900028506,1.5
20220123_AWC_WT_HEX_1K__4_reg.tif,7,333.374,209.296,124.07800000000003,130.8553,-0.051792323276168166,1.75
20220123_AWC_WT_HEX_1K__4_reg.tif,8,334.079,208.593,125.48600000000002,130.8553,-0.041032346416232136,2
20220123_AWC_WT_HEX_1K__4_reg.tif,9,335.668,209.148,126.52000000000001,130.8553,-0.03313048840971661,2.25
20220123_AWC_WT_HEX_1K__4_reg.tif,10,339.337,210.222,129.11499999999998,130.8553,-0.013299423103229438,2.5
20220123_AWC_WT_HEX_1K__4_reg.tif,11,340.763,209.778,130.98499999999999,130.8553,9.911711638732668e-4,2.75
20220123_AWC_WT_HEX_1K__4_reg.tif,12,343.921,209.407,134.51399999999998,130.8553,0.027959891574892128,3
20220123_AWC_WT_HEX_1K__4_reg.tif,13,344.805,208.63,136.175,130.8553,0.040653301776848255,3.25
20220123_AWC_WT_HEX_1K__4_reg.tif,14,348.863,208.296,140.567,130.8553,0.0742170932319899,3.5
20220123_AWC_WT_HEX_1K__4_reg.tif,15,349.032,209.667,139.36499999999998,130.8553,0.06503137435014081,3.75
20220123_AWC_WT_HEX_1K__4_reg.tif,16,350.189,208.741,141.448,130.8553,0.08094972079846982,4
20220123_AWC_WT_HEX_1K__4_reg.tif,17,349.658,209.741,139.917,130.8553,0.0692497743690932,4.25
20220123_AWC_WT_HEX_1K__4_reg.tif,18,347.926,208.741,139.18499999999997,130.8553,0.06365580912656937,4.5
20220123_AWC_WT_HEX_1K__4_reg.tif,19,346.884,208.407,138.477,130.8553,0.05824525258052218,4.75
20220123_AWC_WT_HEX_1K__4_reg.tif,20,346.695,209.037,137.658,130.8553,0.051986430813272276,5
20220123_AWC_WT_HEX_1K__4_reg.tif,21,344.953,208.63,136.32299999999998,130.8553,0.04178432207178448,5.25
20220123_AWC_WT_HEX_1K__4_reg.tif,22,343.289,208.815,134.474,130.8553,0.02765421041409855,5.5
20220123_AWC_WT_HEX_1K__4_reg.tif,23,343.479,209.074,134.40499999999997,130.8553,0.02712691041172939,5.75
20220123_AWC_WT_HEX_1K__4_reg.tif,24,345.753,210.037,135.71599999999998,130.8553,0.037145610456740995,6
20220123_AWC_WT_HEX_1K__4_reg.tif,25,344.689,209.222,135.467,130.8553,0.03524274523080084,6.25
20220123_AWC_WT_HEX_1K__4_reg.tif,26,344.405,208.593,135.81199999999998,130.8553,0.03787924524264576,6.5
20220123_AWC_WT_HEX_1K__4_reg.tif,27,345.8,208.889,136.911,130.8553,0.046277835135451154,6.75
20220123_AWC_WT_HEX_1K__4_reg.tif,28,344.105,208.259,135.84600000000003,130.8553,0.038139074229320724,7
20220123_AWC_WT_HEX_1K__4_reg.tif,29,346.163,209.222,136.941,130.8553,0.0465070960060464,7.25
20220123_AWC_WT_HEX_1K__4_reg.tif,30,346.863,210.037,136.826,130.8553,0.04562826266876461,7.5
20220123_AWC_WT_HEX_1K__4_reg.tif,31,348.142,208.926,139.216,130.8553,0.06389271202618471,7.75
20220123_AWC_WT_HEX_1K__4_reg.tif,32,346.663,208.519,138.144,130.8553,0.05570045691691514,8
20220123_AWC_WT_HEX_1K__4_reg.tif,33,344.879,208.778,136.10100000000003,130.8553,0.04008779162938014,8.25
