animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,1,249.141,207.534,41.607,42.5296,-0.02169312666942559,0.25
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,2,249.301,206.741,42.559999999999974,42.5296,7.147962830586646e-4,0.5
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,3,248.904,207.414,41.49000000000001,42.5296,-0.024444151837778698,0.75
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,4,249.234,206.966,42.268,42.5296,-0.006151010120010566,1
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,5,249.521,207.517,42.00399999999999,42.5296,-0.012358451525526018,1.25
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,6,249.859,207.345,42.51400000000001,42.5296,-3.668033557802581e-4,1.5
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,7,250.025,207.914,42.11100000000002,42.5296,-0.009842556713441548,1.75
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,8,249.958,206.776,43.18199999999999,42.5296,0.015339904443022878,2
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,9,249.527,207,42.52699999999999,42.5296,-6.113389263043284e-5,2.25
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,10,249.239,207.448,41.791,42.5296,-0.01736672811406656,2.5
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,11,250.085,207.034,43.051000000000016,42.5296,0.012259696775892885,2.75
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,12,249.845,207.138,42.706999999999994,42.5296,0.004171212520221012,3
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,13,250.175,208,42.17500000000001,42.5296,-0.008337722433316812,3.25
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,14,249.887,207.103,42.78399999999999,42.5296,0.005981716263496241,3.5
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,15,250.611,207.19,43.42099999999999,42.5296,0.02095951995786441,3.75
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,16,250.369,207.672,42.697,42.5296,0.00393608216395171,4
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,17,250.8,207.569,43.23100000000002,42.5296,0.01649204318874433,4.25
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,18,249.918,206.897,43.021000000000015,42.5296,0.01155430570708431,4.5
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,19,250.437,206.897,43.54000000000002,42.5296,0.02375757119747231,4.75
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,20,249.273,207.362,41.911,42.5296,-0.014545163838832264,5
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,21,250.149,208,42.149,42.5296,-0.008949061359617799,5.25
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,22,250.251,207.81,42.441,42.5296,-0.0020832549565479,5.5
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,23,250.459,206.897,43.56200000000001,42.5296,0.024274857981265042,5.75
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,24,250.107,207.224,42.88300000000001,42.5296,0.00830950679056487,6
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,25,250.589,207.259,43.33000000000001,42.5296,0.01881983371581229,6.25
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,26,250.155,207.155,43,42.5296,0.011060531958917975,6.5
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,27,251.177,207.534,43.643,42.5296,0.02617941386704786,6.75
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,28,250.248,207.759,42.489000000000004,42.5296,-9.546292464541813e-4,7
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,29,250.668,207.034,43.634000000000015,42.5296,0.02596779654640562,7.25
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,30,250.408,207.362,43.04599999999999,42.5296,0.012142131597757566,7.5
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,31,250.625,207.31,43.315,42.5296,0.01846713818140767,7.75
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,32,250.645,207.241,43.403999999999996,42.5296,0.020559798352206327,8
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,33,251.203,207.034,44.16900000000001,42.5296,0.038547270606824634,8.25
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,34,251.158,206.793,44.36499999999998,42.5296,0.04315582558970643,8.5
20220213_AWC_WT_HEX_IAA_1K__1_reg.tif,35,251.045,207.241,43.803999999999974,42.5296,0.029965012602986427,8.75
