animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,39.75,-0.34041311970091903,63,0.5327364989129494
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__2/20220122_AWC_WT_HEX_1K__2_ImageJ_data.csv,2,40,-0.7820375182200617,70.25,-0.8250168152602934
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__3/20220122_AWC_WT_HEX_1K__3_ImageJ_data.csv,3,38.25,2.5624269656881524,60.75,0.7544929273160085
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__4/20220122_AWC_WT_HEX_1K__4_ImageJ_data.csv,4,34.25,-0.05386981340168157,61,0.22864897027348688
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__5/20220122_AWC_WT_HEX_1K__5_ImageJ_data.csv,5,38.5,-0.2586367057631323,66.75,0.2522006724060247
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__6/20220122_AWC_WT_HEX_1K__6_ImageJ_data.csv,6,35,-0.04456218234967803,61.5,0.11115841485596689
20220123_AWC_WT_HEX_1K/20220123_AWC_WT_HEX_1K__1/20220123_AWC_WT_HEX_1K__1_ImageJ_data.csv,7,40.25,-0.6322648772170064,60.75,-0.5266053324535684
20220123_AWC_WT_HEX_1K/20220123_AWC_WT_HEX_1K__2/20220123_AWC_WT_HEX_1K__2_ImageJ_data.csv,8,30.75,0.3273879041191603,69.75,-0.06363213324385142
20220123_AWC_WT_HEX_1K/20220123_AWC_WT_HEX_1K__3/20220123_AWC_WT_HEX_1K__3_ImageJ_data.csv,9,32.75,-0.057471739713515824,63.75,1.8633888239679839
20220123_AWC_WT_HEX_1K/20220123_AWC_WT_HEX_1K__4/20220123_AWC_WT_HEX_1K__4_ImageJ_data.csv,10,40.25,-0.6184715920125949,70.25,-0.5998708933783021
20220212_AWC_WT_HEX_1K/20220212_AWC_WT_HEX_1K__1/20220212_AWC_WT_HEX_1K__1_ImageJ_data.csv,11,40,-0.24044226743358837,66.75,0.2553731709643182
20220212_AWC_WT_HEX_1K/20220212_AWC_WT_HEX_1K__2/20220212_AWC_WT_HEX_1K__2_ImageJ_data.csv,12,40.25,0.6252860323558125,60.75,0.8857339691501754
20220212_AWC_WT_HEX_1K/20220212_AWC_WT_HEX_1K__3/20220212_AWC_WT_HEX_1K__3_ImageJ_data.csv,13,35.25,-0.2266988577016527,64.75,0.22074330103420622
20220212_AWC_WT_HEX_1K/20220212_AWC_WT_HEX_1K__4/20220212_AWC_WT_HEX_1K__4_ImageJ_data.csv,14,39.5,-0.3144498200908493,68.5,0.38866362766537
20220212_AWC_WT_HEX_1K/20220212_AWC_WT_HEX_1K__5/20220212_AWC_WT_HEX_1K__5_ImageJ_data.csv,15,32.5,0.15374175762124248,68.25,-0.06828906653791057
20220213_AWC_WT_HEX_1K/20220213_AWC_WT_HEX_1K__1/20220213_AWC_WT_HEX_1K__1_ImageJ_data.csv,16,38,-0.4474641783296947,65,1.8120225468043687
20220213_AWC_WT_HEX_1K/20220213_AWC_WT_HEX_1K__2/20220213_AWC_WT_HEX_1K__2_ImageJ_data.csv,17,39,-0.32715904230014803,69.75,1.6392612055676539
20220213_AWC_WT_HEX_1K/20220213_AWC_WT_HEX_1K__3/20220213_AWC_WT_HEX_1K__3_ImageJ_data.csv,18,40,-0.4649579300080421,60.75,-0.38273836518483983
20220213_AWC_WT_HEX_1K/20220213_AWC_WT_HEX_1K__4/20220213_AWC_WT_HEX_1K__4_ImageJ_data.csv,19,34.75,-0.073707768715709,64,1.566266050403932
20220213_AWC_WT_HEX_1K/20220213_AWC_WT_HEX_1K__5/20220213_AWC_WT_HEX_1K__5_ImageJ_data.csv,20,35.75,-0.07452059330729993,64,1.539242149200082
