animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,-0.01443850164335214,281.847,0.25,205.127,0.011125917360209903,nls,-0.024681030038873293,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,-0.01465688727254999,282.506,0.5,205.803,0.010714793422496705,nls,-0.024488291730357943,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,-0.00918440032912001,282.594,0.75,205.465,0.010304249992599046,nls,-0.018605261357030306,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,-0.0057287689024002,283.046,1,205.648,0.009894286250838713,nls,-0.014739666188550162,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,-0.01225464535137292,282.284,1.25,205.394,0.009484901378694899,nls,-0.020856157765379066,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,-0.00400737629578126,282.87,1.5,205.338,0.009076094558802539,nls,-0.012200081889895048,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,-0.0128070325311085,282.762,1.75,205.915,0.008667864974950756,nls,-0.020591508541370505,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,-0.01609566318255963,282.506,2,205.915,0.008260211812081086,nls,-0.023472486029951965,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,3.918095112064024e-5,283.284,2.25,205.437,0.007853134256285976,nls,-0.006930564340476585,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,6.423106741327982e-7,283.238,2.5,205.394,0.007446631494807121,nls,-0.006562600219444237,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,-0.00202905941951796,282.728,2.75,205.042,0.007040702716033687,nls,-0.008186373170862895,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,-0.0029282943632743,282.686,3,205.07,0.0066353471095010885,nls,-0.008680252508086638,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,-0.01099571643011389,282.72,3.25,205.732,0.006230563865888938,nls,-0.01634289133131408,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,-0.00481668774516157,283.314,3.5,205.845,0.005826352177019656,nls,-0.009759650957492474,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,0.01347632025353297,284.034,3.75,205.141,0.005422711235856803,nls,0.008936997982364919,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,0.00713029079331196,283.92,4,205.521,0.005019640236503475,nls,0.0029940395214972356,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,0.00980230319761531,284.368,4.25,205.761,0.004617138374200747,nls,0.006068553788103314,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,0.02646384208406732,285.552,4.5,205.648,0.004215204845325948,nls,0.023132026203430123,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,0.02636107237620899,285.628,4.75,205.732,0.003813838847391171,nls,0.02343062249350657,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,0.02666938149978251,285.061,5,205.141,0.0034130395790415435,nls,0.024139730885429717,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,0.02047750660134826,284.973,5.25,205.535,0.0030128062400538447,nls,0.018348089325983166,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,0.01984804214071893,285.375,5.5,205.986,0.0026131380313346164,nls,0.018118293074073064,sIAA,HEX - IAA,OP50,AWC,-8.833889646887512e-4
