animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__1/20220210_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,1,39.5,1.6279833864300586,60.75,0.4073843902824687
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__2/20220210_AWC_WT_HEX_IAA_100K__2_ImageJ_data.csv,2,35.25,0.250822213520238,60.75,0.09602991066686513
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__3/20220210_AWC_WT_HEX_IAA_100K__3_ImageJ_data.csv,3,39.25,2.023077891325042,60.75,0.9228245734110595
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__4/20220210_AWC_WT_HEX_IAA_100K__4_ImageJ_data.csv,4,32.25,2.2582700877208564,60.75,0.5098834794209266
20220210_AWC_WT_HEX_IAA_100K/20220210_AWC_WT_HEX_IAA_100K__5/20220210_AWC_WT_HEX_IAA_100K__5_ImageJ_data.csv,5,33,3.949897207509223,60.75,1.0574748570955605
20220212_AWC_WT_HEX_IAA_100K/20220212_AWC_WT_HEX_IAA_100K__1/20220212_AWC_WT_HEX_IAA_100K__1_ImageJ_data.csv,6,39.5,0.43231310194222916,61.5,0.11623546745214018
20220212_AWC_WT_HEX_IAA_100K/20220212_AWC_WT_HEX_IAA_100K__2/20220212_AWC_WT_HEX_IAA_100K__2_ImageJ_data.csv,7,32.75,3.963328389647519,60.75,1.0447352378578942
20220212_AWC_WT_HEX_IAA_100K/20220212_AWC_WT_HEX_IAA_100K__3/20220212_AWC_WT_HEX_IAA_100K__3_ImageJ_data.csv,8,32,2.7611961107699146,60.75,0.8235512195153599
20220212_AWC_WT_HEX_IAA_100K/20220212_AWC_WT_HEX_IAA_100K__4/20220212_AWC_WT_HEX_IAA_100K__4_ImageJ_data.csv,9,31.75,0.13121874153504962,61.5,0.050071869310585444
20220212_AWC_WT_HEX_IAA_100K/20220212_AWC_WT_HEX_IAA_100K__5/20220212_AWC_WT_HEX_IAA_100K__5_ImageJ_data.csv,10,32,3.0770869032888055,60.75,0.9328632026764964
