animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,1,1084.153,231.738,852.415,836.31585,0.019250083565915926,0.25
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,2,1066.5,232.071,834.429,836.31585,-0.002256145211166309,0.5
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,3,1069.403,232.762,836.6410000000001,836.31585,0.00038878851811803106,0.75
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,4,1090.521,231.714,858.807,836.31585,0.026893128953612518,1
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,5,1089.028,232.167,856.861,836.31585,0.024566256875318142,1.25
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,6,1088.583,232.595,855.988,836.31585,0.023522392885415362,1.5
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,7,1082.653,232.69,849.963,836.31585,0.016318176918445358,1.75
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,8,1081.278,231.81,849.4680000000001,836.31585,0.015726295274686136,2
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,9,1075.104,232.262,842.8420000000001,836.31585,0.0078034512917579445,2.25
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,10,1074.896,232.881,842.015,836.31585,0.006814590444507338,2.5
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,11,1082.382,232.119,850.263,836.31585,0.01667689306617838,2.75
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,12,1078.924,231.786,847.1379999999999,836.31585,0.012940266527293446,3
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,13,1067.188,232,835.1880000000001,836.31585,-0.0013485933574018155,3.25
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,14,1041.306,232.738,808.568,836.31585,-0.03317867286623824,3.5
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,15,1060.417,232.095,828.3219999999999,836.31585,-0.009558410258516644,3.75
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,16,1057.903,231.881,826.022,836.31585,-0.012308567391135667,4
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,17,1051.069,232.095,818.9739999999999,836.31585,-0.02073600542187503,4.25
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,18,1044.132,232.048,812.0840000000001,836.31585,-0.028974519614808084,4.5
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,19,1042.181,232.071,810.11,836.31585,-0.03133487186689089,4.75
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,20,1043.243,233.024,810.2189999999999,836.31585,-0.031204538333214682,5
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,21,1041.535,232.262,809.2730000000001,836.31585,-0.03233568991906565,5.25
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,22,1038.493,231.952,806.5409999999999,836.31585,-0.03560239830442053,5.5
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,23,1037.903,233.524,804.379,836.31585,-0.0381875460090825,5.75
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,24,1040.208,232.429,807.7790000000001,836.31585,-0.034122096334775726,6
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,25,1045.174,231.071,814.103,836.31585,-0.026560359940565523,6.25
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,26,1043.819,231.643,812.1759999999999,836.31585,-0.02886451332950347,6.5
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,27,1045.069,232.5,812.569,836.31585,-0.028394595175973283,6.75
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,28,1031.083,232.905,798.1780000000001,836.31585,-0.045602208782722274,7
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,29,1032.222,233.262,798.96,836.31585,-0.044667155357631834,7.25
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,30,1026.188,233.143,793.0450000000001,836.31585,-0.05173984207043294,7.5
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,31,1021.354,233.262,788.0920000000001,836.31585,-0.057662245669503766,7.75
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,32,1027.021,233.238,793.7829999999999,836.31585,-0.05085740034701011,8
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,33,1025.75,233.143,792.607,836.31585,-0.05226356764612316,8.25
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,34,1022.278,233.881,788.397,836.31585,-0.05729755091930867,8.5
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,35,1023.75,234.143,789.607,836.31585,-0.05585072912345256,8.75
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,36,1035.438,231.595,803.8430000000001,836.31585,-0.03882845219303195,9
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,37,1020.833,233.405,787.428,836.31585,-0.05845620407648613,9.25
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,38,1024,233.071,790.929,836.31585,-0.054269986632442736,9.5
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,39,1017.111,233.357,783.754,836.31585,-0.06284928116572218,9.75
20210715_AWC_Is_odr1p_HEX+IAA_10K__9_reg.tif,40,1017.264,232.905,784.359,836.31585,-0.062125870267794064,10
