animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,1,475.273,221.889,253.38400000000001,262.76025,-0.03568366980926518,0.25
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,2,475.151,223.222,251.929,262.76025,-0.041221037048031366,0.5
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,3,474.856,222.583,252.273,262.76025,-0.03991185881426125,0.75
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,4,474.986,222.389,252.59699999999998,262.76025,-0.03867879559408246,1
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,5,474.827,222.806,252.021,262.76025,-0.040870907985511504,1.25
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,6,474.993,223.389,251.60399999999998,262.76025,-0.042457906018889845,1.5
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,7,476.619,221.722,254.89700000000002,262.76025,-0.02992556903108429,1.75
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,8,474.043,221.944,252.09900000000002,262.76025,-0.04057405943250537,2
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,9,479.194,221.806,257.38800000000003,262.76025,-0.020445444088289425,2.25
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,10,481.712,222.75,258.962,262.76025,-0.0144551925186553,2.5
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,11,485.345,223.222,262.12300000000005,262.76025,-0.002425214620552149,2.75
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,12,489.633,222.667,266.966,262.76025,0.01600603592057788,3
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,13,489.698,222.667,267.03099999999995,262.76025,0.016253409714749336,3.25
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,14,488.439,223.278,265.16100000000006,262.76025,0.009136655943964405,3.5
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,15,491.647,222.333,269.31399999999996,262.76025,0.02494193851619482,3.75
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,16,497.935,222.5,275.435,262.76025,0.04823693842580839,4
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,17,500.705,223.194,277.51099999999997,262.76025,0.056137676836583855,4.25
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,18,498.777,222.361,276.416,262.76025,0.051970379842461,4.5
20200810_AWC_Is_odr1p_HEX_10K__6_reg.tif,19,499.784,222.361,277.423,262.76025,0.05580277077678233,4.75
