animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,1,1498.076,206.462,1291.614,1227.6947,0.05206449127783969,0.25
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,2,1481.826,206,1275.826,1227.6947,0.03920461658749525,0.5
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,3,1491.625,205,1286.625,1227.6947,0.048000777391968855,0.75
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,4,1489.326,205.923,1283.403,1227.6947,0.04537634641576608,1
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,5,1474.092,206.385,1267.707,1227.6947,0.032591408922755874,1.25
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,6,1470.076,207.154,1262.922,1227.6947,0.028693860126625954,1.5
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,7,1467.168,205.769,1261.399,1227.6947,0.027453323696844074,1.75
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,8,1459.712,206.231,1253.481,1227.6947,0.021003837517584775,2
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,9,1449.462,206.615,1242.847,1227.6947,0.012342074947460447,2.25
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,10,1438.87,206.308,1232.562,1227.6947,0.0039645850063536854,2.5
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,11,1437.745,206.154,1231.591,1227.6947,0.003173671760576862,2.75
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,12,1440.967,204.692,1236.275,1227.6947,0.006988952546590027,3
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,13,1429.06,205.308,1223.752,1227.6947,-0.0032114661731455375,3.25
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,14,1397.538,205.769,1191.769,1227.6947,-0.029262731198562646,3.5
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,15,1381.962,206.538,1175.424,1227.6947,-0.04257630174668021,3.75
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,16,1372.978,206.231,1166.747,1227.6947,-0.049644019803946324,4
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,17,1372.098,205.538,1166.56,1227.6947,-0.04979633780287564,4.25
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,18,1372.13,205.692,1166.438,1227.6947,-0.04989571104281863,4.5
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,19,1379.946,205.385,1174.561,1227.6947,-0.043279245239064804,4.75
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,20,1367.853,205.462,1162.391,1227.6947,-0.05319213319076798,5
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,21,1374.342,205.462,1168.88,1227.6947,-0.04790661717444891,5.25
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,22,1375.875,204.615,1171.26,1227.6947,-0.04596802446080448,5.5
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,23,1369.745,206.692,1163.0529999999999,1227.6947,-0.05265291118386365,5.75
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,24,1364.049,205.231,1158.818,1227.6947,-0.056102465865495735,6
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,25,1360.549,205.154,1155.395,1227.6947,-0.058890618327178595,6.25
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,26,1356.913,205.923,1150.99,1227.6947,-0.06247864391692821,6.5
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,27,1356.152,205.769,1150.383,1227.6947,-0.06297306651238291,6.75
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,28,1350.728,205.538,1145.19,1227.6947,-0.06720294548799466,7
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,29,1346.103,205.462,1140.641,1227.6947,-0.0709082640822673,7.25
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,30,1347.766,206.231,1141.535,1227.6947,-0.07018007001252016,7.5
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,31,1347.576,205.231,1142.345,1227.6947,-0.06952029686207815,7.75
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,32,1335.598,207.077,1128.521,1227.6947,-0.0807804252962891,8
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,33,1343.31,205.154,1138.156,1227.6947,-0.07293238294504331,8.25
20200831_AWC_Is_odr1p_HEX_10K_2_reg.tif,34,1330.364,205.692,1124.672,1227.6947,-0.0839155695630192,8.5
