animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20210715_AWC_Is_odr1p_HEX+IAA_10K__1/20210715_AWC_Is_odr1p_HEX+IAA_10K__1_ImageJ_data.csv,1,-0.01387836746090417,557.852,0.25,213.152,0,raw,-0.05225523273942371,HEX + IAA,HEX,OP50,AWC,0.03837686527851954
20210715_AWC_Is_odr1p_HEX+IAA_10K__1/20210715_AWC_Is_odr1p_HEX+IAA_10K__1_ImageJ_data.csv,1,-0.00776195304149999,558.903,0.5,212.065,0,raw,-0.04613881832001953,HEX + IAA,HEX,OP50,AWC,0.03837686527851954
20210715_AWC_Is_odr1p_HEX+IAA_10K__1/20210715_AWC_Is_odr1p_HEX+IAA_10K__1_ImageJ_data.csv,1,-0.01181000093834606,558.466,0.75,213.043,0,raw,-0.0501868662168656,HEX + IAA,HEX,OP50,AWC,0.03837686527851954
20210715_AWC_Is_odr1p_HEX+IAA_10K__1/20210715_AWC_Is_odr1p_HEX+IAA_10K__1_ImageJ_data.csv,1,-0.00642023257251005,559.807,1,212.5,0,raw,-0.04479709785102959,HEX + IAA,HEX,OP50,AWC,0.03837686527851954
20210715_AWC_Is_odr1p_HEX+IAA_10K__1/20210715_AWC_Is_odr1p_HEX+IAA_10K__1_ImageJ_data.csv,1,-0.00655182988929812,560.131,1.25,212.87,0,raw,-0.04492869516781765,HEX + IAA,HEX,OP50,AWC,0.03837686527851954
20210715_AWC_Is_odr1p_HEX+IAA_10K__1/20210715_AWC_Is_odr1p_HEX+IAA_10K__1_ImageJ_data.csv,1,3.661838380209782e-5,561.455,1.5,211.891,0,raw,-0.03834024689471744,HEX + IAA,HEX,OP50,AWC,0.03837686527851954
20210715_AWC_Is_odr1p_HEX+IAA_10K__1/20210715_AWC_Is_odr1p_HEX+IAA_10K__1_ImageJ_data.csv,1,-0.00157973996370226,562.108,1.75,213.109,0,raw,-0.0399566052422218,HEX + IAA,HEX,OP50,AWC,0.03837686527851954
20210715_AWC_Is_odr1p_HEX+IAA_10K__1/20210715_AWC_Is_odr1p_HEX+IAA_10K__1_ImageJ_data.csv,1,-0.00699811644188312,559.148,2,212.043,0,raw,-0.045374981720402656,HEX + IAA,HEX,OP50,AWC,0.03837686527851954
20210715_AWC_Is_odr1p_HEX+IAA_10K__1/20210715_AWC_Is_odr1p_HEX+IAA_10K__1_ImageJ_data.csv,1,-2.83792474464388e-4,562.256,2.25,212.804,0,raw,-0.038660657752983926,HEX + IAA,HEX,OP50,AWC,0.03837686527851954
20210715_AWC_Is_odr1p_HEX+IAA_10K__1/20210715_AWC_Is_odr1p_HEX+IAA_10K__1_ImageJ_data.csv,1,0.01057584697177424,566.705,2.5,213.457,0,raw,-0.027801018306745296,HEX + IAA,HEX,OP50,AWC,0.03837686527851954
