animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,1,335.072,215.583,119.489,118.89925,0.004960082,0.25
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,2,334.135,216.167,117.968,118.89925,-0.007832261,0.5
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,3,333.892,216.208,117.684,118.89925,-0.010220838,0.75
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,4,333.775,216.5,117.275,118.89925,-0.013660725,1
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,5,336.036,216.75,119.286,118.89925,0.003252754,1.25
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,6,336.117,215.958,120.159,118.89925,0.010595105,1.5
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,7,335.586,215.583,120.003,118.89925,0.009283069,1.75
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,8,335.045,216.792,118.253,118.89925,-0.005435274,2
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,9,335.432,215.792,119.64,118.89925,0.006230065,2.25
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,10,334.261,215.958,118.303,118.89925,-0.00501475,2.5
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,11,334.649,216.125,118.524,118.89925,-0.003156033,2.75
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,12,334.351,215.125,119.226,118.89925,0.002748125,3
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,13,335.153,215.792,119.361,118.89925,0.00388354,3.25
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,14,335.55,216.292,119.258,118.89925,0.00301726,3.5
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,15,335.378,216.625,118.753,118.89925,-0.001230033,3.75
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,16,336.189,215.833,120.356,118.89925,0.01225197,4
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,17,335.198,216.792,118.406,118.89925,-0.00414847,4.25
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,18,336.27,217.458,118.812,118.89925,-7.34E-04,4.5
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,19,334.793,217.417,117.376,118.89925,-0.012811267,4.75
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,20,335.811,215.958,119.853,118.89925,0.008021497,5
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,21,334.802,217.542,117.26,118.89925,-0.013786883,5.25
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,22,334.865,215.583,119.282,118.89925,0.003219112,5.5
20210909_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,23,334.171,216.625,117.546,118.89925,-0.011381485,5.75
