animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,1,559.593,206.409,353.18399999999997,389.66485,-0.09362109515395096,0.25
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,2,563.959,206.409,357.54999999999995,389.66485,-0.08241659467103601,0.5
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,3,564.22,206.864,357.356,389.66485,-0.08291445841214573,0.75
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,4,571.22,206.909,364.31100000000004,389.66485,-0.06506578666256391,1
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,5,575.211,205.955,369.256,389.66485,-0.05237539388015119,1.25
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,6,579.252,206.091,373.16099999999994,389.66485,-0.04235396135935807,1.5
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,7,589.187,206.364,382.823,389.66485,-0.017558294005733447,1.75
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,8,596.545,207.227,389.318,389.66485,-8.901239103296528e-4,2
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,9,604.715,206.318,398.39700000000005,389.66485,0.022409385912021695,2.25
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,10,604.407,207.591,396.81600000000003,389.66485,0.018352053052770937,2.5
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,11,607.439,207.136,400.303,389.66485,0.027300768853028432,2.75
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,12,604.724,207.773,396.951,389.66485,0.0186985046251927,3
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,13,611.675,206.591,405.08399999999995,389.66485,0.03957028713264731,3.25
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,14,610.813,207.045,403.76800000000003,389.66485,0.036193025878521065,3.5
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,15,613.593,206.909,406.68399999999997,389.66485,0.04367637984283152,3.75
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,16,609.813,207.591,402.222,389.66485,0.032225513797305504,4
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,17,611,207.136,403.86400000000003,389.66485,0.03643939144113212,4.25
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,18,614.008,206.727,407.28100000000006,389.66485,0.04520846568531922,4.5
20210910_AWC_WT_preexposure_HEX_IAA_10K__1_reg.tif,19,618.016,208.045,409.971,389.66485,0.05211183405431617,4.75
