animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,1,495.789,202.422,293.36699999999996,291.8431,0.005221641354549651,0.25
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,2,497.239,202.211,295.02799999999996,291.8431,0.010913055679575671,0.5
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,3,496.599,202.367,294.23199999999997,291.8431,0.008185562721887132,0.75
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,4,495.599,202.312,293.287,291.8431,0.004947521459304624,1
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,5,495.662,202.706,292.956,291.8431,0.003813350392728232,1.25
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,6,495.063,202.211,292.852,291.8431,0.003456994528909482,1.5
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,7,490.549,202.578,287.971,291.8431,-0.01326774557973099,1.75
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,8,491.275,202.606,288.669,291.8431,-0.01087604949371772,2
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,9,490.57,202.018,288.552,291.8431,-0.011276949840513521,2.25
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,10,489.585,202.193,287.39199999999994,291.8431,-0.015251688321567492,2.5
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,11,490.261,202.862,287.399,291.8431,-0.015227702830733335,2.75
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,12,491.176,201.936,289.24,291.8431,-0.008919518741405856,3
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,13,491.711,202.413,289.298,291.8431,-0.008720781817353198,3.25
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,14,492.845,202.229,290.616,291.8431,-0.004204656543190527,3.5
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,15,494.796,202.312,292.484,291.8431,0.0021960430107821217,3.75
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,16,497.148,202.532,294.616,291.8431,0.009501338219063574,4
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,17,498.641,202.44,296.201,291.8431,0.014932338643606888,4.25
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,18,497.359,202.349,295.01,291.8431,0.010851378703145623,4.5
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,19,496.352,202.284,294.068,291.8431,0.007623616936634757,4.75
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,20,495.725,202.101,293.624,291.8431,0.006102251518024689,5
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,21,496.423,201.972,294.451,291.8431,0.008935965935120718,5.25
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,22,496.93,202.229,294.701,291.8431,0.0097925906077616,5.5
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,23,496.507,202.55,293.957,291.8431,0.00724327558198224,5.75
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,24,494.817,202.606,292.211,291.8431,0.00126060886825839,6
20201005_AWC_Is_odr1p_IAA_10K__2_reg.tif,25,495.345,202.174,293.17100000000005,291.8431,0.004550047611199499,6.25
