animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,1,420.136,213.03,207.10600000000002,200.628,0.032288613752816345,0.25
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,2,419.357,211.939,207.41800000000003,200.628,0.03384373068564731,0.5
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,3,417.843,212.242,205.60100000000003,200.628,0.024787168291564698,0.75
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,4,415.914,212.576,203.338,200.628,0.013507586179396736,1
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,5,416.386,211.97,204.41600000000003,200.628,0.018880714556293438,1.25
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,6,416.129,213.182,202.94700000000003,200.628,0.011558705664214594,1.5
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,7,416.164,213.212,202.952,200.628,0.011583627409932873,1.75
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,8,415.457,211.848,203.60899999999998,200.628,0.014858344797336338,2
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,9,413.914,213.727,200.18699999999998,200.628,-0.002198097972366781,2.25
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,10,412.4,212.545,199.855,200.628,-0.0038529018880714364,2.5
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,11,413.2,213.394,199.80599999999998,200.628,-0.004097134996112222,2.75
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,12,412.436,212.515,199.921,200.628,-0.0035239348445879623,3
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,13,413.75,212.485,201.265,200.628,0.003175030404529779,3.25
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,14,412.086,213.212,198.87400000000002,200.628,-0.008742548398029997,3.5
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,15,410.443,213.303,197.14,200.628,-0.017385409813186592,3.75
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,16,408.443,213.818,194.62499999999997,200.628,-0.02992104790956404,4
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,17,408.286,212.848,195.438,200.628,-0.025868772055744952,4.25
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,18,409.093,212.758,196.335,200.628,-0.021397810873855984,4.5
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,19,409,213.576,195.424,200.628,-0.025938552943756504,4.75
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,20,409.121,212.818,196.30299999999997,200.628,-0.021557310046454222,5
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,21,409.1,213.364,195.73600000000002,200.628,-0.024383436010925533,5.25
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,22,409.564,213.485,196.079,200.628,-0.02267380425464032,5.5
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,23,407.379,212.606,194.77300000000002,200.628,-0.029183364236297835,5.75
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,24,406.464,213.03,193.434,200.628,-0.0358574077396973,6
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,25,407.864,212.545,195.319,200.628,-0.026461909603843918,6.25
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,26,406.436,212.909,193.527,200.628,-0.03539386326933429,6.5
20210828_AWC_WT_IAA_HEX_10K__9_reg.tif,27,406.957,212.303,194.654,200.628,-0.029776501784396944,6.75
