animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,-0.01951198813728882,505.53,0.25,203.979,0,raw,-0.01594830087886881,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,-0.01160112950023545,508.067,0.5,204.083,0,raw,-0.008037442241815441,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,-0.00978355038880413,508.439,0.75,203.896,0,raw,-0.006219863130384121,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,-0.00563140633639305,510.049,1,204.229,0,raw,-0.002067719077973041,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,-0.0036610075143404,511.03,1.25,204.604,0,raw,-9.732025592039135e-5,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,0.00347924960319742,513.018,1.5,204.396,0,raw,0.007042936861617429,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,0.00111216983017024,511.915,1.75,204.021,0,raw,0.004675857088590248,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,4.813820884569648e-4,511.512,2,203.812,0,raw,0.004045069346876973,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,0.00343698032153612,512.421,2.25,203.812,0,raw,0.007000667579956129,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,0.00253957095703666,512.75,2.5,204.417,0,raw,0.006103258215456668,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,0.00564473741753233,513.726,2.75,204.438,0,raw,0.009208424675952339,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,0.00419132442502813,513.299,3,204.458,0,raw,0.007755011683448138,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,0.0057910541617444,513.604,3.25,204.271,0,raw,0.00935474142016441,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,0.00675999615674683,513.506,3.5,203.875,0,raw,0.010323683415166839,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,0.00256883430587908,511.53,3.75,203.188,0,raw,0.0061325215642990885,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,0.00159664082767164,511.689,4,203.646,0,raw,0.005160328086091649,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,0.00225994340143179,512.226,4.25,203.979,0,raw,0.005823630659851799,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
20210828_AWC_WT_IAA_HEX_10K__1/20210828_AWC_WT_IAA_HEX_10K__1_ImageJ_data.csv,1,0.00470831025457658,513,4.5,204,0,raw,0.00827199751299659,WT_IAA_HEX,IAA_HEX,OP50,AWC,-0.0035636872584200088
