animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,1,1272.222,217.853,1054.369,1041.6748499999999,0.01218628826451943,0.25
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,2,1250.086,217.588,1032.498,1041.6748499999999,-0.008809706790943289,0.5
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,3,1234.741,218.206,1016.535,1041.6748499999999,-0.024134066402774258,0.75
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,4,1224.148,218.176,1005.972,1041.6748499999999,-0.0342744667397892,1
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,5,1200.889,217.382,983.5069999999998,1041.6748499999999,-0.05584069731548194,1.25
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,6,1188.679,217.676,971.0030000000002,1041.6748499999999,-0.06784444301405543,1.5
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,7,1177.062,216.853,960.2089999999998,1041.6748499999999,-0.07820660160893782,1.75
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,8,1172.543,218.5,954.0429999999999,1041.6748499999999,-0.08412591510681092,2
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,9,1180.074,218.118,961.9560000000001,1041.6748499999999,-0.07652949478428873,2.25
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,10,1187.506,217.441,970.065,1041.6748499999999,-0.06874491593994021,2.5
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,11,1198.444,218.029,980.415,1041.6748499999999,-0.05880899399654309,2.75
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,12,1245.84,219.206,1026.634,1041.6748499999999,-0.014439102566410109,3
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,13,1270.988,218.324,1052.664,1041.6748499999999,0.010549501123119283,3.25
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,14,1284.691,218.412,1066.279,1041.6748499999999,0.02361979844286355,3.5
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,15,1312.58,217.441,1095.139,1041.6748499999999,0.05132518078937974,3.75
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,16,1331.802,218.176,1113.626,1041.6748499999999,0.069072561365958,4
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,17,1335.988,217.5,1118.488,1041.6748499999999,0.07374004469820904,4.25
20210702_AWC_Is_odr1p_HEX_10K__2_reg.tif,18,1353.852,218.324,1135.528,1041.6748499999999,0.09009831618762817,4.5
