animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,1,429.069,205.163,223.906,214.9569,0.041632066707326054,0.25
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,2,422.214,205.694,216.52,214.9569,0.0072716902783768285,0.5
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,3,425.206,206.143,219.06300000000002,214.9569,0.019101968813283157,0.75
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,4,424.992,205.959,219.03300000000002,214.9569,0.018962405952077023,1
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,5,424.405,205.816,218.58899999999997,214.9569,0.016896875606226085,1.25
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,6,423.595,205.816,217.77900000000002,214.9569,0.013128678353660826,1.5
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,7,424.214,206,218.214,214.9569,0.01515233984114959,1.75
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,8,422.458,205.776,216.68200000000002,214.9569,0.00802532972888996,2
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,9,420.473,205.898,214.57500000000002,214.9569,-0.0017766352231539126,2.25
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,10,422.16,205.714,216.44600000000003,214.9569,0.006927435220735115,2.5
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,11,420.427,205.694,214.73300000000003,214.9569,-0.0010416041541348885,2.75
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,12,420.695,206,214.695,214.9569,-0.001218383778329503,3
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,13,420.053,206.245,213.808,214.9569,-0.005344792374657421,3.25
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,14,418.237,206.776,211.461,214.9569,-0.016263260216350245,3.5
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,15,417.061,205.612,211.44899999999998,214.9569,-0.01631908536083283,3.75
20210819_AWC_odr1p_HEX_IAA_10K__3_reg.tif,16,418.924,204.796,214.128,214.9569,-0.003856121855125397,4
