animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.002798718,293.235,0.25,206.704,0,raw,-0.045765947,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00330863,292.837,0.5,206.833,0,raw,-0.051873295,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.010238789,292.554,0.75,207.148,0,raw,-0.058803455,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00152394,292.602,1,206.444,0,raw,-0.050088605,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-2.14E-04,292.215,1.25,205.944,0,raw,-0.04877906,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,4.00E-04,292.454,1.5,206.13,0,raw,-0.048164848,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,8.63E-04,292.697,1.75,206.333,0,raw,-0.047701293,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.017111004,293.044,2,205.278,0,raw,-0.031453661,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-6.78E-04,292.916,2.25,206.685,0,raw,-0.049242616,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.003540408,292.725,2.5,206.13,0,raw,-0.045024258,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.001674595,292.904,2.75,206.759,0,raw,-0.050239261,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.002543763,292.737,3,206.667,0,raw,-0.051108428,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00435163,292.303,3.25,206.389,0,raw,-0.052916296,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.011687401,293.446,3.5,206.148,0,raw,-0.036877264,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.002960963,292.749,3.75,206.204,0,raw,-0.045603703,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.003482463,292.378,4,206.389,0,raw,-0.052047128,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.002845074,292.47,4.25,206.426,0,raw,-0.051409739,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-4.58E-04,292.602,4.5,206.352,0,raw,-0.049022427,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.001906373,292.681,4.75,206.556,0,raw,-0.050471039,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00613632,292.39,5,206.63,0,raw,-0.054700986,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.005104908,293.008,5.25,206.278,0,raw,-0.043459757,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.001825251,293.04,5.5,206.593,0,raw,-0.046739414,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.005475753,292.669,5.75,206.852,0,raw,-0.054040418,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.005046964,293.299,6,206.574,0,raw,-0.043517701,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.019382428,294.203,6.25,206.241,0,raw,-0.029182238,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.013078069,293.566,6.5,206.148,0,raw,-0.035486597,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.004177797,293.076,6.75,206.426,0,raw,-0.044386869,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.015731926,293.351,7,205.704,0,raw,-0.03283274,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.005035375,293.761,7.25,207.037,0,raw,-0.04352929,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.011606279,293.291,7.5,206,0,raw,-0.036958386,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.006414454,293.343,7.75,206.5,0,raw,-0.042150212,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.003540408,293.243,8,207.259,0,raw,-0.052105073,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.014376025,293.474,8.25,205.944,0,raw,-0.03418864,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.008778588,293.566,8.5,206.519,0,raw,-0.039786077,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
20201209_AWC_odr1p_HEX_IAA_10K__1/20201209_AWC_odr1p_HEX_IAA_10K__1_ImageJ_data.csv,1,0.012707224,293.849,8.75,206.463,0,raw,-0.035857441,WT_HEX_IAA,HEX-IAA,OP50,AWC,0.048564665
