animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,1,577.396,226.717,350.679,344.85815,0.016878968932588514,0.25
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,2,575.222,227,348.222,344.85815,0.009754300427581476,0.5
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,3,570.278,226.5,343.778,344.85815,-0.0031321573812305237,0.75
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,4,569.444,227.348,342.09599999999995,344.85815,-0.008009525075745132,1
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,5,568.59,228.065,340.52500000000003,344.85815,-0.012565021299337101,1.25
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,6,574.174,226.522,347.652,344.85815,0.008101446928251408,1.5
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,7,584.549,227.674,356.875,344.85815,0.034845776444604765,1.75
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,8,577.785,227.957,349.828,344.85815,0.014411287655518511,2
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,9,592.167,227.761,364.40600000000006,344.85815,0.05668374083663105,2.25
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,10,574.625,227.37,347.255,344.85815,0.006950248964682934,2.5
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,11,574.069,227.217,346.852,344.85815,0.005781652543226692,2.75
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,12,568.104,227.543,340.56100000000004,344.85815,-0.012460630552010986,3
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,13,575.785,227.478,348.30699999999996,344.85815,0.010000778580990289,3.25
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,14,577.708,228,349.70799999999997,344.85815,0.014063318497764795,3.5
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,15,569.271,227.5,341.77099999999996,344.85815,-0.008951941544661376,3.75
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,16,566.931,227.348,339.583,344.85815,-0.015296579187703687,4
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,17,567.868,226.739,341.129,344.85815,-0.010813576538643508,4.25
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,18,561.292,227.391,333.90100000000007,344.85815,-0.03177291880734138,4.5
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,19,559.743,227.891,331.8520000000001,344.85815,-0.03771449217598579,4.75
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,20,560.292,228.109,332.183,344.85815,-0.036754677249182105,5
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,21,558,227.674,330.326,344.85815,-0.04213949996542057,5.25
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,22,558.333,227.978,330.35499999999996,344.85815,-0.042055407418963596,5.5
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,23,560.146,227.457,332.68899999999996,344.85815,-0.03528740730065408,5.75
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,24,570.875,228.348,342.527,344.85815,-0.006759735850812969,6
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,25,571.368,227.565,343.80300000000005,344.85815,-0.0030596638066984036,6.25
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,26,577.146,227.13,350.01599999999996,344.85815,0.014956439335999277,6.5
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,27,566.59,227.587,339.00300000000004,344.85815,-0.016978430116846535,6.75
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,28,568.688,227.239,341.44899999999996,344.85815,-0.00988565878463382,7
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,29,570.41,227.043,343.36699999999996,344.85815,-0.004323951746537123,7.25
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,30,565.118,226.283,338.83500000000004,344.85815,-0.017465586937701737,7.5
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,31,572.347,226.63,345.717,344.85815,0.0024904442594729493,7.75
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,32,575.014,227.478,347.536,344.85815,0.0077650767424228715,8
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,33,575.472,227.217,348.255,344.85815,0.009849991945963789,8.25
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,34,577.646,226.826,350.81999999999994,344.85815,0.017287832692949007,8.5
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,35,588.014,227.043,360.971,344.85815,0.04672312369593115,8.75
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,36,584.306,226.565,357.74100000000004,344.85815,0.03735695386639411,9
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,37,588.535,227.174,361.361,344.85815,0.04785402345863064,9.25
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,38,586.535,227.587,358.948,344.85815,0.040856943644799915,9.5
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,39,582.882,227.065,355.81699999999995,344.85815,0.03177784837040948,9.75
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,40,590.653,226.63,364.023,344.85815,0.05557313927480038,10
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,41,592.132,225.957,366.17499999999995,344.85815,0.06181338617051657,10.25
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,42,606.424,227.935,378.489,344.85815,0.09752082124200907,10.5
20201226_AWC_unc13_HEX_IAA_10K__9_reg.tif,43,606.076,228.065,378.011,344.85815,0.09613474409695696,10.75
