animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210702_AWC_unc31_HEX_10K__7_reg.tif,1,2344.438,233.951,2110.487,1966.1674,0.0734014814811801,0.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,2,2311.859,233.659,2078.2,1966.1674,0.056980194056721604,0.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,3,2281.805,232.512,2049.2929999999997,1966.1674,0.04227798711340633,0.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,4,2370.844,233.707,2137.137,1966.1674,0.08695576989019355,1
20210702_AWC_unc31_HEX_10K__7_reg.tif,5,2360.555,233.878,2126.6769999999997,1966.1674,0.08163577526511712,1.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,6,2293.625,233.878,2059.747,1966.1674,0.04759493011632672,1.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,7,2259.141,233.512,2025.6290000000001,1966.1674,0.030242389330633845,1.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,8,2275.953,234.049,2041.904,1966.1674,0.03851991442844589,2
20210702_AWC_unc31_HEX_10K__7_reg.tif,9,2258.828,234.61,2024.2179999999998,1966.1674,0.029524749520310326,2.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,10,2168.094,233.415,1934.679,1966.1674,-0.01601511651551132,2.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,11,2241.633,233.415,2008.2179999999998,1966.1674,0.021387090437975834,2.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,12,2134.203,232.902,1901.301,1966.1674,-0.03299129056864645,3
20210702_AWC_unc31_HEX_10K__7_reg.tif,13,2126.695,232.707,1893.9880000000003,1966.1674,-0.03671070937296578,3.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,14,2107.102,233.317,1873.7849999999999,1966.1674,-0.04698602977549123,3.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,15,2086.086,233.659,1852.4269999999997,1966.1674,-0.05784878744302258,3.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,16,2087.477,234,1853.4769999999999,1966.1674,-0.05731475356574429,4
20210702_AWC_unc31_HEX_10K__7_reg.tif,17,2087.898,233.146,1854.7520000000002,1966.1674,-0.0566662838576206,4.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,18,2144.891,233.878,1911.0130000000001,1966.1674,-0.0280517315056693,4.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,19,2032.258,233.341,1798.917,1966.1674,-0.08506417103650489,4.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,20,2020.523,233.024,1787.4989999999998,1966.1674,-0.0908714079991359,5
20210702_AWC_unc31_HEX_10K__7_reg.tif,21,2001.047,233.561,1767.486,1966.1674,-0.10105009370005827,5.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,22,2049.195,233.073,1816.122,1966.1674,-0.076313644504532,5.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,23,1995.867,233.415,1762.452,1966.1674,-0.10361040468883781,5.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,24,2039.055,233.22,1805.835,1966.1674,-0.08154565069078046,6
20210702_AWC_unc31_HEX_10K__7_reg.tif,25,2026.172,234.171,1792.001,1966.1674,-0.08858167417484394,6.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,26,2030.578,232.512,1798.066,1966.1674,-0.0854969927789465,6.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,27,1942.242,232.22,1710.022,1966.1674,-0.1302764962942627,6.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,28,2031.641,233.22,1798.421,1966.1674,-0.08531643846805718,7
20210702_AWC_unc31_HEX_10K__7_reg.tif,29,1949.984,232.268,1717.716,1966.1674,-0.12636329948304512,7.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,30,1947.984,233.317,1714.667,1966.1674,-0.12791403214192246,7.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,31,1963.008,233.024,1729.984,1966.1674,-0.12012374938166512,7.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,32,2025.102,233.39,1791.712,1966.1674,-0.0887286606420186,8
20210702_AWC_unc31_HEX_10K__7_reg.tif,33,1982.992,233.585,1749.407,1966.1674,-0.11024513985940369,8.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,34,1966.969,232.268,1734.701,1966.1674,-0.11772466576345433,8.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,35,1930.141,232.463,1697.678,1966.1674,-0.13655470027628366,8.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,36,2033.852,233.537,1800.315,1966.1674,-0.08435314307418584,9
20210702_AWC_unc31_HEX_10K__7_reg.tif,37,2017.297,233.659,1783.638,1966.1674,-0.09283512685644169,9.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,38,2023.797,233.561,1790.236,1966.1674,-0.0894793596923639,9.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,39,1934.477,232.61,1701.8670000000002,1966.1674,-0.13442415940778993,9.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,40,1926.211,233.146,1693.065,1966.1674,-0.13890088911045925,10
20210702_AWC_unc31_HEX_10K__7_reg.tif,41,1909.812,232.415,1677.397,1966.1674,-0.14686969176683537,10.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,42,1902.492,232.537,1669.955,1966.1674,-0.1506547204475062,10.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,43,1912.062,233.049,1679.013,1966.1674,-0.14604778819951958,10.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,44,1993.727,233.634,1760.093,1966.1674,-0.10481020079978946,11
20210702_AWC_unc31_HEX_10K__7_reg.tif,45,1912.344,233.488,1678.856,1966.1674,-0.14612763897926495,11.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,46,1935.445,232.488,1702.9569999999999,1966.1674,-0.13386978138280603,11.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,47,1960.492,232.512,1727.98,1966.1674,-0.12114299118172747,11.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,48,1947.945,233.22,1714.725,1966.1674,-0.127884533127749,12
20210702_AWC_unc31_HEX_10K__7_reg.tif,49,1910.398,232.366,1678.032,1966.1674,-0.14654672842200522,12.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,50,1865.219,232.22,1632.999,1966.1674,-0.16945067851292825,12.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,51,1961.648,233.976,1727.672,1966.1674,-0.1212996411190624,12.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,52,1884.602,232.341,1652.261,1966.1674,-0.15965395418518286,13
20210702_AWC_unc31_HEX_10K__7_reg.tif,53,1853.422,232.634,1620.788,1966.1674,-0.17566123820382742,13.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,54,1854.484,232.146,1622.338,1966.1674,-0.1748729024802263,13.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,55,1857.977,232.317,1625.66,1966.1674,-0.17318332101325654,13.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,56,1846.086,232.585,1613.501,1966.1674,-0.17936743331213814,14
20210702_AWC_unc31_HEX_10K__7_reg.tif,57,1837.383,233.195,1604.188,1966.1674,-0.1841040595017494,14.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,58,1823.016,232.415,1590.601,1966.1674,-0.19101445787372934,14.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,59,1820.906,232.463,1588.443,1966.1674,-0.19211202464245927,14.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,60,1837.273,232.634,1604.639,1966.1674,-0.18387467923636622,15
20210702_AWC_unc31_HEX_10K__7_reg.tif,61,1912.07,233.146,1678.924,1966.1674,-0.14609305392816505,15.25
20210702_AWC_unc31_HEX_10K__7_reg.tif,62,1830.148,232.756,1597.3919999999998,1966.1674,-0.18756053019697114,15.5
20210702_AWC_unc31_HEX_10K__7_reg.tif,63,1816.672,233.098,1583.574,1966.1674,-0.19458841602195212,15.75
20210702_AWC_unc31_HEX_10K__7_reg.tif,64,1894.398,233.195,1661.203,1966.1674,-0.15510601996554316,16
