animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20201208_AWC_Is_odr1p_HEX_10K__1/20201208_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.03688072664420028,1046.604,0.25,250.489,0,raw,0.11980067432827035,WT_HEX,HEX,OP50,AWC,-0.08291994768407007
20201208_AWC_Is_odr1p_HEX_10K__1/20201208_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.0506877426948403,1057.333,0.5,250.617,0,raw,0.13360769037891038,WT_HEX,HEX,OP50,AWC,-0.08291994768407007
20201208_AWC_Is_odr1p_HEX_10K__1/20201208_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.07491025797734195,1076.41,0.75,251.096,0,raw,0.15783020566141204,WT_HEX,HEX,OP50,AWC,-0.08291994768407007
20201208_AWC_Is_odr1p_HEX_10K__1/20201208_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.07764665461184744,1078,1,250.585,0,raw,0.16056660229591752,WT_HEX,HEX,OP50,AWC,-0.08291994768407007
20201208_AWC_Is_odr1p_HEX_10K__1/20201208_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.07047028837856514,1073.618,1.25,251.713,0,raw,0.15339023606263522,WT_HEX,HEX,OP50,AWC,-0.08291994768407007
20201208_AWC_Is_odr1p_HEX_10K__1/20201208_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.04736785929581343,1055.646,1.5,251.479,0,raw,0.1302878069798835,WT_HEX,HEX,OP50,AWC,-0.08291994768407007
20201208_AWC_Is_odr1p_HEX_10K__1/20201208_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.02522271318610407,1038.951,1.75,251.787,0,raw,0.10814266087017414,WT_HEX,HEX,OP50,AWC,-0.08291994768407007
20201208_AWC_Is_odr1p_HEX_10K__1/20201208_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.01103408637206097,1027.153,2,250.883,0,raw,0.09395403405613104,WT_HEX,HEX,OP50,AWC,-0.08291994768407007
20201208_AWC_Is_odr1p_HEX_10K__1/20201208_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,-0.00375495874208071,1016.958,2.25,252.043,0,raw,0.07916498894198937,WT_HEX,HEX,OP50,AWC,-0.08291994768407007
20201208_AWC_Is_odr1p_HEX_10K__1/20201208_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,-0.00544680987402872,1015.361,2.5,251.745,0,raw,0.07747313781004135,WT_HEX,HEX,OP50,AWC,-0.08291994768407007
