animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20201208_AWC_Is_odr1p_HEX_10K__1/20201208_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,39.75,-0.6809288681351263,64.25,0.37490475894949576
20201208_AWC_Is_odr1p_HEX_10K__2/20201208_AWC_Is_odr1p_HEX_10K__2_ImageJ_data.csv,2,38,-0.4768315749335673,67.5,0.5004526206013498
20201208_AWC_Is_odr1p_HEX_10K__3/20201208_AWC_Is_odr1p_HEX_10K__3_ImageJ_data.csv,3,39.25,-0.5597258314768556,60.75,-0.45142117259957687
20201230_AWC_Is_odr1p_HEX_10K__1/20201230_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,4,31,0.04408087972788338,61.5,0.1570419202922545
20201230_AWC_Is_odr1p_HEX_10K__3/20201230_AWC_Is_odr1p_HEX_10K__3_ImageJ_data.csv,5,40,-0.3129551565342074,66.75,-0.3820942016269303
20201230_AWC_Is_odr1p_HEX_10K__4/20201230_AWC_Is_odr1p_HEX_10K__4_ImageJ_data.csv,6,39.25,-0.17027155730935928,64.25,0.46401933652783245
20210702_AWC_Is_odr1p_HEX_10K__1/20210702_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,7,40,-0.47596010016252205,64.25,0.9595772500492823
20210702_AWC_Is_odr1p_HEX_10K__2/20210702_AWC_Is_odr1p_HEX_10K__2_ImageJ_data.csv,8,40.25,-0.7764422341644998,60.75,-0.5967480678748479
20210702_AWC_Is_odr1p_HEX_10K__3/20210702_AWC_Is_odr1p_HEX_10K__3_ImageJ_data.csv,9,40.25,-0.8134960796845132,60.75,-0.7427095067082687
20210702_AWC_Is_odr1p_HEX_10K__4/20210702_AWC_Is_odr1p_HEX_10K__4_ImageJ_data.csv,10,38.75,-0.061407346340854846,65,0.46878626582811467
20210702_AWC_Is_odr1p_HEX_10K__5/20210702_AWC_Is_odr1p_HEX_10K__5_ImageJ_data.csv,11,32.75,-0.06686158230702974,63.25,0.5623528591829234
20210702_AWC_Is_odr1p_HEX_10K__6/20210702_AWC_Is_odr1p_HEX_10K__6_ImageJ_data.csv,12,40.25,-0.1866111786925343,60.75,-0.1726136049569495
20210702_AWC_Is_odr1p_HEX_10K__7/20210702_AWC_Is_odr1p_HEX_10K__7_ImageJ_data.csv,13,40,-0.10142383074671224,64.5,0.4192317683197216
20210702_AWC_Is_odr1p_HEX_10K__8/20210702_AWC_Is_odr1p_HEX_10K__8_ImageJ_data.csv,14,37.75,-0.3970610569433667,60.75,-0.2598835606750065
