animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20201226_AWC_unc13_HEX_IAA_10K__1/20201226_AWC_unc13_HEX_IAA_10K__1_ImageJ_data.csv,1,32,2.528686265356848,60.75,0.8498665829086142
20201226_AWC_unc13_HEX_IAA_10K__2/20201226_AWC_unc13_HEX_IAA_10K__2_ImageJ_data.csv,2,40.25,0.7285117765233544,60.75,0.5719930604983474
20201226_AWC_unc13_HEX_IAA_10K__3/20201226_AWC_unc13_HEX_IAA_10K__3_ImageJ_data.csv,3,40.25,0.4989645937974357,60.75,0.6699806246991893
20201226_AWC_unc13_HEX_IAA_10K__6/20201226_AWC_unc13_HEX_IAA_10K__6_ImageJ_data.csv,4,36.75,1.8947156947797343,60.75,0.8035472224115359
20201226_AWC_unc13_HEX_IAA_10K__7/20201226_AWC_unc13_HEX_IAA_10K__7_ImageJ_data.csv,5,40,1.0517697315505545,60.75,0.5127931819254808
20201226_AWC_unc13_HEX_IAA_10K__8/20201226_AWC_unc13_HEX_IAA_10K__8_ImageJ_data.csv,6,38.25,1.070026700712119,60.75,0.29588552974559834
20201226_AWC_unc13_HEX_IAA_10K__9/20201226_AWC_unc13_HEX_IAA_10K__9_ImageJ_data.csv,7,39.75,-0.20591489159072673,61.75,1.7428776771799404
20210819_AWC_unc13_HEX_IAA_10K__1/20210819_AWC_unc13_HEX_IAA_10K__1_ImageJ_data.csv,8,32.25,1.9934426381669037,60.75,0.10931032278727772
20210819_AWC_unc13_HEX_IAA_10K__2/20210819_AWC_unc13_HEX_IAA_10K__2_ImageJ_data.csv,9,38.25,-0.18570095863146674,65,0.8354113567959917
20210819_AWC_unc13_HEX_IAA_10K__3/20210819_AWC_unc13_HEX_IAA_10K__3_ImageJ_data.csv,10,31.75,4.141699640591571,60.75,1.1726041761264678
20210819_AWC_unc13_HEX_IAA_10K__4/20210819_AWC_unc13_HEX_IAA_10K__4_ImageJ_data.csv,11,31.5,2.3334278232772347,60.75,1.9284624227979779
20210819_AWC_unc13_HEX_IAA_10K__5/20210819_AWC_unc13_HEX_IAA_10K__5_ImageJ_data.csv,12,34.75,3.6504227114534484,60.75,1.9257450718812272
20210819_AWC_unc13_HEX_IAA_10K__6/20210819_AWC_unc13_HEX_IAA_10K__6_ImageJ_data.csv,13,38.75,1.4918410330363077,60.75,0.7896279605649205
20210819_AWC_unc13_HEX_IAA_10K__7/20210819_AWC_unc13_HEX_IAA_10K__7_ImageJ_data.csv,14,39.75,2.2818365780548975,60.75,1.0545505952472467
20210819_AWC_unc13_HEX_IAA_10K__8/20210819_AWC_unc13_HEX_IAA_10K__8_ImageJ_data.csv,15,40.25,2.944032831485089,60.75,1.7933293930413707
