animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20201208_AWC_unc31_HEX_10K__1/20201208_AWC_unc31_HEX_10K__1_ImageJ_data.csv,1,40.25,-0.474462433303383,60.75,-0.36268377115071787
20201208_AWC_unc31_HEX_10K__2/20201208_AWC_unc31_HEX_10K__2_ImageJ_data.csv,2,40.25,-0.6978681775753605,60.75,-0.6282676009071535
20201208_AWC_unc31_HEX_10K__3/20201208_AWC_unc31_HEX_10K__3_ImageJ_data.csv,3,39.75,-0.5871438117712136,60.75,-0.5809504509602148
20201208_AWC_unc31_HEX_10K__4/20201208_AWC_unc31_HEX_10K__4_ImageJ_data.csv,4,40.25,-0.5898782686237114,61,-0.587726587553734
20201208_AWC_unc31_HEX_10K__5/20201208_AWC_unc31_HEX_10K__5_ImageJ_data.csv,5,40,-0.1529747717074005,61,-0.11621850087194371
20201208_AWC_unc31_HEX_10K__6/20201208_AWC_unc31_HEX_10K__6_ImageJ_data.csv,6,40.25,-0.45132019505780435,60.75,-0.5470807131697479
20210702_AWC_unc31_HEX_10K__1/20210702_AWC_unc31_HEX_10K__1_ImageJ_data.csv,7,31,0.08751145822303699,65.75,0.5527033488744435
20210702_AWC_unc31_HEX_10K__10/20210702_AWC_unc31_HEX_10K__10_ImageJ_data.csv,8,40,-0.05955484181290646,63.5,0.6109078496175273
20210702_AWC_unc31_HEX_10K__2/20210702_AWC_unc31_HEX_10K__2_ImageJ_data.csv,9,40,-0.07009353318654651,61.75,0.41597985331899234
20210702_AWC_unc31_HEX_10K__3/20210702_AWC_unc31_HEX_10K__3_ImageJ_data.csv,10,40,-0.07743736364566095,63.5,0.8531449545526951
20210702_AWC_unc31_HEX_10K__4/20210702_AWC_unc31_HEX_10K__4_ImageJ_data.csv,11,36.75,-0.26898767045186645,63,0.15799878983937188
20210702_AWC_unc31_HEX_10K__5/20210702_AWC_unc31_HEX_10K__5_ImageJ_data.csv,12,40.25,-0.6536380629434806,65.75,0.4407189394658885
20210702_AWC_unc31_HEX_10K__6/20210702_AWC_unc31_HEX_10K__6_ImageJ_data.csv,13,39.5,-0.250335556418334,66,0.26970928372998254
20210702_AWC_unc31_HEX_10K__7/20210702_AWC_unc31_HEX_10K__7_ImageJ_data.csv,14,40.25,-0.3792981033356037,64,0.39572900057746085
20210702_AWC_unc31_HEX_10K__8/20210702_AWC_unc31_HEX_10K__8_ImageJ_data.csv,15,40.25,-0.36695179079396484,66.5,0.09872949365684801
20210702_AWC_unc31_HEX_10K__9/20210702_AWC_unc31_HEX_10K__9_ImageJ_data.csv,16,40.25,-0.04355451577163022,70.25,0.3660046285493829
