animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20201209_AWC_unc31_HEX_IAA_10K__1/20201209_AWC_unc31_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.01044193291023019,309.951,0.25,211.222,0,raw,-0.0470943194906172,unc31_HEX_IAA,HEX - IAA,OP50,AWC,0.03665238658038701
20201209_AWC_unc31_HEX_IAA_10K__1/20201209_AWC_unc31_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00176604778151546,309.975,0.5,210.028,0,raw,-0.03488633879887155,unc31_HEX_IAA,HEX - IAA,OP50,AWC,0.03665238658038701
20201209_AWC_unc31_HEX_IAA_10K__1/20201209_AWC_unc31_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.01173489638250884,309.794,0.75,211.194,0,raw,-0.04838728296289585,unc31_HEX_IAA,HEX - IAA,OP50,AWC,0.03665238658038701
20201209_AWC_unc31_HEX_IAA_10K__1/20201209_AWC_unc31_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00228323317042692,311.265,1,211.722,0,raw,-0.03893561975081393,unc31_HEX_IAA,HEX - IAA,OP50,AWC,0.03665238658038701
20201209_AWC_unc31_HEX_IAA_10K__1/20201209_AWC_unc31_HEX_IAA_10K__1_ImageJ_data.csv,1,0.00106443969578274,310.377,1.25,210.5,0,raw,-0.035587946884604274,unc31_HEX_IAA,HEX - IAA,OP50,AWC,0.03665238658038701
20201209_AWC_unc31_HEX_IAA_10K__1/20201209_AWC_unc31_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.01171485043720211,309.824,1.5,211.222,0,raw,-0.04836723701758912,unc31_HEX_IAA,HEX - IAA,OP50,AWC,0.03665238658038701
20201209_AWC_unc31_HEX_IAA_10K__1/20201209_AWC_unc31_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00906878565672544,309.505,1.75,210.639,0,raw,-0.04572117223711245,unc31_HEX_IAA,HEX - IAA,OP50,AWC,0.03665238658038701
20201209_AWC_unc31_HEX_IAA_10K__1/20201209_AWC_unc31_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.0121859301519079,309.833,2,211.278,0,raw,-0.04883831673229491,unc31_HEX_IAA,HEX - IAA,OP50,AWC,0.03665238658038701
20201209_AWC_unc31_HEX_IAA_10K__1/20201209_AWC_unc31_HEX_IAA_10K__1_ImageJ_data.csv,1,0.02128077553753227,313.422,2.25,211.528,0,raw,-0.015371611042854741,unc31_HEX_IAA,HEX - IAA,OP50,AWC,0.03665238658038701
20201209_AWC_unc31_HEX_IAA_10K__1/20201209_AWC_unc31_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.01270712472988082,309.559,2.5,211.056,0,raw,-0.049359511310267834,unc31_HEX_IAA,HEX - IAA,OP50,AWC,0.03665238658038701
20201209_AWC_unc31_HEX_IAA_10K__1/20201209_AWC_unc31_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.01948265424352654,308.799,2.75,210.972,0,raw,-0.05613504082391355,unc31_HEX_IAA,HEX - IAA,OP50,AWC,0.03665238658038701
20201209_AWC_unc31_HEX_IAA_10K__1/20201209_AWC_unc31_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00720451274320759,310.358,3,211.306,0,raw,-0.0438568993235946,unc31_HEX_IAA,HEX - IAA,OP50,AWC,0.03665238658038701
20201209_AWC_unc31_HEX_IAA_10K__1/20201209_AWC_unc31_HEX_IAA_10K__1_ImageJ_data.csv,1,-0.00754529381342043,309.74,3.25,210.722,0,raw,-0.04419768039380744,unc31_HEX_IAA,HEX - IAA,OP50,AWC,0.03665238658038701
