animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220126_AWC_WT_DIA_1K__3_reg.tif,1,476.221,204.558,271.663,271.84450000000004,-6.676611077289707e-4,0.25
20220126_AWC_WT_DIA_1K__3_reg.tif,2,475.166,205.074,270.092,271.84450000000004,-0.0064467002275199765,0.5
20220126_AWC_WT_DIA_1K__3_reg.tif,3,476.928,205.284,271.644,271.84450000000004,-7.375540060587344e-4,0.75
20220126_AWC_WT_DIA_1K__3_reg.tif,4,477,204.8,272.2,271.84450000000004,0.001307732913485281,1
20220126_AWC_WT_DIA_1K__3_reg.tif,5,476.923,204.232,272.69100000000003,271.84450000000004,0.0031139125492698643,1.25
20220126_AWC_WT_DIA_1K__3_reg.tif,6,474.116,204.663,269.453,271.84450000000004,-0.008797308755557181,1.5
20220126_AWC_WT_DIA_1K__3_reg.tif,7,476.16,204.105,272.05500000000006,271.84450000000004,7.743397420217239e-4,1.75
20220126_AWC_WT_DIA_1K__3_reg.tif,8,476.193,204.526,271.667,271.84450000000004,-6.529468133439003e-4,2
20220126_AWC_WT_DIA_1K__3_reg.tif,9,475.365,205.189,270.17600000000004,271.84450000000004,-0.006137700045430363,2.25
20220126_AWC_WT_DIA_1K__3_reg.tif,10,474.956,204.453,270.50300000000004,271.84450000000004,-0.004934806479439518,2.5
20220126_AWC_WT_DIA_1K__3_reg.tif,11,471.547,205.011,266.53600000000006,271.84450000000004,-0.019527707935970674,2.75
20220126_AWC_WT_DIA_1K__3_reg.tif,12,474.265,204.895,269.37,271.84450000000004,-0.009102630364050162,3
20220126_AWC_WT_DIA_1K__3_reg.tif,13,476.365,204.737,271.62800000000004,271.84450000000004,-7.96411183599434e-4,3.25
20220126_AWC_WT_DIA_1K__3_reg.tif,14,478.956,204.421,274.535,271.84450000000004,0.009897202260851279,3.5
20220126_AWC_WT_DIA_1K__3_reg.tif,15,478.293,204.968,273.32500000000005,271.84450000000004,0.005446128209325575,3.75
20220126_AWC_WT_DIA_1K__3_reg.tif,16,480.094,204.758,275.336,271.84450000000004,0.012843739711489374,4
20220126_AWC_WT_DIA_1K__3_reg.tif,17,477.331,205.074,272.257,271.84450000000004,0.0015174116084745721,4.25
20220126_AWC_WT_DIA_1K__3_reg.tif,18,479.354,204.937,274.417,271.84450000000004,0.009463130576487417,4.5
20220126_AWC_WT_DIA_1K__3_reg.tif,19,477.436,204.537,272.899,271.84450000000004,0.003879055857300632,4.75
20220126_AWC_WT_DIA_1K__3_reg.tif,20,479.58,205.137,274.443,271.84450000000004,0.009558773489991316,5
20220126_AWC_WT_DIA_1K__3_reg.tif,21,481.199,204.158,277.04100000000005,271.84450000000004,0.019115707693184943,5.25
20220126_AWC_WT_DIA_1K__3_reg.tif,22,481.022,205.032,275.99,271.84450000000004,0.015249526843471063,5.5
20220126_AWC_WT_DIA_1K__3_reg.tif,23,478.663,204.579,274.084,271.84450000000004,0.008238165568918862,5.75
20220126_AWC_WT_DIA_1K__3_reg.tif,24,483.32,204.516,278.804,271.84450000000004,0.025601032943465597,6
20220126_AWC_WT_DIA_1K__3_reg.tif,25,484.536,204.968,279.568,271.84450000000004,0.02841146317104059,6.25
20220126_AWC_WT_DIA_1K__3_reg.tif,26,485.083,204.232,280.851,271.84450000000004,0.03313107309509649,6.5
20220126_AWC_WT_DIA_1K__3_reg.tif,27,482.884,204.737,278.14700000000005,271.84450000000004,0.02318421009069526,6.75
20220126_AWC_WT_DIA_1K__3_reg.tif,28,480.856,204.8,276.056,271.84450000000004,0.015492312700826918,7
20220126_AWC_WT_DIA_1K__3_reg.tif,29,479.552,205.242,274.31000000000006,271.84450000000004,0.009069523201683388,7.25
20220126_AWC_WT_DIA_1K__3_reg.tif,30,477.392,205.421,271.971,271.84450000000004,4.653395599321101e-4,7.5
20220126_AWC_WT_DIA_1K__3_reg.tif,31,475.431,204.705,270.726,271.84450000000004,-0.004114484567464266,7.75
20220126_AWC_WT_DIA_1K__3_reg.tif,32,474.144,204.705,269.43899999999996,271.84450000000004,-0.00884880878590545,8
20220126_AWC_WT_DIA_1K__3_reg.tif,33,475.702,204.832,270.87,271.84450000000004,-0.0035847699695967157,8.25
20220126_AWC_WT_DIA_1K__3_reg.tif,34,477.525,204.347,273.178,271.84450000000004,0.004905377890668959,8.5
20220126_AWC_WT_DIA_1K__3_reg.tif,35,479.613,204.642,274.971,271.84450000000004,0.011501060348839002,8.75
20220126_AWC_WT_DIA_1K__3_reg.tif,36,474.906,204.926,269.98,271.84450000000004,-0.00685870047030571,9
20220126_AWC_WT_DIA_1K__3_reg.tif,37,474.326,204.884,269.442,271.84450000000004,-0.008837773065116386,9.25
20220126_AWC_WT_DIA_1K__3_reg.tif,38,471.083,204.358,266.725,271.84450000000004,-0.01883245752626967,9.5
20220126_AWC_WT_DIA_1K__3_reg.tif,39,470.497,204.653,265.84400000000005,271.84450000000004,-0.02207328086461189,9.75
20220126_AWC_WT_DIA_1K__3_reg.tif,40,469.204,204.779,264.425,271.84450000000004,-0.027293176797764995,10
20220126_AWC_WT_DIA_1K__3_reg.tif,41,473.807,205.295,268.51200000000006,271.84450000000004,-0.012258846509677339,10.25
20220126_AWC_WT_DIA_1K__3_reg.tif,42,472.414,205.158,267.256,271.84450000000004,-0.016879134946633338,10.5
20220126_AWC_WT_DIA_1K__3_reg.tif,43,475.365,205.084,270.281,271.84450000000004,-0.005751449817818764,10.75
20220126_AWC_WT_DIA_1K__3_reg.tif,44,473.785,204.968,268.817,271.84450000000004,-0.011136881562805323,11
20220126_AWC_WT_DIA_1K__3_reg.tif,45,474.696,204.768,269.928,271.84450000000004,-0.0070499862973135066,11.25
20220126_AWC_WT_DIA_1K__3_reg.tif,46,472.862,205.053,267.809,271.84450000000004,-0.01484488374787797,11.5
20220126_AWC_WT_DIA_1K__3_reg.tif,47,475.221,204.863,270.358,271.84450000000004,-0.005468199650903493,11.75
20220126_AWC_WT_DIA_1K__3_reg.tif,48,473.315,204.063,269.252,271.84450000000004,-0.009536702048413814,12
20220126_AWC_WT_DIA_1K__3_reg.tif,49,474.193,204.463,269.73,271.84450000000004,-0.007778343869381285,12.25
20220126_AWC_WT_DIA_1K__3_reg.tif,50,474.961,204.979,269.98199999999997,271.84450000000004,-0.006851343323113279,12.5
20220126_AWC_WT_DIA_1K__3_reg.tif,51,475.193,204.463,270.73,271.84450000000004,-0.004099770273078987,12.75
20220126_AWC_WT_DIA_1K__3_reg.tif,52,473.298,204.495,268.803,271.84450000000004,-0.011188381593153591,13
20220126_AWC_WT_DIA_1K__3_reg.tif,53,472.265,204.705,267.55999999999995,271.84450000000004,-0.015760848573357536,13.25
20220126_AWC_WT_DIA_1K__3_reg.tif,54,469.343,204.958,264.385,271.84450000000004,-0.027440319741617165,13.5
20220126_AWC_WT_DIA_1K__3_reg.tif,55,469.718,204.284,265.434,271.84450000000004,-0.023581496039095925,13.75
20220126_AWC_WT_DIA_1K__3_reg.tif,56,469.801,205.179,264.62199999999996,271.84450000000004,-0.02656849779929364,14
20220126_AWC_WT_DIA_1K__3_reg.tif,57,471.718,204.379,267.33900000000006,271.84450000000004,-0.01657381333813994,14.25
20220126_AWC_WT_DIA_1K__3_reg.tif,58,471.823,204.411,267.412,271.84450000000004,-0.016305277465610158,14.5
20220126_AWC_WT_DIA_1K__3_reg.tif,59,473.481,204.779,268.702,271.84450000000004,-0.01155991752638012,14.75
20220126_AWC_WT_DIA_1K__3_reg.tif,60,472.635,205.263,267.37199999999996,271.84450000000004,-0.016452420409462327,15
20220126_AWC_WT_DIA_1K__3_reg.tif,61,471.619,205.105,266.514,271.84450000000004,-0.019608636555089504,15.25
20220126_AWC_WT_DIA_1K__3_reg.tif,62,468.387,205.011,263.376,271.84450000000004,-0.031152000500286235,15.5
20220126_AWC_WT_DIA_1K__3_reg.tif,63,469.652,204.684,264.96799999999996,271.84450000000004,-0.025295711334973034,15.75
20220126_AWC_WT_DIA_1K__3_reg.tif,64,467.735,204.716,263.019,271.84450000000004,-0.03246525127416605,16
20220126_AWC_WT_DIA_1K__3_reg.tif,65,468.365,204.821,263.544,271.84450000000004,-0.030534000136107426,16.25
20220126_AWC_WT_DIA_1K__3_reg.tif,66,469.541,204.726,264.815,271.84450000000004,-0.02585853309520715,16.5
20220126_AWC_WT_DIA_1K__3_reg.tif,67,470.807,205.389,265.418,271.84450000000004,-0.023640353216636833,16.75
20220126_AWC_WT_DIA_1K__3_reg.tif,68,471.773,204.526,267.247,271.84450000000004,-0.016912242108999904,17
20220126_AWC_WT_DIA_1K__3_reg.tif,69,467.122,204.2,262.922,271.84450000000004,-0.032822072913007296,17.25
20220126_AWC_WT_DIA_1K__3_reg.tif,70,469.265,204.8,264.465,271.84450000000004,-0.027146033853913037,17.5
20220126_AWC_WT_DIA_1K__3_reg.tif,71,468.801,204.758,264.043,271.84450000000004,-0.028698391911552493,17.75
20220126_AWC_WT_DIA_1K__3_reg.tif,72,471.326,204.737,266.58900000000006,271.84450000000004,-0.019332743535366664,18
20220126_AWC_WT_DIA_1K__3_reg.tif,73,471.812,205.368,266.444,271.84450000000004,-0.01986613670683064,18.25
20220126_AWC_WT_DIA_1K__3_reg.tif,74,474.227,204.737,269.49,271.84450000000004,-0.008661201532493869,18.5
20220126_AWC_WT_DIA_1K__3_reg.tif,75,472.486,204.989,267.49699999999996,271.84450000000004,-0.01599259870992454,18.75
20220126_AWC_WT_DIA_1K__3_reg.tif,76,475.37,205.316,270.054,271.84450000000004,-0.006586486024179504,19
20220126_AWC_WT_DIA_1K__3_reg.tif,77,475.84,204.863,270.977,271.84450000000004,-0.003191162594792477,19.25
20220126_AWC_WT_DIA_1K__3_reg.tif,78,481.453,204.411,277.042,271.84450000000004,0.019119386266780947,19.5
20220126_AWC_WT_DIA_1K__3_reg.tif,79,479.475,204.589,274.886,271.84450000000004,0.011188381593153381,19.75
20220126_AWC_WT_DIA_1K__3_reg.tif,80,480.58,204.968,275.61199999999997,271.84450000000004,0.013859026024068638,20
20220126_AWC_WT_DIA_1K__3_reg.tif,81,477.028,204.937,272.091,271.84450000000004,9.067683914884025e-4,20.25
20220126_AWC_WT_DIA_1K__3_reg.tif,82,477.685,205.221,272.464,271.84450000000004,0.0022788763429091243,20.5
20220126_AWC_WT_DIA_1K__3_reg.tif,83,481.028,204.568,276.46000000000004,271.84450000000004,0.016978456433733243,20.75
20220126_AWC_WT_DIA_1K__3_reg.tif,84,481.243,204.505,276.738,271.84450000000004,0.018001099893505148,21
20220126_AWC_WT_DIA_1K__3_reg.tif,85,485.182,204.905,280.27700000000004,271.84450000000004,0.03101957185081914,21.25
20220126_AWC_WT_DIA_1K__3_reg.tif,86,484.149,204.853,279.296,271.84450000000004,0.027410891152846395,21.5
20220126_AWC_WT_DIA_1K__3_reg.tif,87,477.674,204.705,272.96899999999994,271.84450000000004,0.004136556009041559,21.75
20220126_AWC_WT_DIA_1K__3_reg.tif,88,477.989,204.579,273.40999999999997,271.84450000000004,0.005758806965010985,22
20220126_AWC_WT_DIA_1K__3_reg.tif,89,478.398,204.853,273.545,271.84450000000004,0.006255414400511972,22.25
20220126_AWC_WT_DIA_1K__3_reg.tif,90,474.547,204.695,269.85200000000003,271.84450000000004,-0.007329557890632352,22.5
20220126_AWC_WT_DIA_1K__3_reg.tif,91,474.177,204.653,269.524,271.84450000000004,-0.008536130030219621,22.75
20220126_AWC_WT_DIA_1K__3_reg.tif,92,470.337,205.105,265.23199999999997,271.84450000000004,-0.024324567905549193,23
20220126_AWC_WT_DIA_1K__3_reg.tif,93,472.392,204.274,268.118,271.84450000000004,-0.013708204506620672,23.25
20220126_AWC_WT_DIA_1K__3_reg.tif,94,475.138,204.747,270.39099999999996,271.84450000000004,-0.00534680672222567,23.5
20220126_AWC_WT_DIA_1K__3_reg.tif,95,476.348,205.168,271.18,271.84450000000004,-0.0024444121547429953,23.75
20220126_AWC_WT_DIA_1K__3_reg.tif,96,473.26,204.684,268.576,271.84450000000004,-0.012023417799514123,24
20220126_AWC_WT_DIA_1K__3_reg.tif,97,474.547,204.674,269.87300000000005,271.84450000000004,-0.007252307845109949,24.25
20220126_AWC_WT_DIA_1K__3_reg.tif,98,470.409,204.505,265.904,271.84450000000004,-0.021852566448833953,24.5
20220126_AWC_WT_DIA_1K__3_reg.tif,99,471.508,204.674,266.83399999999995,271.84450000000004,-0.018431493004273002,24.75
20220126_AWC_WT_DIA_1K__3_reg.tif,100,470.348,204.726,265.622,271.84450000000004,-0.022889924202991137,25
20220126_AWC_WT_DIA_1K__3_reg.tif,101,476.84,205.042,271.798,271.84450000000004,-1.7105367222819398e-4,25.25
20220126_AWC_WT_DIA_1K__3_reg.tif,102,473.077,205.263,267.81399999999996,271.84450000000004,-0.014826490879896683,25.5
20220126_AWC_WT_DIA_1K__3_reg.tif,103,474.807,205.2,269.607,271.84450000000004,-0.008230808421726432,25.75
20220126_AWC_WT_DIA_1K__3_reg.tif,104,473.238,204.579,268.659,271.84450000000004,-0.011718096191021142,26
20220126_AWC_WT_DIA_1K__3_reg.tif,105,472.586,204.253,268.333,271.84450000000004,-0.012917311183415561,26.25
20220126_AWC_WT_DIA_1K__3_reg.tif,106,469.718,205.084,264.634,271.84450000000004,-0.026524354916137804,26.5
20220126_AWC_WT_DIA_1K__3_reg.tif,107,470.066,204.568,265.49799999999993,271.84450000000004,-0.023346067328932917,26.75
20220126_AWC_WT_DIA_1K__3_reg.tif,108,468.061,204.863,263.198,271.84450000000004,-0.03180678660042804,27
20220126_AWC_WT_DIA_1K__3_reg.tif,109,468.077,204.779,263.298,271.84450000000004,-0.03143892924079772,27.25
20220126_AWC_WT_DIA_1K__3_reg.tif,110,464.597,204.526,260.07099999999997,271.84450000000004,-0.043309686236065355,27.5
20220126_AWC_WT_DIA_1K__3_reg.tif,111,461.746,204.716,257.03,271.84450000000004,-0.05449622854242063,27.75
20220126_AWC_WT_DIA_1K__3_reg.tif,112,462.685,204.747,257.938,271.84450000000004,-0.051156083716978086,28
20220126_AWC_WT_DIA_1K__3_reg.tif,113,463.304,204.516,258.788,271.84450000000004,-0.04802929616012105,28.25
20220126_AWC_WT_DIA_1K__3_reg.tif,114,468.044,204.284,263.76,271.84450000000004,-0.0297394282393061,28.5
20220126_AWC_WT_DIA_1K__3_reg.tif,115,470.425,204.421,266.004,271.84450000000004,-0.021484709089203642,28.75
20220126_AWC_WT_DIA_1K__3_reg.tif,116,472.702,204.737,267.96500000000003,271.84450000000004,-0.01427102626685479,29
20220126_AWC_WT_DIA_1K__3_reg.tif,117,467.022,204.821,262.201,271.84450000000004,-0.03547432447594127,29.25
20220126_AWC_WT_DIA_1K__3_reg.tif,118,468.215,204.674,263.54099999999994,271.84450000000004,-0.03054503585689649,29.5
20220126_AWC_WT_DIA_1K__3_reg.tif,119,462.818,204.779,258.039,271.84450000000004,-0.050784547783751556,29.75
20220126_AWC_WT_DIA_1K__3_reg.tif,120,463.072,204.642,258.43,271.84450000000004,-0.049346225507597284,30
20220126_AWC_WT_DIA_1K__3_reg.tif,121,449.934,205.084,244.85000000000002,271.84450000000004,-0.09930125494538243,30.25
20220126_AWC_WT_DIA_1K__3_reg.tif,122,440.751,205.032,235.71899999999997,271.84450000000004,-0.13289031045321892,30.5
20220126_AWC_WT_DIA_1K__3_reg.tif,123,429.906,204.537,225.369,271.84450000000004,-0.17096354717494755,30.75
20220126_AWC_WT_DIA_1K__3_reg.tif,124,422.061,204.326,217.73499999999999,271.84450000000004,-0.19904577800911935,31
20220126_AWC_WT_DIA_1K__3_reg.tif,125,412.934,204.516,208.41800000000003,271.84450000000004,-0.23331904820586769,31.25
20220126_AWC_WT_DIA_1K__3_reg.tif,126,402.116,204.074,198.04199999999997,271.84450000000004,-0.27148792784110054,31.5
20220126_AWC_WT_DIA_1K__3_reg.tif,127,393.945,204.674,189.271,271.84450000000004,-0.3037526968542679,31.75
20220126_AWC_WT_DIA_1K__3_reg.tif,128,389.061,204.137,184.92399999999998,271.84450000000004,-0.31974345627739403,32
20220126_AWC_WT_DIA_1K__3_reg.tif,129,381.099,204.053,177.046,271.84450000000004,-0.3487232590690635,32.25
20220126_AWC_WT_DIA_1K__3_reg.tif,130,379.088,204.337,174.75100000000003,271.84450000000004,-0.3571655854725771,32.5
20220126_AWC_WT_DIA_1K__3_reg.tif,131,373.834,204.737,169.097,271.84450000000004,-0.3779642405860704,32.75
20220126_AWC_WT_DIA_1K__3_reg.tif,132,369.011,204.863,164.14800000000002,271.84450000000004,-0.3961695013141704,33
20220126_AWC_WT_DIA_1K__3_reg.tif,133,364.508,204.768,159.73999999999998,271.84450000000004,-0.4123846537266711,33.25
20220126_AWC_WT_DIA_1K__3_reg.tif,134,360.928,204.337,156.591,271.84450000000004,-0.42396848198142695,33.5
20220126_AWC_WT_DIA_1K__3_reg.tif,135,354.464,204.253,150.211,271.84450000000004,-0.4474377815258356,33.75
20220126_AWC_WT_DIA_1K__3_reg.tif,136,350.144,204.611,145.53300000000002,271.84450000000004,-0.4646461488093377,34
20220126_AWC_WT_DIA_1K__3_reg.tif,137,347.519,204.105,143.41400000000002,271.84450000000004,-0.4724410462599023,34.25
20220126_AWC_WT_DIA_1K__3_reg.tif,138,342.884,204.379,138.50500000000002,271.84450000000004,-0.4904991640441502,34.5
20220126_AWC_WT_DIA_1K__3_reg.tif,139,340.348,204.737,135.61100000000002,271.84450000000004,-0.501144956031849,34.75
20220126_AWC_WT_DIA_1K__3_reg.tif,140,336.597,204.305,132.29199999999997,271.84450000000004,-0.5133541417979766,35
