animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.01170556643950243,302.53,0.25,206.71,0,raw,0.04165269271972844,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.00338554988393698,302.274,0.5,207.242,0,raw,0.033332676164162994,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.00703875512280226,302.555,0.75,207.177,0,raw,0.036985881403028276,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.01620344340989769,303.262,1,207.016,0,raw,0.046150569690123704,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.0081368283737902,302.256,1.25,206.774,0,raw,0.03808395465401621,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.00151354615893431,301.762,1.5,207.194,0,raw,0.028433580121291702,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.0095622119207465,302.311,1.75,206.694,0,raw,0.039509338200972514,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.00693000363736752,300.829,2,206.774,0,raw,0.023017122642858493,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.00366745907433471,301.445,2.25,207.081,0,raw,0.026279667205891304,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.01185021647352716,300.75,2.5,207.161,0,raw,0.018096909806698855,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.00180918126496986,302.024,2.75,207.484,0,raw,0.028137945015256155,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.00293892970589061,301.159,3,206.726,0,raw,0.027008196574335404,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.00147448009135128,301.738,3.25,206.887,0,raw,0.031421606371577294,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-2.782137515727743e-4,301.604,3.5,206.919,0,raw,0.029668912528653238,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.00469162354881467,301.299,3.75,207.032,0,raw,0.025255502731411344,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.00424817088976104,301.244,4,206.935,0,raw,0.025698955390464975,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.00100674312001657,301.939,4.25,207.323,0,raw,0.028940383160209443,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.00225263392402289,301.433,4.5,206.935,0,raw,0.027694492356203124,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.00471274034210271,301.378,4.75,207.113,0,raw,0.025234385938123303,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.01160737335071216,300.451,5,206.839,0,raw,0.018339752929513856,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.0011894033819602,302.098,5.25,207.274,0,raw,0.03113652966218621,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.01034353327241145,302.207,5.5,206.516,0,raw,0.04029065955263746,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.01109317943414389,302.988,5.75,207.226,0,raw,0.0410403057143699,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.00235082701281345,302.482,6,207.548,0,raw,0.032297953293039465,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,2.7082287392164554e-4,302.14,6.25,207.403,0,raw,0.03021794915414766,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,5.875747732449338e-4,301.799,6.5,207.032,0,raw,0.030534701053470947,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.00157689653879933,302.03,6.75,207.468,0,raw,0.028370229741426684,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.00306563046561975,301.744,7,207.323,0,raw,0.026881495814606263,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.02400293101090819,299.97,7.25,207.532,0,raw,0.005944195269317824,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.00545499562618432,302.567,7.5,207.339,0,raw,0.03540212190641033,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.00753183224608219,301.079,7.75,207.081,0,raw,0.022415294034143822,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.00168564802423377,302.177,8,207.306,0,raw,0.031632774304459786,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,-0.01828028002979586,300.335,8.25,207.355,0,raw,0.011666846250430154,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
20220123_AWC_WT_DIA_1K/20220123_AWC_WT_DIA_1K__1/20220123_AWC_WT_DIA_1K__1_ImageJ_data.csv,1,0.00556057959262572,301.915,8.5,206.677,0,raw,0.035507705872851736,DIA,DIA10 - 3,OP50,AWC,-0.029947126280226014
