animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220126_AWC_WT_DIA_IAA__5_reg.tif,1,320.041,207.025,113.01599999999999,112.03585000000001,0.00874853897212348,0.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,2,319.273,206.4,112.87300000000002,112.03585000000001,0.007472161812491343,0.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,3,319.448,207.3,112.14799999999997,112.03585000000001,0.0010010188702987222,0.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,4,319.216,207.775,111.441,112.03585000000001,-0.005309461212638705,1
20220126_AWC_WT_DIA_IAA__5_reg.tif,5,318.753,207.675,111.07799999999997,112.03585000000001,-0.008549495540936548,1.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,6,320.17,207.125,113.04500000000002,112.03585000000001,0.009007384689811389,1.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,7,319.531,207.275,112.256,112.03585000000001,0.0019649960258255692,1.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,8,319.119,207.65,111.46900000000002,112.03585000000001,-0.005059541209353863,2
20220126_AWC_WT_DIA_IAA__5_reg.tif,9,318.995,206.575,112.42000000000002,112.03585000000001,0.003428813187921592,2.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,10,319.309,207.025,112.28400000000002,112.03585000000001,0.0022149160291104106,2.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,11,319.206,207,112.20600000000002,112.03585000000001,0.001518710305674538,2.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,12,319.067,206.225,112.84200000000001,112.03585000000001,0.007195464665997556,3
20220126_AWC_WT_DIA_IAA__5_reg.tif,13,320.16,207.325,112.83500000000004,112.03585000000001,0.0071329846651766,3.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,14,319.242,208.075,111.16700000000003,112.03585000000001,-0.007755106959066946,3.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,15,319.948,207.125,112.82299999999998,112.03585000000001,0.007025876092339804,3.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,16,318.438,207.475,110.963,112.03585000000001,-0.009575952697284099,4
20220126_AWC_WT_DIA_IAA__5_reg.tif,17,318.923,207.575,111.34800000000001,112.03585000000001,-0.006139552652119811,4.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,18,318.588,207.275,111.31300000000002,112.03585000000001,-0.006451952656225609,4.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,19,318.474,206.975,111.499,112.03585000000001,-0.004791769777263396,4.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,20,318.191,206.5,111.69099999999997,112.03585000000001,-0.00307803261188304,5
20220126_AWC_WT_DIA_IAA__5_reg.tif,21,318.454,207.525,110.929,112.03585000000001,-0.00987942698698683,5.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,22,317.464,207.55,109.91399999999999,112.03585000000001,-0.01893902710605599,5.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,23,318.433,207.45,110.983,112.03585000000001,-0.009397438409223533,5.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,24,318.588,207.425,111.16300000000001,112.03585000000001,-0.007790809816679211,6
20220126_AWC_WT_DIA_IAA__5_reg.tif,25,319.314,207.35,111.96400000000003,112.03585000000001,-6.413125798571041e-4,6.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,26,319.057,208.025,111.03200000000001,112.03585000000001,-0.008960078403475314,6.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,27,320.046,207.65,112.39599999999999,112.03585000000001,0.003214596042248762,6.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,28,318.335,207.05,111.28499999999997,112.03585000000001,-0.006701872659510704,7
20220126_AWC_WT_DIA_IAA__5_reg.tif,29,319.464,206.8,112.66399999999999,112.03585000000001,0.005606687502259113,7.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,30,318.526,207.425,111.101,112.03585000000001,-0.008344204109666785,7.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,31,319.026,207.425,111.601,112.03585000000001,-0.0038813469081549474,7.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,32,318.196,207.775,110.42100000000002,112.03585000000001,-0.01441368990372269,8
20220126_AWC_WT_DIA_IAA__5_reg.tif,33,319.067,207.5,111.56700000000001,112.03585000000001,-0.004184821197857679,8.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,34,317.995,207.275,110.72,112.03585000000001,-0.011744901297218807,8.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,35,319.278,206.5,112.77800000000002,112.03585000000001,0.006624218944204104,8.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,36,317.314,207.65,109.66400000000002,112.03585000000001,-0.021170455706811656,9
20220126_AWC_WT_DIA_IAA__5_reg.tif,37,318.768,207.325,111.44299999999998,112.03585000000001,-0.005291609783832826,9.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,38,317.675,206.1,111.57500000000002,112.03585000000001,-0.0041134154826334025,9.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,39,317.531,208.075,109.45600000000002,112.03585000000001,-0.023027004302640566,9.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,40,317.299,207.475,109.82399999999998,112.03585000000001,-0.019742341402328153,10
20220126_AWC_WT_DIA_IAA__5_reg.tif,41,317.222,207.625,109.59699999999998,112.03585000000001,-0.021768478571814562,10.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,42,317.211,206.475,110.73600000000002,112.03585000000001,-0.011602089866770252,10.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,43,318.634,207.15,111.48400000000001,112.03585000000001,-0.00492565549330863,10.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,44,317.242,206.55,110.69200000000001,112.03585000000001,-0.011994821300503394,11
20220126_AWC_WT_DIA_IAA__5_reg.tif,45,318.175,207.425,110.75,112.03585000000001,-0.011477129865128086,11.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,46,317.366,207.6,109.76599999999999,112.03585000000001,-0.02026003283770346,11.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,47,317.634,207.4,110.23400000000001,112.03585000000001,-0.016082798497088224,11.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,48,315.644,206.625,109.019,112.03585000000001,-0.026927541496762016,12
20220126_AWC_WT_DIA_IAA__5_reg.tif,49,316.722,207,109.72199999999998,112.03585000000001,-0.020652764271436603,12.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,50,316.309,207.35,108.95900000000003,112.03585000000001,-0.027463084360943205,12.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,51,316.536,207.225,109.311,112.03585000000001,-0.02432123289107909,12.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,52,314.871,206.85,108.02099999999999,112.03585000000001,-0.03583540447097981,13
20220126_AWC_WT_DIA_IAA__5_reg.tif,53,315.572,207.5,108.072,112.03585000000001,-0.035380193036425464,13.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,54,315.557,206.55,109.007,112.03585000000001,-0.027034650069598307,13.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,55,316.026,206.975,109.05100000000002,112.03585000000001,-0.026641918635865163,13.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,56,315.438,207.5,107.93799999999999,112.03585000000001,-0.03657623876643076,14
20220126_AWC_WT_DIA_IAA__5_reg.tif,57,315.701,207.4,108.30100000000002,112.03585000000001,-0.03333620443813292,14.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,58,313.727,207.125,106.60199999999998,112.03585000000001,-0.0485009932088705,14.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,59,314.954,207.1,107.85400000000001,112.03585000000001,-0.03732599877628453,14.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,60,314.716,206.9,107.816,112.03585000000001,-0.037665175923599525,15
20220126_AWC_WT_DIA_IAA__5_reg.tif,61,315.588,207.125,108.46300000000002,112.03585000000001,-0.03189023870484303,15.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,62,313.912,207.625,106.28699999999998,112.03585000000001,-0.05131259324582294,15.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,63,313.062,207.2,105.86200000000002,112.03585000000001,-0.0551060218671076,15.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,64,313.948,206.875,107.07299999999998,112.03585000000001,-0.04429698172504632,16
20220126_AWC_WT_DIA_IAA__5_reg.tif,65,314.5,207.775,106.725,112.03585000000001,-0.04740313033729843,16.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,66,313.711,206.65,107.061,112.03585000000001,-0.04440409029788236,16.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,67,313.557,207.125,106.43200000000002,112.03585000000001,-0.050018364657384164,16.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,68,313.392,207.125,106.267,112.03585000000001,-0.05149110753388325,17
20220126_AWC_WT_DIA_IAA__5_reg.tif,69,313.948,206.8,107.14799999999997,112.03585000000001,-0.04362755314481965,17.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,70,312.912,207.075,105.83699999999999,112.03585000000001,-0.055329164727183494,17.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,71,313.675,206.85,106.82500000000002,112.03585000000001,-0.04651055889699585,17.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,72,313.098,206.525,106.57300000000001,112.03585000000001,-0.04875983892655791,18
20220126_AWC_WT_DIA_IAA__5_reg.tif,73,313.428,206.25,107.178,112.03585000000001,-0.043359781712728675,18.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,74,311.711,205.975,105.73600000000002,112.03585000000001,-0.056230661881888626,18.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,75,311.552,208.15,103.40200000000002,112.03585000000001,-0.07706327929854591,18.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,76,311.33,206.625,104.70499999999998,112.03585000000001,-0.06543307343140634,19
20220126_AWC_WT_DIA_IAA__5_reg.tif,77,310.134,206.875,103.25900000000001,112.03585000000001,-0.0783396564581783,19.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,78,311.32,207.475,103.845,112.03585000000001,-0.07310918781800657,19.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,79,310.923,206.325,104.59800000000001,112.03585000000001,-0.06638812487252961,19.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,80,310.113,207.25,102.863,112.03585000000001,-0.0818742393617758,20
20220126_AWC_WT_DIA_IAA__5_reg.tif,81,308.582,207.4,101.18199999999999,112.03585000000001,-0.0968783652732587,20.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,82,310.16,207.675,102.48500000000001,112.03585000000001,-0.08524815940611863,20.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,83,309.701,207.7,102.00100000000003,112.03585000000001,-0.08956820517718192,20.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,84,308.062,207.5,100.56200000000001,112.03585000000001,-0.10241230820313317,21
20220126_AWC_WT_DIA_IAA__5_reg.tif,85,308.68,207.125,101.555,112.03585000000001,-0.09354907380093071,21.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,86,308.247,207.5,100.74700000000001,112.03585000000001,-0.10076105103857377,21.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,87,307.845,206.95,100.89500000000004,112.03585000000001,-0.09944004530692604,21.75
20220126_AWC_WT_DIA_IAA__5_reg.tif,88,307.072,207.25,99.822,112.03585000000001,-0.10901733686137077,22
20220126_AWC_WT_DIA_IAA__5_reg.tif,89,307.211,207.425,99.786,112.03585000000001,-0.10933866257987963,22.25
20220126_AWC_WT_DIA_IAA__5_reg.tif,90,307.062,207.4,99.662,112.03585000000001,-0.11044545116585452,22.5
20220126_AWC_WT_DIA_IAA__5_reg.tif,91,306.16,207,99.160000000000025,112.03585000000001,-0.11492615979617225,22.75
