animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__1/20220123_AWC_WT_DIA_IAA__1_ImageJ_data.csv,1,-0.01086584798707908,252.996,0.25,203.971,0,raw,-0.010647076259705386,DIA - IAA,DIA - IAA,OP50,AWC,-2.187717273736934e-4
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__1/20220123_AWC_WT_DIA_IAA__1_ImageJ_data.csv,1,0.02224316054842774,254.622,0.5,203.956,0,raw,0.02246193227580143,DIA - IAA,DIA - IAA,OP50,AWC,-2.187717273736934e-4
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__1/20220123_AWC_WT_DIA_IAA__1_ImageJ_data.csv,1,-0.00329980398902002,253.606,0.75,204.206,0,raw,-0.0030810322616463266,DIA - IAA,DIA - IAA,OP50,AWC,-2.187717273736934e-4
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__1/20220123_AWC_WT_DIA_IAA__1_ImageJ_data.csv,1,0.00656631738444849,254.213,1,204.324,0,raw,0.006785089111822184,DIA - IAA,DIA - IAA,OP50,AWC,-2.187717273736934e-4
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__1/20220123_AWC_WT_DIA_IAA__1_ImageJ_data.csv,1,-0.0072744991026671,253.747,1.25,204.544,0,raw,-0.007055727375293406,DIA - IAA,DIA - IAA,OP50,AWC,-2.187717273736934e-4
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__1/20220123_AWC_WT_DIA_IAA__1_ImageJ_data.csv,1,-0.01015968388059364,253.707,1.5,204.647,0,raw,-0.009940912153219947,DIA - IAA,DIA - IAA,OP50,AWC,-2.187717273736934e-4
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__1/20220123_AWC_WT_DIA_IAA__1_ImageJ_data.csv,1,-0.01415455511156897,253.112,1.75,204.25,0,raw,-0.013935783384195276,DIA - IAA,DIA - IAA,OP50,AWC,-2.187717273736934e-4
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__1/20220123_AWC_WT_DIA_IAA__1_ImageJ_data.csv,1,-0.0180081935212471,253.333,2,204.662,0,raw,-0.017789421793873408,DIA - IAA,DIA - IAA,OP50,AWC,-2.187717273736934e-4
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__1/20220123_AWC_WT_DIA_IAA__1_ImageJ_data.csv,1,-0.01262117019462914,253.438,2.25,204.5,0,raw,-0.012402398467255446,DIA - IAA,DIA - IAA,OP50,AWC,-2.187717273736934e-4
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__1/20220123_AWC_WT_DIA_IAA__1_ImageJ_data.csv,1,-0.00208923694933053,254.225,2.5,204.765,0,raw,-0.0018704652219568366,DIA - IAA,DIA - IAA,OP50,AWC,-2.187717273736934e-4
