animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__1/20220123_AWC_WT_DIA_IAA__1_ImageJ_data.csv,1,40,-0.03129892258092279,63,0.13196621883852727
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__2/20220123_AWC_WT_DIA_IAA__2_ImageJ_data.csv,2,39.5,-0.12690726084016385,68.75,0.39706302186448994
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__3/20220123_AWC_WT_DIA_IAA__3_ImageJ_data.csv,3,40.25,0.06657460728386069,61,0.6453813123056013
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__4/20220123_AWC_WT_DIA_IAA__4_ImageJ_data.csv,4,35,-0.08910978974626502,68.75,0.025618019976763447
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__5/20220123_AWC_WT_DIA_IAA__5_ImageJ_data.csv,5,40,-0.05788739403724831,61.75,0.10802216634968864
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__6/20220123_AWC_WT_DIA_IAA__6_ImageJ_data.csv,6,40.25,-0.46029008176659203,60.75,-0.43410404215773346
20220123_AWC_WT_DIA_IAA/20220123_AWC_WT_DIA_IAA__7/20220123_AWC_WT_DIA_IAA__7_ImageJ_data.csv,7,35.75,-0.08096231657105565,67.75,0.35937837134448913
20220126_AWC_WT_DIA_IAA/20220126_AWC_WT_DIA_IAA__1/20220126_AWC_WT_DIA_IAA__1_ImageJ_data.csv,8,34.5,-0.06200236593815658,62.5,0.11393072784452636
20220126_AWC_WT_DIA_IAA/20220126_AWC_WT_DIA_IAA__2/20220126_AWC_WT_DIA_IAA__2_ImageJ_data.csv,9,37,0.04816575865463271,70.25,1.2816415852477276
20220126_AWC_WT_DIA_IAA/20220126_AWC_WT_DIA_IAA__3/20220126_AWC_WT_DIA_IAA__3_ImageJ_data.csv,10,37.5,-0.08633836950714721,66,0.3223108107358673
20220126_AWC_WT_DIA_IAA/20220126_AWC_WT_DIA_IAA__4/20220126_AWC_WT_DIA_IAA__4_ImageJ_data.csv,11,40.25,-0.4945602163425859,68.5,-0.48230803638600567
20220126_AWC_WT_DIA_IAA/20220126_AWC_WT_DIA_IAA__5/20220126_AWC_WT_DIA_IAA__5_ImageJ_data.csv,12,39.25,-0.16155543069472858,69.25,-0.2602559805633645
20220126_AWC_WT_DIA_IAA/20220126_AWC_WT_DIA_IAA__6/20220126_AWC_WT_DIA_IAA__6_ImageJ_data.csv,13,40,-0.2583956497740569,69.5,-0.23027377579114722
