animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210819_AWC_WT_PYR_10mM__5_reg.tif,1,415.58,206.654,208.926,202.2252,0.033135336,0.25
20210819_AWC_WT_PYR_10mM__5_reg.tif,2,415.082,206.885,208.197,202.2252,0.029530444,0.5
20210819_AWC_WT_PYR_10mM__5_reg.tif,3,416.647,207.192,209.455,202.2252,0.035751232,0.75
20210819_AWC_WT_PYR_10mM__5_reg.tif,4,414.831,206.846,207.985,202.2252,0.028482108,1
20210819_AWC_WT_PYR_10mM__5_reg.tif,5,411.589,207.135,204.454,202.2252,0.011021376,1.25
20210819_AWC_WT_PYR_10mM__5_reg.tif,6,413.734,207.096,206.638,202.2252,0.021821217,1.5
20210819_AWC_WT_PYR_10mM__5_reg.tif,7,407.643,207.308,200.335,202.2252,-0.009347005,1.75
20210819_AWC_WT_PYR_10mM__5_reg.tif,8,407.261,207.5,199.761,202.2252,-0.012185425,2
20210819_AWC_WT_PYR_10mM__5_reg.tif,9,408.164,207.135,201.029,202.2252,-0.005915188,2.25
20210819_AWC_WT_PYR_10mM__5_reg.tif,10,410.28,207.385,202.895,202.2252,0.003312149,2.5
20210819_AWC_WT_PYR_10mM__5_reg.tif,11,412.386,206.385,206.001,202.2252,0.018671264,2.75
20210819_AWC_WT_PYR_10mM__5_reg.tif,12,410.517,206.673,203.844,202.2252,0.008004937,3
20210819_AWC_WT_PYR_10mM__5_reg.tif,13,408.667,207.442,201.225,202.2252,-0.004945971,3.25
20210819_AWC_WT_PYR_10mM__5_reg.tif,14,406.662,206.808,199.854,202.2252,-0.011725542,3.5
20210819_AWC_WT_PYR_10mM__5_reg.tif,15,406.522,207.615,198.907,202.2252,-0.01640844,3.75
20210819_AWC_WT_PYR_10mM__5_reg.tif,16,405.507,207.269,198.238,202.2252,-0.019716633,4
20210819_AWC_WT_PYR_10mM__5_reg.tif,17,404.981,207.962,197.019,202.2252,-0.025744566,4.25
20210819_AWC_WT_PYR_10mM__5_reg.tif,18,404.087,207.288,196.799,202.2252,-0.026832462,4.5
20210819_AWC_WT_PYR_10mM__5_reg.tif,19,404.174,207.519,196.655,202.2252,-0.027544539,4.75
20210819_AWC_WT_PYR_10mM__5_reg.tif,20,402.845,206.558,196.287,202.2252,-0.029364293,5
20210819_AWC_WT_PYR_10mM__5_reg.tif,21,402.338,207.885,194.453,202.2252,-0.03843339,5.25
20210819_AWC_WT_PYR_10mM__5_reg.tif,22,399.836,207.308,192.528,202.2252,-0.047952481,5.5
20210819_AWC_WT_PYR_10mM__5_reg.tif,23,400.386,208.115,192.271,202.2252,-0.049223341,5.75
20210819_AWC_WT_PYR_10mM__5_reg.tif,24,401.812,207.5,194.312,202.2252,-0.039130633,6
20210819_AWC_WT_PYR_10mM__5_reg.tif,25,400.058,207.5,192.558,202.2252,-0.047804131,6.25
20210819_AWC_WT_PYR_10mM__5_reg.tif,26,403.324,207.865,195.459,202.2252,-0.033458738,6.5
20210819_AWC_WT_PYR_10mM__5_reg.tif,27,403.884,207.75,196.134,202.2252,-0.030120875,6.75
20210819_AWC_WT_PYR_10mM__5_reg.tif,28,405.816,207.231,198.585,202.2252,-0.018000724,7
20210819_AWC_WT_PYR_10mM__5_reg.tif,29,406.425,207.981,198.444,202.2252,-0.018697966,7.25
20210819_AWC_WT_PYR_10mM__5_reg.tif,30,408.758,207.269,201.489,202.2252,-0.003640496,7.5
20210819_AWC_WT_PYR_10mM__5_reg.tif,31,409.488,207,202.488,202.2252,0.001299541,7.75
20210819_AWC_WT_PYR_10mM__5_reg.tif,32,413.295,207.808,205.487,202.2252,0.016129543,8
20210819_AWC_WT_PYR_10mM__5_reg.tif,33,414.227,207.712,206.515,202.2252,0.021212984,8.25
20210819_AWC_WT_PYR_10mM__5_reg.tif,34,414.488,207.058,207.43,202.2252,0.025737643,8.5
20210819_AWC_WT_PYR_10mM__5_reg.tif,35,413.768,207.115,206.653,202.2252,0.021895392,8.75
20210819_AWC_WT_PYR_10mM__5_reg.tif,36,412.937,207.712,205.225,202.2252,0.014833957,9
20210819_AWC_WT_PYR_10mM__5_reg.tif,37,411.338,208.096,203.242,202.2252,0.005028058,9.25
