animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,1,851.381,224.763,626.6179999999999,605.0525,0.03564236161324832,0.25
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,2,863.993,224.136,639.8570000000001,605.0525,0.05752310749893617,0.5
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,3,859.482,223.966,635.516,605.0525,0.050348523475235545,0.75
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,4,852.115,224.017,628.098,605.0525,0.0380884303428214,1
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,5,838.302,224,614.302,605.0525,0.015287103185260803,1.25
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,6,840.964,223.712,617.2520000000001,605.0525,0.020162713152990952,1.5
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,7,842.914,224.576,618.338,605.0525,0.021957598720772093,1.75
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,8,815.424,223.695,591.729,605.0525,-0.02202040318815304,2
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,9,812.676,223.932,588.744,605.0525,-0.026953859375839256,2.25
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,10,818.324,223.576,594.7479999999999,605.0525,-0.01703075352965251,2.5
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,11,831.849,224.017,607.8320000000001,605.0525,0.004593816239086853,2.75
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,12,829.381,223.729,605.6519999999999,605.0525,9.908231103911162e-4,3
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,13,819.583,222.831,596.752,605.0525,-0.013718644249879236,3.25
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,14,817.288,222.814,594.474,605.0525,-0.01748360679445166,3.5
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,15,828.151,223.322,604.829,605.0525,-3.6938943314845934e-4,3.75
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,16,813.245,222.458,590.787,605.0525,-0.02357729287954347,4
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,17,818.424,223.424,595,605.0525,-0.01661426074596834,4.25
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,18,804.158,222.593,581.565,605.0525,-0.03881894546341012,4.5
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,19,797.705,222.407,575.298,605.0525,-0.04917672433383881,4.75
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,20,817.252,223.593,593.659,605.0525,-0.01883059734485853,5
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,21,800.82,223.034,577.7860000000001,605.0525,-0.04506468446952942,5.25
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,22,805.532,223.661,581.8710000000001,605.0525,-0.038313204226079416,5.5
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,23,779.41,222.373,557.037,605.0525,-0.0793575764086587,5.75
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,24,764.288,222.441,541.847,605.0525,-0.10446283586961466,6
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,25,755.259,222.305,532.954,605.0525,-0.11916073398589389,6.25
20201106_AWC_Is_odr1p_PYR_IAA__7_reg.tif,26,766.561,222.881,543.6800000000001,605.0525,-0.10143334669305547,6.5
