animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210827_AWC_WT_PYR_IAA__6_reg.tif,1,337.128,207.12,130.00799999999998,128.43225,0.012269114649941668,0.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,2,336.068,206.56,129.50799999999998,128.43225,0.008376011476867926,0.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,3,337.119,207.42,129.69900000000004,128.43225,0.009863176888982557,0.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,4,336.279,206.8,129.47899999999998,128.43225,0.008150211492829679,1
20210827_AWC_WT_PYR_IAA__6_reg.tif,5,337.338,206.98,130.35800000000003,128.43225,0.014994286871093684,1.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,6,335.959,206.72,129.239,128.43225,0.006281521969754433,1.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,7,335.881,207.54,128.34099999999998,128.43225,-7.104913290861967e-4,1.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,8,333.936,207.32,126.61599999999999,128.43225,-0.014141697276190558,2
20210827_AWC_WT_PYR_IAA__6_reg.tif,9,333.667,208.06,125.60699999999997,128.43225,-0.02199797947945348,2.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,10,336.21,206.04,130.17,128.43225,0.013530480078017607,2.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,11,336.192,207.68,128.512,128.43225,6.209499561051838e-4,2.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,12,336.174,206.6,129.57399999999998,128.43225,0.00888990109571368,3
20210827_AWC_WT_PYR_IAA__6_reg.tif,13,335.648,207.5,128.14800000000002,128.43225,-0.002213229153892312,3.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,14,335.237,207,128.23700000000002,128.43225,-0.0015202567890851967,3.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,15,335.055,207.44,127.61500000000001,128.43225,-0.00636327713638904,3.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,16,335.087,206.86,128.22699999999998,128.43225,-0.0015981188525470433,4
20210827_AWC_WT_PYR_IAA__6_reg.tif,17,334.858,206.88,127.97800000000001,128.43225,-0.0035368842327375078,4.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,18,333.123,207.4,125.72299999999998,128.43225,-0.021094779543300263,4.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,19,334.772,207.18,127.59199999999998,128.43225,-0.006542359882350623,4.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,20,334.694,206.68,128.014,128.43225,-0.003256580804276188,5
20210827_AWC_WT_PYR_IAA__6_reg.tif,21,333.612,207.02,126.59200000000001,128.43225,-0.014328566228497885,5.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,22,333.776,207,126.77600000000001,128.43225,-0.012895904260806767,5.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,23,334.397,207.08,127.31699999999998,128.43225,-0.008683566627541226,5.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,24,334.689,207.14,127.54900000000004,128.43225,-0.0068771667552345725,6
20210827_AWC_WT_PYR_IAA__6_reg.tif,25,334.977,207.08,127.89699999999996,128.43225,-0.00416756694677581,6.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,26,334.795,206.52,128.275,128.43225,-0.0012243809479317287,6.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,27,334.452,206.82,127.632,128.43225,-0.006230911628504565,6.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,28,335.712,207.38,128.332,128.43225,-7.805671862014161e-4,7
20210827_AWC_WT_PYR_IAA__6_reg.tif,29,335.767,206.56,129.207,128.43225,0.006032363366677631,7.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,30,335.059,207.26,127.79900000000004,128.43225,-0.004930615168697702,7.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,31,334.489,207.4,127.08899999999997,128.43225,-0.010458821674462918,7.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,32,334.731,207.76,126.971,128.43225,-0.011377594023308062,8
20210827_AWC_WT_PYR_IAA__6_reg.tif,33,334.959,207.2,127.75900000000001,128.43225,-0.00524206342254376,8.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,34,334.795,207.18,127.61500000000001,128.43225,-0.00636327713638904,8.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,35,334.836,207.14,127.69600000000003,128.43225,-0.0057325944223509595,8.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,36,334.493,206.66,127.833,128.43225,-0.004665884152928972,9
20210827_AWC_WT_PYR_IAA__6_reg.tif,37,334.575,206.78,127.79499999999999,128.43225,-0.004961759994082661,9.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,38,335.635,206.5,129.135,128.43225,0.00547175650975499,9.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,39,335.374,207.34,128.03400000000002,128.43225,-0.0031008566773531583,9.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,40,335.078,206.5,128.57799999999997,128.43225,0.0011348395749507158,10
20210827_AWC_WT_PYR_IAA__6_reg.tif,41,335.667,207.04,128.62699999999998,128.43225,0.0015163636859119936,10.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,42,336.283,207.36,128.923,128.43225,0.0038210807643718095,10.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,43,336.662,207.4,129.26199999999997,128.43225,0.006460604715715574,10.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,44,336.16,207.24,128.92000000000002,128.43225,0.003797722145333477,11
20210827_AWC_WT_PYR_IAA__6_reg.tif,45,337.84,206.96,130.87999999999997,128.43225,0.01905868658378216,11.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,46,338.393,206.66,131.73299999999998,128.43225,0.02570032059704603,11.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,47,338.397,207.22,131.177,128.43225,0.021371189868588162,11.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,48,336.562,207.48,129.08200000000002,128.43225,0.005059087573409417,12
20210827_AWC_WT_PYR_IAA__6_reg.tif,49,336.986,206.18,130.80599999999998,128.43225,0.01848250731416737,12.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,50,336.269,207.06,129.209,128.43225,0.00604793577937,12.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,51,337.434,206.28,131.15400000000002,128.43225,0.02119210712262702,12.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,52,337.265,206.6,130.665,128.43225,0.017384652219360648,13
20210827_AWC_WT_PYR_IAA__6_reg.tif,53,336.708,207.18,129.52800000000002,128.43225,0.008531735603791177,13.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,54,337.402,206.32,131.082,128.43225,0.02063150026570416,13.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,55,337.749,206.8,130.949,128.43225,0.01959593482166669,13.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,56,338.356,206.22,132.136,128.43225,0.02883816175454362,14
20210827_AWC_WT_PYR_IAA__6_reg.tif,57,338.543,206.84,131.703,128.43225,0.025466734406661817,14.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,58,338.662,207.06,131.60199999999998,128.43225,0.024680327565700707,14.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,59,337.726,207.38,130.346,128.43225,0.01490085239493969,14.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,60,337.639,207.58,130.059,128.43225,0.012666211173595315,15
20210827_AWC_WT_PYR_IAA__6_reg.tif,61,336.58,206.54,130.04,128.43225,0.01251827325301847,15.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,62,337.479,207.2,130.279,128.43225,0.014379176569747753,15.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,63,337.105,206.84,130.26500000000001,128.43225,0.01427016968090183,15.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,64,336.813,207.1,129.713,128.43225,0.009972183777828257,16
20210827_AWC_WT_PYR_IAA__6_reg.tif,65,335.425,207.04,128.38500000000002,128.43225,-3.6789824985539947e-4,16.25
20210827_AWC_WT_PYR_IAA__6_reg.tif,66,335.932,206.72,129.21200000000002,128.43225,0.006071294398408554,16.5
20210827_AWC_WT_PYR_IAA__6_reg.tif,67,336.457,207.36,129.09699999999998,128.43225,0.005175880668601301,16.75
20210827_AWC_WT_PYR_IAA__6_reg.tif,68,334.603,207.4,127.203,128.43225,-0.00957119415100185,17
