animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20201106_AWC_Is_odr1p_PYR_IAA__1/20201106_AWC_Is_odr1p_PYR_IAA__1_ImageJ_data.csv,1,-0.03018660489937117,687.889,0.25,242.062,0,raw,-0.0535412483767381,WT_PYR_IAA,pyr - IAA,OP50,AWC,0.02335464347736693
20201106_AWC_Is_odr1p_PYR_IAA__1/20201106_AWC_Is_odr1p_PYR_IAA__1_ImageJ_data.csv,1,-0.00947979775677337,697.94,0.5,242.594,0,raw,-0.032834441234140296,WT_PYR_IAA,pyr - IAA,OP50,AWC,0.02335464347736693
20201106_AWC_Is_odr1p_PYR_IAA__1/20201106_AWC_Is_odr1p_PYR_IAA__1_ImageJ_data.csv,1,-0.02848550991192373,688.359,0.75,241.75,0,raw,-0.051840153389290655,WT_PYR_IAA,pyr - IAA,OP50,AWC,0.02335464347736693
20201106_AWC_Is_odr1p_PYR_IAA__1/20201106_AWC_Is_odr1p_PYR_IAA__1_ImageJ_data.csv,1,-0.03666903848324987,685.222,1,242.375,0,raw,-0.060023681960616804,WT_PYR_IAA,pyr - IAA,OP50,AWC,0.02335464347736693
20201106_AWC_Is_odr1p_PYR_IAA__1/20201106_AWC_Is_odr1p_PYR_IAA__1_ImageJ_data.csv,1,0.00395276176686772,703.427,1.25,241.906,0,raw,-0.019401881710499207,WT_PYR_IAA,pyr - IAA,OP50,AWC,0.02335464347736693
20201106_AWC_Is_odr1p_PYR_IAA__1/20201106_AWC_Is_odr1p_PYR_IAA__1_ImageJ_data.csv,1,-0.00498777582700523,699.88,1.5,242.469,0,raw,-0.02834241930437216,WT_PYR_IAA,pyr - IAA,OP50,AWC,0.02335464347736693
20201106_AWC_Is_odr1p_PYR_IAA__1/20201106_AWC_Is_odr1p_PYR_IAA__1_ImageJ_data.csv,1,-0.02487884048841011,689.923,1.75,241.656,0,raw,-0.048233483965777035,WT_PYR_IAA,pyr - IAA,OP50,AWC,0.02335464347736693
20201106_AWC_Is_odr1p_PYR_IAA__1/20201106_AWC_Is_odr1p_PYR_IAA__1_ImageJ_data.csv,1,6.87616528813451e-4,703.239,2,243.219,0,raw,-0.02266702694855348,WT_PYR_IAA,pyr - IAA,OP50,AWC,0.02335464347736693
20201106_AWC_Is_odr1p_PYR_IAA__1/20201106_AWC_Is_odr1p_PYR_IAA__1_ImageJ_data.csv,1,0.00940192154123563,705.214,2.25,241.188,0,raw,-0.013952721936131299,WT_PYR_IAA,pyr - IAA,OP50,AWC,0.02335464347736693
20201106_AWC_Is_odr1p_PYR_IAA__1/20201106_AWC_Is_odr1p_PYR_IAA__1_ImageJ_data.csv,1,-0.00693250590216872,697.205,2.5,240.688,0,raw,-0.03028714937953565,WT_PYR_IAA,pyr - IAA,OP50,AWC,0.02335464347736693
20201106_AWC_Is_odr1p_PYR_IAA__1/20201106_AWC_Is_odr1p_PYR_IAA__1_ImageJ_data.csv,1,0.02289974046337197,713.137,2.75,242.906,0,raw,-4.5490301399495753e-4,WT_PYR_IAA,pyr - IAA,OP50,AWC,0.02335464347736693
20201106_AWC_Is_odr1p_PYR_IAA__1/20201106_AWC_Is_odr1p_PYR_IAA__1_ImageJ_data.csv,1,0.03194034246827135,717.231,3,242.844,0,raw,0.00858569899090442,WT_PYR_IAA,pyr - IAA,OP50,AWC,0.02335464347736693
20201106_AWC_Is_odr1p_PYR_IAA__1/20201106_AWC_Is_odr1p_PYR_IAA__1_ImageJ_data.csv,1,-0.01381084650358636,696.855,3.25,243.5,0,raw,-0.03716548998095329,WT_PYR_IAA,pyr - IAA,OP50,AWC,0.02335464347736693
