animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,-0.00506909089910808,438.035,0.25,220.583,-0.06350450910044017,nls,0.0353097897991146,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,-0.01611869331931426,437.37,0.5,222.333,-0.058505834610809965,nls,0.019261512889278215,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,-0.00937912215369794,437.26,0.75,220.75,-0.05360868433050531,nls,0.021103933774589877,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,-0.01544153341944243,437.31,1,222.125,-0.048810996279875174,nls,0.01024383445821525,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,-0.00966737265161644,438.28,1.25,221.833,-0.044110750358541784,nls,0.011317749304707851,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,-0.00150942602005208,438.98,1.5,220.75,-0.03950596749482266,nls,0.014870913072553088,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.00407256774916162,440.2,1.75,220.75,-0.03499470881242894,nls,0.015941648159373073,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.01037290006080725,441.035,2,220.208,-0.030575074814087527,nls,0.01782234647267729,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.00362417808573304,440.685,2.25,221.333,-0.02624520458174462,nls,0.006743754265260169,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.00164760324286393,440.795,2.5,221.875,-0.022003274993012828,nls,5.252498336592686e-4,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.00495562086183239,441.31,2.75,221.667,-0.017847499953532825,nls,-3.2250758685227476e-4,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.00367450753775039,441.155,3,221.792,-0.013776129644925583,nls,-0.005674991219541518,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.00477260467267774,441.02,3.25,221.417,-0.009787449788019126,nls,-0.008565573941520625,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.0020227864306306,440.335,3.5,221.333,-0.0058797809210390795,nls,-0.015223061050547812,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.00196788157388436,440.24,3.75,221.25,-0.0020514776924596134,nls,-0.019106269135873516,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.00163387702867727,441.125,4,222.208,0.0016990718317836384,nls,-0.023190823205323858,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.00364705510937733,440.69,4.25,221.333,0.005373446847009605,nls,-0.024852020139849766,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.00475887845849135,441.6,4.5,222,0.008973194474723084,nls,-0.027339944418449225,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.00490986681454379,441.3,4.75,221.667,0.012499830414041346,nls,-0.030715592001715048,WT_PYR,PYR,OP50,AWC,0.02312562840221749
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,0.00512491083680038,441.805,5,222.125,0.0159548395798898,nls,-0.03395555714530692,WT_PYR,PYR,OP50,AWC,0.02312562840221749
