animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220130_AWC_WT_HEX_10K__5_reg.tif,1,266.081,204.7,61.38100000000003,69.6342,-0.11852222040319237,0.25
20220130_AWC_WT_HEX_10K__5_reg.tif,2,267.73,204.822,62.908000000000015,69.6342,-0.09659334062859903,0.5
20220130_AWC_WT_HEX_10K__5_reg.tif,3,268.13,204.356,63.774,69.6342,-0.08415692289133796,0.75
20220130_AWC_WT_HEX_10K__5_reg.tif,4,267.211,204.756,62.45500000000001,69.6342,-0.1030987646874667,1
20220130_AWC_WT_HEX_10K__5_reg.tif,5,267.881,204.756,63.12499999999997,69.6342,-0.09347705581452842,1.25
20220130_AWC_WT_HEX_10K__5_reg.tif,6,269.081,205.2,63.88100000000003,69.6342,-0.0826203216235697,1.5
20220130_AWC_WT_HEX_10K__5_reg.tif,7,272.611,205.122,67.48899999999998,69.6342,-0.030806701304819054,1.75
20220130_AWC_WT_HEX_10K__5_reg.tif,8,277.843,204.944,72.89900000000003,69.6342,0.04688500765428514,2
20220130_AWC_WT_HEX_10K__5_reg.tif,9,282.514,205.278,77.23600000000002,69.6342,0.10916762165717436,2.25
20220130_AWC_WT_HEX_10K__5_reg.tif,10,285.092,205.189,79.90299999999999,69.6342,0.1474677672752754,2.5
20220130_AWC_WT_HEX_10K__5_reg.tif,11,282.265,205.1,77.16499999999999,69.6342,0.1081480077318327,2.75
20220130_AWC_WT_HEX_10K__5_reg.tif,12,280.53,204.611,75.91899999999998,69.6342,0.09025450138006863,3
20220130_AWC_WT_HEX_10K__5_reg.tif,13,277.449,205.033,72.41600000000003,69.6342,0.03994876081006198,3.25
20220130_AWC_WT_HEX_10K__5_reg.tif,14,276.357,205.078,71.27900000000002,69.6342,0.02362057724508959,3.5
20220130_AWC_WT_HEX_10K__5_reg.tif,15,273.757,204.656,69.101,69.6342,-0.0076571569717180325,3.75
20220130_AWC_WT_HEX_10K__5_reg.tif,16,274.059,204.767,69.29200000000003,69.6342,-0.004914251904954418,4
20220130_AWC_WT_HEX_10K__5_reg.tif,17,273.357,204.922,68.43500000000003,69.6342,-0.017221422806609054,4.25
20220130_AWC_WT_HEX_10K__5_reg.tif,18,274.886,204.944,69.94200000000004,69.6342,0.004420241777747553,4.5
20220130_AWC_WT_HEX_10K__5_reg.tif,19,276.578,205.056,71.52199999999996,69.6342,0.027110241806468025,4.75
20220130_AWC_WT_HEX_10K__5_reg.tif,20,277.773,205.211,72.56200000000001,69.6342,0.04204543169879175,5
20220130_AWC_WT_HEX_10K__5_reg.tif,21,276.476,204.867,71.60900000000001,69.6342,0.028359627883999552,5.25
20220130_AWC_WT_HEX_10K__5_reg.tif,22,274.276,204.822,69.45400000000001,69.6342,-0.0025878088640351902,5.5
20220130_AWC_WT_HEX_10K__5_reg.tif,23,273.151,204.711,68.44,69.6342,-0.017149619009050283,5.75
20220130_AWC_WT_HEX_10K__5_reg.tif,24,272.935,205.122,67.81299999999999,69.6342,-0.02615381522297978,6
20220130_AWC_WT_HEX_10K__5_reg.tif,25,272.589,204.356,68.233,69.6342,-0.020122296228002948,6.25
20220130_AWC_WT_HEX_10K__5_reg.tif,26,271.405,204.544,66.86099999999996,69.6342,-0.039825258278260466,6.5
20220130_AWC_WT_HEX_10K__5_reg.tif,27,269.811,204.744,65.06699999999998,69.6342,-0.06558846084251743,6.75
20220130_AWC_WT_HEX_10K__5_reg.tif,28,270.4,205.111,65.28899999999999,69.6342,-0.062400372230886826,7
20220130_AWC_WT_HEX_10K__5_reg.tif,29,269.903,204.633,65.27000000000001,69.6342,-0.06267322666161163,7.25
20220130_AWC_WT_HEX_10K__5_reg.tif,30,269.573,204.722,64.85099999999997,69.6342,-0.06869038489707695,7.5
20220130_AWC_WT_HEX_10K__5_reg.tif,31,269.762,204.878,64.88400000000001,69.6342,-0.0682164798331853,7.75
20220130_AWC_WT_HEX_10K__5_reg.tif,32,270.897,204.6,66.297,69.6342,-0.04792472664294283,8
20220130_AWC_WT_HEX_10K__5_reg.tif,33,269.47,204.411,65.05900000000003,69.6342,-0.06570334691861156,8.25
20220130_AWC_WT_HEX_10K__5_reg.tif,34,271.341,205,66.34100000000001,69.6342,-0.04729285322442131,8.5
20220130_AWC_WT_HEX_10K__5_reg.tif,35,274.724,204.311,70.41299999999998,69.6342,0.011184159507827697,8.75
