animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220201_AWC_WT_HEX_DIA__3_reg.tif,1,288.061,211.172,76.88899999999998,76.94125,-6.790895650904424e-4,0.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,2,288.053,211.793,76.25999999999999,76.94125,-0.008854158205124113,0.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,3,286.947,211.862,75.08500000000001,76.94125,-0.02412555033873233,0.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,4,287.47,211.103,76.36700000000002,76.94125,-0.0074634867512547295,1
20220201_AWC_WT_HEX_DIA__3_reg.tif,5,288.03,211.207,76.82299999999998,76.94125,-0.0015368869104676298,1.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,6,287.75,211.103,76.64699999999999,76.94125,-0.003824346498139883,1.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,7,287.894,211.103,76.791,76.94125,-0.0019527886536805652,1.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,8,287.636,212.103,75.53300000000002,76.94125,-0.018302925933747907,2
20220201_AWC_WT_HEX_DIA__3_reg.tif,9,288.258,211.414,76.844,76.94125,-0.0012639513914837945,2.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,10,287.333,211.172,76.16100000000003,76.94125,-0.01014085422318934,2.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,11,288.265,211.103,77.16199999999998,76.94125,0.002869072181696829,2.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,12,289.038,211.138,77.9,76.94125,0.012460806134550832,3
20220201_AWC_WT_HEX_DIA__3_reg.tif,13,289.689,212.172,77.51700000000002,76.94125,0.007482982145468494,3.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,14,288.765,211.759,77.006,76.94125,8.415511835329377e-4,3.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,15,287.326,210.345,76.98100000000002,76.94125,5.166279466479473e-4,3.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,16,287.742,211.069,76.67300000000003,76.94125,-0.00348642633177868,4
20220201_AWC_WT_HEX_DIA__3_reg.tif,17,289.848,211.345,78.50300000000001,76.94125,0.020297954608224037,4.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,18,288.75,211.69,77.06,76.94125,0.0015433853752051818,4.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,19,290.205,212.345,77.85999999999999,76.94125,0.011940928955534108,4.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,20,289.28,210.517,78.76299999999998,76.94125,0.023677156271830525,5
20220201_AWC_WT_HEX_DIA__3_reg.tif,21,290.667,212.276,78.39099999999996,76.94125,0.018842298506977287,5.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,22,289.939,211.483,78.45600000000002,76.94125,0.019687098922879738,5.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,23,290.318,211.552,78.76599999999999,76.94125,0.023716147060256945,5.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,24,291.258,211.793,79.464999999999975,76.94125,0.03280100076356933,6
20220201_AWC_WT_HEX_DIA__3_reg.tif,25,290.28,212.379,77.90099999999998,76.94125,0.012473803064025936,6.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,26,290.667,212.31,78.35699999999997,76.94125,0.018400402904813404,6.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,27,291.144,211.897,79.24700000000001,76.94125,0.02996767013793014,6.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,28,291.417,211.655,79.76199999999997,76.94125,0.03666108881776649,7
20220201_AWC_WT_HEX_DIA__3_reg.tif,29,291.25,212.345,78.905,76.94125,0.025522720257339263,7.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,30,290.992,211.138,79.85400000000001,76.94125,0.037856806329504875,7.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,31,290.955,211.345,79.60999999999999,76.94125,0.03468555553750412,7.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,32,291.439,211.724,79.71500000000003,76.94125,0.03605023313242293,8
20220201_AWC_WT_HEX_DIA__3_reg.tif,33,291.659,211.345,80.314,76.94125,0.043835393888193866,8.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,34,291.341,211.414,79.92700000000002,76.94125,0.03880558218121001,8.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,35,290.848,211.207,79.64100000000002,76.94125,0.03508846035124232,8.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,36,292.333,211.862,80.47100000000003,76.94125,0.045875911815833975,9
20220201_AWC_WT_HEX_DIA__3_reg.tif,37,291.25,211.31,79.94,76.94125,0.03897454226439005,9.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,38,293.417,211.793,81.62399999999997,76.94125,0.06086137150098251,9.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,39,292.765,211.138,81.62699999999998,76.94125,0.06090036228940893,9.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,40,294.083,211.862,82.22100000000003,76.94125,0.06862053839780398,10
20220201_AWC_WT_HEX_DIA__3_reg.tif,41,293.591,211.793,81.798,76.94125,0.06312283722970455,10.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,42,293.477,211.172,82.30499999999998,76.94125,0.06971228047373784,10.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,43,293.924,212.276,81.64799999999997,76.94125,0.061173297808392396,10.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,44,293.318,210.345,82.97299999999998,76.94125,0.07839422936331276,11
20220201_AWC_WT_HEX_DIA__3_reg.tif,45,294.652,210.931,83.72099999999998,76.94125,0.08811593261092039,11.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,46,293.947,211.69,82.257,76.94125,0.06908842785891844,11.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,47,294.462,211,83.46199999999999,76.94125,0.08474972787678901,11.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,48,294.727,210.966,83.76099999999997,76.94125,0.08863580978993675,12
20220201_AWC_WT_HEX_DIA__3_reg.tif,49,295.091,211.103,83.988,76.94125,0.09158611278085557,12.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,50,294.864,211.207,83.65699999999998,76.94125,0.08728412912449415,12.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,51,295.205,210.828,84.37699999999998,76.94125,0.09664191834679037,12.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,52,295.159,210.552,84.607,76.94125,0.09963121212613524,13
20220201_AWC_WT_HEX_DIA__3_reg.tif,53,295.932,211.379,84.55300000000003,76.94125,0.09892937793446337,13.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,54,295.576,213.138,82.43800000000002,76.94125,0.07144087209396806,13.5
20220201_AWC_WT_HEX_DIA__3_reg.tif,55,295.432,211.069,84.36300000000003,76.94125,0.09645996133413522,13.75
20220201_AWC_WT_HEX_DIA__3_reg.tif,56,296.614,211.483,85.13099999999997,76.94125,0.10644160317125047,14
20220201_AWC_WT_HEX_DIA__3_reg.tif,57,294.939,211.966,82.97300000000001,76.94125,0.07839422936331314,14.25
20220201_AWC_WT_HEX_DIA__3_reg.tif,58,296.076,211.862,84.21400000000003,76.94125,0.09452341884229891,14.5
