animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__1/20220130_AWC_WT_HEX_DIA__1_ImageJ_data.csv,1,-0.01257852109360253,285.825,0.25,210.853,-0.011514761365883586,nls,-8.666663579507412e-4,HEX - DIA,HEX - DIA,OP50,AWC,-0.00019709336976820381
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__1/20220130_AWC_WT_HEX_DIA__1_ImageJ_data.csv,1,-0.01191999425764565,286.331,0.5,211.309,-0.010237828104505436,nls,-0.001485072783372009,HEX - DIA,HEX - DIA,OP50,AWC,-0.00019709336976820381
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__1/20220130_AWC_WT_HEX_DIA__1_ImageJ_data.csv,1,-0.00931222798725876,286.058,0.75,210.838,-0.008971175041716767,nls,-1.4395957577378952e-4,HEX - DIA,HEX - DIA,OP50,AWC,-0.00019709336976820381
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__1/20220130_AWC_WT_HEX_DIA__1_ImageJ_data.csv,1,-0.00421523027695656,286.519,1,210.912,-0.007714719414787324,nls,0.0036965825075989684,HEX - DIA,HEX - DIA,OP50,AWC,-0.00019709336976820381
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__1/20220130_AWC_WT_HEX_DIA__1_ImageJ_data.csv,1,-0.0087590654450554,286.13,1.25,210.868,-0.0064683791272842905,nls,-0.0020935929480029062,HEX - DIA,HEX - DIA,OP50,AWC,-0.00019709336976820381
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__1/20220130_AWC_WT_HEX_DIA__1_ImageJ_data.csv,1,-0.00497912140666621,286.799,1.5,211.25,-0.005232072743708072,nls,4.5004470681006564e-4,HEX - DIA,HEX - DIA,OP50,AWC,-0.00019709336976820381
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__1/20220130_AWC_WT_HEX_DIA__1_ImageJ_data.csv,1,-0.00927271637710119,286.208,1.75,210.985,-0.004005719484171305,nls,-0.005069903523161682,HEX - DIA,HEX - DIA,OP50,AWC,-0.00019709336976820381
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__1/20220130_AWC_WT_HEX_DIA__1_ImageJ_data.csv,1,-0.00748152338330033,286.227,2,210.868,-0.0027892392191208037,nls,-0.004495190794411323,HEX - DIA,HEX - DIA,OP50,AWC,-0.00019709336976820381
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__1/20220130_AWC_WT_HEX_DIA__1_ImageJ_data.csv,1,0.00817824477574245,287.357,2.25,210.809,-0.0015825524641017996,nls,0.009957890609612455,HEX - DIA,HEX - DIA,OP50,AWC,-0.00019709336976820381
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__1/20220130_AWC_WT_HEX_DIA__1_ImageJ_data.csv,1,-0.01001026643337208,286.182,2.5,211.015,-3.855803745646258e-4,nls,-0.00942759268903925,HEX - DIA,HEX - DIA,OP50,AWC,-0.00019709336976820381
