animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__1/20220130_AWC_WT_HEX_DIA__1_ImageJ_data.csv,1,35.75,-0.04115483109878511,60.75,-0.020367063044127963
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__2/20220130_AWC_WT_HEX_DIA__2_ImageJ_data.csv,2,37.5,-0.02992742606513723,63.5,-0.02986642427753015
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__3/20220130_AWC_WT_HEX_DIA__3_ImageJ_data.csv,3,31.5,0.03479364536069283,70,-0.03332955988784399
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__4/20220130_AWC_WT_HEX_DIA__4_ImageJ_data.csv,4,30.75,-0.021229285659177657,66.75,0.010310684272887224
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__5/20220130_AWC_WT_HEX_DIA__5_ImageJ_data.csv,5,40.25,-0.01192105672769227,67.5,0.02059604106647922
20220130_AWC_WT_HEX_DIA/20220130_AWC_WT_HEX_DIA__6/20220130_AWC_WT_HEX_DIA__6_ImageJ_data.csv,6,32.25,0.03715137226407975,65.75,0.03816381156893933
20220201_AWC_WT_HEX_DIA/20220201_AWC_WT_HEX_DIA__1/20220201_AWC_WT_HEX_DIA__1_ImageJ_data.csv,7,35.25,0.08023218272496148,65,0.08365004453667836
20220201_AWC_WT_HEX_DIA/20220201_AWC_WT_HEX_DIA__2/20220201_AWC_WT_HEX_DIA__2_ImageJ_data.csv,8,38,-0.09206897687912588,61,-0.20557857912692268
20220201_AWC_WT_HEX_DIA/20220201_AWC_WT_HEX_DIA__3/20220201_AWC_WT_HEX_DIA__3_ImageJ_data.csv,9,40.25,0.14040099395729685,60.75,0.11206871132071203
20220201_AWC_WT_HEX_DIA/20220201_AWC_WT_HEX_DIA__4/20220201_AWC_WT_HEX_DIA__4_ImageJ_data.csv,10,38.5,0.03758121307927809,69.25,0.03622523957865742
20220201_AWC_WT_HEX_DIA/20220201_AWC_WT_HEX_DIA__5/20220201_AWC_WT_HEX_DIA__5_ImageJ_data.csv,11,40,0.016147747258950757,65.75,0.012894972540227896
