animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20220130_AWC_WT_HEX_10K/20220130_AWC_WT_HEX_10K__1/20220130_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,38.5,-0.4020067064969946,66.5,0.5014144941797044
20220130_AWC_WT_HEX_10K/20220130_AWC_WT_HEX_10K__2/20220130_AWC_WT_HEX_10K__2_ImageJ_data.csv,2,36.75,-0.11808281198571385,65.25,0.25530795242374205
20220130_AWC_WT_HEX_10K/20220130_AWC_WT_HEX_10K__3/20220130_AWC_WT_HEX_10K__3_ImageJ_data.csv,3,37.5,-0.19873971203690713,69.75,1.569293935825244
20220130_AWC_WT_HEX_10K/20220130_AWC_WT_HEX_10K__4/20220130_AWC_WT_HEX_10K__4_ImageJ_data.csv,4,39.25,-0.17951007292291993,63.25,-0.0598269765661458
20220130_AWC_WT_HEX_10K/20220130_AWC_WT_HEX_10K__5/20220130_AWC_WT_HEX_10K__5_ImageJ_data.csv,5,36,-0.09594423429866346,67.75,0.12984998750613913
20220201_AWC_WT_HEX_10K/20220201_AWC_WT_HEX_10K__1/20220201_AWC_WT_HEX_10K__1_ImageJ_data.csv,6,33.5,-0.14397479859976334,61.5,1.90049237128442
20220201_AWC_WT_HEX_10K/20220201_AWC_WT_HEX_10K__3/20220201_AWC_WT_HEX_10K__3_ImageJ_data.csv,7,39,-0.11077050327777568,63.5,0.3820502577484758
20220201_AWC_WT_HEX_10K/20220201_AWC_WT_HEX_10K__4/20220201_AWC_WT_HEX_10K__4_ImageJ_data.csv,8,37,-0.05883807910491475,67.5,0.1551031079448915
20220201_AWC_WT_HEX_10K/20220201_AWC_WT_HEX_10K__5/20220201_AWC_WT_HEX_10K__5_ImageJ_data.csv,9,39.75,0.041468697464115696,63,0.030712887164708748
20220201_AWC_WT_HEX_10K/20220201_AWC_WT_HEX_10K__6/20220201_AWC_WT_HEX_10K__6_ImageJ_data.csv,10,32,0.16473131416320516,66.25,0.38159639531442757
