animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20220206_AWC_WT_HEX_PYR__3_reg.tif,1,379.071,203.796,175.27500000000003,176.9833,-0.009652323128792264,0.25
20220206_AWC_WT_HEX_PYR__3_reg.tif,2,380.039,203.704,176.33499999999998,176.9833,-0.0036630574749144944,0.5
20220206_AWC_WT_HEX_PYR__3_reg.tif,3,379.584,203.741,175.843,176.9833,-0.006442980778412565,0.75
20220206_AWC_WT_HEX_PYR__3_reg.tif,4,379.961,204.019,175.942,176.9833,-0.005883605967342719,1
20220206_AWC_WT_HEX_PYR__3_reg.tif,5,378.071,203.722,174.34900000000002,176.9833,-0.014884455200010372,1.25
20220206_AWC_WT_HEX_PYR__3_reg.tif,6,380.468,203.333,177.13500000000002,176.9833,8.571430185786188e-4,1.5
20220206_AWC_WT_HEX_PYR__3_reg.tif,7,381.091,203.574,177.517,176.9833,0.0030155387542213407,1.75
20220206_AWC_WT_HEX_PYR__3_reg.tif,8,383.448,203.685,179.76299999999998,176.9833,0.015706001639702517,2
20220206_AWC_WT_HEX_PYR__3_reg.tif,9,381.032,204.204,176.82799999999997,176.9833,-8.774839207995302e-4,2.25
20220206_AWC_WT_HEX_PYR__3_reg.tif,10,381.117,203.63,177.48700000000002,176.9833,0.0028460312357155115,2.5
20220206_AWC_WT_HEX_PYR__3_reg.tif,11,379.331,203.833,175.49800000000002,176.9833,-0.008392317241231207,2.75
20220206_AWC_WT_HEX_PYR__3_reg.tif,12,380.019,203.463,176.556,176.9833,-0.002414352088586903,3
20220206_AWC_WT_HEX_PYR__3_reg.tif,13,379.682,203.352,176.33,176.9833,-0.0036913087279986387,3.25
20220206_AWC_WT_HEX_PYR__3_reg.tif,14,382.266,203.111,179.15500000000003,176.9833,0.01227064926464822,3.5
20220206_AWC_WT_HEX_PYR__3_reg.tif,15,381.773,203.426,178.34700000000004,176.9833,0.007705246766220444,3.75
20220206_AWC_WT_HEX_PYR__3_reg.tif,16,382.987,203.296,179.69100000000003,176.9833,0.015299183595288464,4
20220206_AWC_WT_HEX_PYR__3_reg.tif,17,380.227,203.556,176.67099999999996,176.9833,-0.00176457326764757,4.25
20220206_AWC_WT_HEX_PYR__3_reg.tif,18,380.24,203.63,176.61,176.9833,-0.0021092385552761213,4.5
20220206_AWC_WT_HEX_PYR__3_reg.tif,19,378.604,203.5,175.10399999999998,176.9833,-0.010618515984276647,4.75
20220206_AWC_WT_HEX_PYR__3_reg.tif,20,383.156,203.926,179.23000000000002,176.9833,0.012694418060913114,5
20220206_AWC_WT_HEX_PYR__3_reg.tif,21,384.448,203.778,180.67,176.9833,0.02083077894920014,5.25
20220206_AWC_WT_HEX_PYR__3_reg.tif,22,386.13,203.944,182.186,176.9833,0.029396558884369275,5.5
20220206_AWC_WT_HEX_PYR__3_reg.tif,23,386.929,203.556,183.37299999999996,176.9833,0.03610340636658909,5.75
20220206_AWC_WT_HEX_PYR__3_reg.tif,24,389.195,203.981,185.214,176.9833,0.04650551775223981,6
20220206_AWC_WT_HEX_PYR__3_reg.tif,25,386.182,203.389,182.793,176.9833,0.032826261008807,6.25
