animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,0.00307886759006399,290.397,0.25,220.4,0,raw,9.76190754443025e-4,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,0.00819478906855096,290.279,0.5,219.925,0,raw,0.006092112232929994,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,0.03367408427513385,290.982,0.75,218.85,0,raw,0.03157140743951289,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,0.00133056949377494,290.1,1,220.225,0,raw,-7.721073418460252e-4,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,-0.00475981321871012,290,1.25,220.55,0,raw,-0.006862490054331085,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,0.00419663194670825,289.95,1.5,219.875,0,raw,0.002093955111087285,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,0.00380971351556236,290.123,1.75,220.075,0,raw,0.0017070366799413947,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,-0.00775484848202566,289.516,2,220.275,0,raw,-0.009857525317646625,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,-0.00814176691317237,289.489,2.25,220.275,0,raw,-0.010244443748793335,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,1.984748248659469e-4,289.146,2.5,219.35,0,raw,-0.0019042020107550182,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,-0.00960345876416789,289.612,2.75,220.5,0,raw,-0.011706135599788853,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,-0.01834494924561682,288.977,3,220.475,0,raw,-0.020447626081237787,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,-0.00372803073565348,289.922,3.25,220.4,0,raw,-0.005830707571274445,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,-0.00401463698094701,288.877,3.5,219.375,0,raw,-0.006117313816567975,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,-0.00163580514501234,290.068,3.75,220.4,0,raw,-0.003738481980633305,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,-0.01450442555868501,289.37,4,220.6,0,raw,-0.016607102394305975,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,0.01011505091201687,290.288,4.25,219.8,0,raw,0.008012374076395906,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,-0.0163816964653567,288.639,4.5,220,0,raw,-0.018484373300977665,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,0.01824033796608411,290.53,4.75,219.475,0,raw,0.016137661130463145,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,0.00603091191658613,289.178,5,218.975,0,raw,0.003928235080965165,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,0.00501345974579504,289.982,5.25,219.85,0,raw,0.0029107829101740748,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,-0.01083586561892964,288.776,5.5,219.75,0,raw,-0.012938542454550606,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,0.02223849508792724,289.909,5.75,218.575,0,raw,0.020135818252306273,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,-0.00228066919692229,289.123,6,219.5,0,raw,-0.004383346032543255,HEX,HEX10 - 4,OP50,AWC,0.002102676835620965
