animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__1/20220205_AWC_WT_HEX_10K__1_ImageJ_data.csv,1,35.5,0.08493371360522958,65.75,0.43598337315283575
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__2/20220205_AWC_WT_HEX_10K__2_ImageJ_data.csv,2,39.5,-0.5177326290296319,60.75,-0.40940389382526204
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__3/20220205_AWC_WT_HEX_10K__3_ImageJ_data.csv,3,37.25,-0.30437450214425593,63.75,0.9623425530385578
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__4/20220205_AWC_WT_HEX_10K__4_ImageJ_data.csv,4,40,-0.7322995168497238,60.75,-0.6751572467221617
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__5/20220205_AWC_WT_HEX_10K__5_ImageJ_data.csv,5,40.25,-0.2115555670741976,61,-0.16001160764966119
20220205_AWC_WT_HEX_10K/20220205_AWC_WT_HEX_10K__6/20220205_AWC_WT_HEX_10K__6_ImageJ_data.csv,6,39.75,-0.47330911118714114,60.75,-0.3516637482185805
20220206_AWC_WT_HEX_10K/20220206_AWC_WT_HEX_10K__1/20220206_AWC_WT_HEX_10K__1_ImageJ_data.csv,7,39.5,-0.7628392053848503,60.75,-0.7394596904396762
20220206_AWC_WT_HEX_10K/20220206_AWC_WT_HEX_10K__2/20220206_AWC_WT_HEX_10K__2_ImageJ_data.csv,8,40.25,-0.795438940340474,60.75,-0.7587111914597762
20220206_AWC_WT_HEX_10K/20220206_AWC_WT_HEX_10K__3/20220206_AWC_WT_HEX_10K__3_ImageJ_data.csv,9,39.25,-0.27493124459092916,65.5,0.7548629870730547
20220206_AWC_WT_HEX_10K/20220206_AWC_WT_HEX_10K__4/20220206_AWC_WT_HEX_10K__4_ImageJ_data.csv,10,40.25,-0.6570347494513236,61.5,-0.690002776260076
20220206_AWC_WT_HEX_10K/20220206_AWC_WT_HEX_10K__5/20220206_AWC_WT_HEX_10K__5_ImageJ_data.csv,11,40.25,-0.6585248388634085,60.75,-0.6479666972576268
