animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,1,610.119,244.5,365.619,384.49655,-0.049096799438122354,0.25
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,2,603.944,241.571,362.37299999999993,384.49655,-0.05753900782724859,0.5
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,3,598.308,245.714,352.594,384.49655,-0.08297226594100784,0.75
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,4,596.664,243.286,353.378,384.49655,-0.08093323594190904,1
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,5,594.441,244.643,349.798,384.49655,-0.09024411272350821,1.25
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,6,595.455,244.786,350.66900000000004,384.49655,-0.08797881281379501,1.5
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,7,607.189,243.571,363.61799999999994,384.49655,-0.05430100738225109,1.75
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,8,612.224,243,369.22400000000005,384.49655,-0.03972090256726612,2
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,9,618.378,243.286,375.09200000000004,384.49655,-0.02445938721686832,2.25
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,10,624.629,243.571,381.058,384.49655,-0.008942993116583284,2.5
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,11,630.552,243.214,387.338,384.49655,0.007390053304769597,2.75
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,12,646.273,241.643,404.63,384.49655,0.05236314864203588,3
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,13,665.329,245,420.32899999999995,384.49655,0.0931931638918475,3.25
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,14,672.699,242.643,430.0559999999999,384.49655,0.11849118021995232,3.5
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,15,668.587,242.857,425.73,384.49655,0.10724010397492514,3.75
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,16,660.545,244.714,415.83099999999996,384.49655,0.08149474943273209,4
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,17,651.168,242.857,408.31100000000004,384.49655,0.061936706584233385,4.25
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,18,644.287,245.5,398.78700000000003,384.49655,0.03716665338089515,4.5
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,19,634.21,242.357,391.85300000000007,384.49655,0.019132681424579887,4.75
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,20,626,242.357,383.64300000000003,384.49655,-0.0022199158874116926,5
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,21,620.147,243.857,376.2900000000001,384.49655,-0.021343624539673856,5.25
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,22,619.392,243.786,375.60600000000005,384.49655,-0.023122574181744834,5.5
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,23,619.979,243.857,376.12200000000007,384.49655,-0.021780559539480764,5.75
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,24,617.867,243.071,374.79599999999994,384.49655,-0.025229225073671212,6
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,25,617.154,244.286,372.868,384.49655,-0.030243574357169182,6.25
20210708_ASH_kyIs602_HEX_10K__3_reg.tif,26,605.189,243.071,362.11799999999994,384.49655,-0.05820221273766975,6.5
