animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210708_ASH_unc13_HEX_10K__7_reg.tif,1,427.062,230.275,196.787,199.47825,-0.013491445809254876,0.25
20210708_ASH_unc13_HEX_10K__7_reg.tif,2,428.109,230.5,197.60899999999998,199.47825,-0.009370695802675341,0.5
20210708_ASH_unc13_HEX_10K__7_reg.tif,3,426.867,230.387,196.48000000000002,199.47825,-0.015030460714388584,0.75
20210708_ASH_unc13_HEX_10K__7_reg.tif,4,428.43,230.3,198.13,199.47825,-0.006758882234028057,1
20210708_ASH_unc13_HEX_10K__7_reg.tif,5,428.93,230.238,198.692,199.47825,-0.003941532472838494,1.25
20210708_ASH_unc13_HEX_10K__7_reg.tif,6,429.047,229.963,199.08400000000003,199.47825,-0.0019764059490193597,1.5
20210708_ASH_unc13_HEX_10K__7_reg.tif,7,429.297,230.213,199.08400000000003,199.47825,-0.0019764059490193597,1.75
20210708_ASH_unc13_HEX_10K__7_reg.tif,8,429.062,230.6,198.46200000000002,199.47825,-0.005094540382222048,2
20210708_ASH_unc13_HEX_10K__7_reg.tif,9,429.656,230.3,199.356,199.47825,-6.128487692267612e-4,2.25
20210708_ASH_unc13_HEX_10K__7_reg.tif,10,429.062,229.75,199.312,199.47825,-8.33424195369625e-4,2.5
20210708_ASH_unc13_HEX_10K__7_reg.tif,11,429.891,230.775,199.116,199.47825,-0.0018159874572791213,2.75
20210708_ASH_unc13_HEX_10K__7_reg.tif,12,429.93,230.075,199.85500000000002,199.47825,0.0018886770863490905,3
20210708_ASH_unc13_HEX_10K__7_reg.tif,13,429.867,230.7,199.16700000000003,199.47825,-0.0015603204860678932,3.25
20210708_ASH_unc13_HEX_10K__7_reg.tif,14,431.016,230.162,200.854,199.47825,0.006896741875367418,3.5
20210708_ASH_unc13_HEX_10K__7_reg.tif,15,430.922,230.037,200.88500000000002,199.47825,0.00705214728924089,3.75
20210708_ASH_unc13_HEX_10K__7_reg.tif,16,432.453,230.775,201.67799999999997,199.47825,0.01102751803768063,4
20210708_ASH_unc13_HEX_10K__7_reg.tif,17,431.148,230.325,200.82300000000004,199.47825,0.006741336461494088,4.25
20210708_ASH_unc13_HEX_10K__7_reg.tif,18,431.945,230.475,201.47,199.47825,0.00998479784136865,4.5
20210708_ASH_unc13_HEX_10K__7_reg.tif,19,432.094,229.838,202.256,199.47825,0.013925077044740454,4.75
20210708_ASH_unc13_HEX_10K__7_reg.tif,20,430.977,230.512,200.46499999999997,199.47825,0.004946654585148869,5
20210708_ASH_unc13_HEX_10K__7_reg.tif,21,432.172,230.963,201.20900000000003,199.47825,0.008676384518111768,5.25
20210708_ASH_unc13_HEX_10K__7_reg.tif,22,431.062,231.1,199.96200000000002,199.47825,0.0024250764181058073,5.5
20210708_ASH_unc13_HEX_10K__7_reg.tif,23,433.461,230.25,203.211,199.47825,0.018712566407615917,5.75
20210708_ASH_unc13_HEX_10K__7_reg.tif,24,431.688,229.925,201.76299999999998,199.47825,0.011453629656365915,6
20210708_ASH_unc13_HEX_10K__7_reg.tif,25,432.047,230.713,201.33400000000003,199.47825,0.009303019251472424,6.25
20210708_ASH_unc13_HEX_10K__7_reg.tif,26,431.961,230.012,201.949,199.47825,0.012386062139606746,6.5
20210708_ASH_unc13_HEX_10K__7_reg.tif,27,433.711,231.075,202.63600000000002,199.47825,0.015830046634156963,6.75
20210708_ASH_unc13_HEX_10K__7_reg.tif,28,432.234,229.963,202.271,199.47825,0.014000273212743664,7
20210708_ASH_unc13_HEX_10K__7_reg.tif,29,433.633,230.875,202.75799999999998,199.47825,0.01644164213391675,7.25
20210708_ASH_unc13_HEX_10K__7_reg.tif,30,434.656,229.912,204.744,199.47825,0.02639761477755092,7.5
20210708_ASH_unc13_HEX_10K__7_reg.tif,31,434.531,230.812,203.719,199.47825,0.021259209963993525,7.75
20210708_ASH_unc13_HEX_10K__7_reg.tif,32,434.094,230.1,203.994,199.47825,0.022637806377386993,8
20210708_ASH_unc13_HEX_10K__7_reg.tif,33,434.375,230.425,203.95,199.47825,0.022417230951243986,8.25
20210708_ASH_unc13_HEX_10K__7_reg.tif,34,434.289,230.3,203.98899999999998,199.47825,0.022612740988052448,8.5
20210708_ASH_unc13_HEX_10K__7_reg.tif,35,434.219,230.175,204.04399999999998,199.47825,0.02288846027073117,8.75
20210708_ASH_unc13_HEX_10K__7_reg.tif,36,434.367,230.637,203.73000000000002,199.47825,0.02131435382052938,9
20210708_ASH_unc13_HEX_10K__7_reg.tif,37,434.477,230.5,203.97699999999998,199.47825,0.02255258405364982,9.25
20210708_ASH_unc13_HEX_10K__7_reg.tif,38,433.336,230.012,203.324,199.47825,0.019279044206573948,9.5
20210708_ASH_unc13_HEX_10K__7_reg.tif,39,435.516,230.075,205.44100000000003,199.47825,0.029891730050770088,9.75
20210708_ASH_unc13_HEX_10K__7_reg.tif,40,433.969,230.325,203.644,199.47825,0.02088322912397719,10
20210708_ASH_unc13_HEX_10K__7_reg.tif,41,436.141,230.713,205.42800000000003,199.47825,0.029826560038500552,10.25
20210708_ASH_unc13_HEX_10K__7_reg.tif,42,436.344,229.537,206.807,199.47825,0.036739594416935105,10.5
