animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,1,797.475,252.9,544.575,555.5551,-0.019764196206640876,0.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,2,787.404,252.65,534.754,555.5551,-0.037442010702448805,0.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,3,781.909,250.95,530.9590000000001,555.5551,-0.04427301630387333,0.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,4,789.889,253,536.889,555.5551,-0.03359900755118624,1
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,5,786.596,252,534.596,555.5551,-0.037726410935657026,1.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,6,795.475,253.25,542.225,555.5551,-0.02399419967524376,1.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,7,813.313,252.05,561.2629999999999,555.5551,0.010274228424867094,1.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,8,799.162,251,548.162,555.5551,-0.013307590912224554,2
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,9,803.97,252.6,551.37,555.5551,-0.007533186177212726,2.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,10,801.596,252.25,549.346,555.5551,-0.011176389164639177,2.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,11,804.788,252.6,552.188,555.5551,-0.006060784969843766,2.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,12,807.768,250.05,557.7180000000001,555.5551,0.003893223192443082,3
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,13,815.697,249.45,566.2470000000001,555.5551,0.019245435781257397,3.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,14,814.394,250.8,563.594,555.5551,0.01447003186542615,3.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,15,817.404,250.75,566.654,555.5551,0.019978036381989757,3.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,16,827.535,251.9,575.635,555.5551,0.03614384963795662,4
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,17,823.384,251.45,571.934,555.5551,0.029482044175276098,4.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,18,821.04,251.7,569.3399999999999,555.5551,0.024812840346528867,4.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,19,836.242,251.75,584.492,555.5551,0.052086462710899284,4.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,20,821.061,251.9,569.1610000000001,555.5551,0.0244906400823249,5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,21,811.96,251.15,560.8100000000001,555.5551,0.009458827756238797,5.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,22,830.253,252.45,577.8030000000001,555.5551,0.040046252837927454,5.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,23,804.96,253.1,551.86,555.5551,-0.006651185453972116,5.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,24,793.152,251.9,541.2520000000001,555.5551,-0.02574560111139286,6
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,25,803.192,251.35,551.842,555.5551,-0.006683585480540191,6.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,26,788.152,251.2,536.952,555.5551,-0.03348560745819819,6.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,27,798.253,252.7,545.5530000000001,555.5551,-0.018003794763111574,6.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,28,798.949,251.85,547.0989999999999,555.5551,-0.015220992481214024,7
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,29,800.495,252.3,548.1949999999999,555.5551,-0.01324819086351669,7.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,30,794.687,251.35,543.337,555.5551,-0.021992598033930475,7.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,31,799.899,253.35,546.549,555.5551,-0.01621099329301461,7.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,32,805.172,251.25,553.922,555.5551,-0.0029395824104576,8
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,33,798.99,252.2,546.79,555.5551,-0.015777192937298342,8.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,34,794.657,250.15,544.5070000000001,555.5551,-0.019886596307008928,8.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,35,807.859,251.9,555.9590000000001,555.5551,7.270205961569274e-4,8.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,36,805.606,251.15,554.456,555.5551,-0.0019783816222729684,9
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,37,794.687,250.9,543.787,555.5551,-0.02118259736972985,9.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,38,819.626,251.45,568.1759999999999,555.5551,0.02271763862846348,9.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,39,790,252.35,537.65,555.5551,-0.03222920642794938,9.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,40,799.202,251.85,547.352,555.5551,-0.01476559210778564,10
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,41,793,254,539,555.5551,-0.029799204435347705,10.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,42,786.758,252.05,534.7080000000001,555.5551,-0.037524810770344745,10.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,43,791.879,250.95,540.9290000000001,555.5551,-0.026327001588141212,10.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,44,796.848,252.15,544.698,555.5551,-0.019542796025092846,11
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,45,800.535,249.95,550.585,555.5551,-0.008946187335873618,11.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,46,814.97,251.1,563.87,555.5551,0.014966832272802402,11.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,47,805.444,251.45,553.9939999999999,555.5551,-0.0028099823041857126,11.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,48,807.919,252.85,555.069,555.5551,-8.749807174843297e-4,12
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,49,811.273,252.15,559.123,555.5551,0.006422225266224733,12.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,50,808.485,253.35,555.135,555.5551,-7.561806200681942e-4,12.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,51,796.293,251.3,544.9929999999999,555.5551,-0.019011795589672562,12.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,52,796.485,250.7,545.7850000000001,555.5551,-0.017586194420679345,13
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,53,794.242,250.8,543.442,555.5551,-0.021803597878950316,13.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,54,776.899,249.55,527.3489999999999,555.5551,-0.05077102163223793,13.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,55,779.646,252.5,527.146,555.5551,-0.05113642193186613,13.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,56,780.737,252.2,528.537,555.5551,-0.048632619878748305,14
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,57,765.465,250.95,514.5150000000001,555.5551,-0.07387224057523716,14.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,58,758.485,250.65,507.83500000000004,555.5551,-0.08589625043492535,14.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,59,768.919,251.8,517.1189999999999,555.5551,-0.06918503673173033,14.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,60,760.222,252.55,507.67199999999997,555.5551,-0.08618965067551368,15
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,61,751.687,250.55,501.137,555.5551,-0.09795266032118152,15.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,62,768.758,252,516.758,555.5551,-0.06983483726456655,15.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,63,755.687,251.5,504.187,555.5551,-0.09246265581937782,15.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,64,751.111,250.85,500.26099999999997,555.5551,-0.09952946161415864,16
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,65,760.778,249.5,511.278,555.5551,-0.07969884535305322,16.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,66,760.788,250.35,510.438,555.5551,-0.08121084659289429,16.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,67,745.101,250.7,494.401,555.5551,-0.11007747026352566,16.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,68,745.03,251.25,493.78,555.5551,-0.11119527118012248,17
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,69,744.606,250.75,493.856,555.5551,-0.11105847106794635,17.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,70,749.747,250.6,499.14699999999993,555.5551,-0.10153466325842406,17.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,71,745.061,250.45,494.61100000000005,555.5551,-0.10969946995356535,17.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,72,742.99,249.95,493.04,555.5551,-0.11252727227236328,18
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,73,748.788,252.55,496.238,555.5551,-0.10677086755211146,18.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,74,748.101,250.05,498.051,555.5551,-0.10350746487612128,18.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,75,752.152,251.4,500.75200000000007,555.5551,-0.09864566088944188,18.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,76,745.465,250.9,494.56500000000005,555.5551,-0.10978227002146138,19
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,77,743.222,250.45,492.772,555.5551,-0.11300967266793166,19.25
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,78,746.929,251.75,495.179,555.5551,-0.10867706911519678,19.5
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,79,756.091,253.6,502.491,555.5551,-0.09551545832267591,19.75
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,80,753.909,249.85,504.05899999999997,555.5551,-0.09269305600830605,20
20210324_ASH_unc13_HEX_IAA_10K__3_reg.tif,81,753.202,250.95,502.252,555.5551,-0.09594565867544017,20.25
